rougher	rails	rails
rough	!align="right	!align="right
roughest	vocalist	vocalist
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	predict	predict
mean	!align="right	!align="right
meanest	represents	represents
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	thick	thick
heaviest	hits	hits
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	fifth	fifth
mightier	hassan	hassan
mighty	!align="right	!align="right
mightiest	fury	fury
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	harder
bad	tribune	tribune
worst	worst	worst
bad	low	hamas
worse	different	different
worst	reigning	reigning
sadder	crazy	czechoslovakia
sad	!align="right	!align="right
saddest	it's	it's
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	darker	darker
wild	!align="right	!align="right
wildest	strongest	strongest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	different	different
strict	!align="right	!align="right
strictest	proclamation	proclamation
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	larger	larger
narrow	!align="right	!align="right
narrowest	longest	longest
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	early	ancient
earliest	late	late
early	ancient	ancient
earlier	larger	larger
earliest	previous	previous
fatter	oxide	proportion
fat	!align="right	!align="right
fattest	proportion	proportion
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	equal	equal
full	mackenzie	mackenzie
fullest	equal	equal
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	clifford	clifford
costlier	efficient	efficient
costly	!align="right	!align="right
costliest	worst	worst
