rougher	floors	floors
rough	!align="right	!align="right
roughest	fastest	fastest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	predict	predict
mean	!align="right	!align="right
meanest	fastest	fastest
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	artillery	artillery
heavy	lighter	thick
heaviest	armored	defenses
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	top	hop
mightier	sv	sv
mighty	!align="right	!align="right
mightiest	greatest	premier
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	wrong
bad	vampire	bay
worst	good	strongest
bad	freshman	freshman
worse	worse	worse
worst	surpassed	surpassed
sadder	happen	happen
sad	!align="right	!align="right
saddest	lyric	won't
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	insects	czech
wild	!align="right	!align="right
wildest	longest	longest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	resonance	resonance
strict	!align="right	!align="right
strictest	lowest	counter
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	curved	curved
narrow	!align="right	!align="right
narrowest	longest	longest
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	late	late
early	ancient	ancient
earlier	larger	larger
earliest	previous	early
fatter	calcium	oxygen
fat	!align="right	!align="right
fattest	vitamin	mm
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	equal	equal
full	jones	jones
fullest	best	best
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	best-selling	best-selling
costlier	accuracy	accuracy
costly	!align="right	!align="right
costliest	expensive	worst
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	!align="right	!align="right
toughest	12th	12th
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	kid	kid
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	upper
short	short	short
shortest	brief	brief
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	fastest	fastest
softer	upper	upper
soft	!align="right	!align="right
softest	toy	toy
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	!align="right	!align="right
older	upper	upper
old	winters	winters
oldest	oldest	oldest
old	traders	traders
older	upper	upper
oldest	youngest	youngest
richer	lighter	lighter
rich	!align="right	!align="right
richest	oldest	oldest
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
weaker	efficient	efficient
weak	!align="right	!align="right
weakest	oldest	league's
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
prettier	easier	easier
pretty	!align="right	!align="right
prettiest	biggest	biggest
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	gravity	gravity
cool	!align="right	!align="right
coolest	biggest	biggest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	!align="right	!align="right
luckier	hire	lewis
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	variation	variation
light	thick	gear
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	traces	traces
shorter	shorter	shorter
short	nc	nc
shortest	longest	longest
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	largest	largest
fewer	several	several
few	literally	literally
fewest	several	several
few	!align="right	!align="right
fewer	!align="right	!align="right
fewest	largest	largest
sharper	wingspan	wingspan
sharp	!align="right	!align="right
sharpest	largest	largest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
taller	wingspan	wingspan
tall	!align="right	!align="right
tallest	tallest	tallest
tall	tall	tall
taller	onset	onset
tallest	!align="right	!align="right
smoother	lighter	lighter
smooth	!align="right	!align="right
smoothest	bo	bo
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
nicer	lighter	faster
nice	!align="right	!align="right
nicest	doesn't	doesn't
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	broader	broader
