rougher	easier	quick
rough	!align="right	!align="right
roughest	finest	finest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	temperature	constitute
mean	!align="right	!align="right
meanest	award	award
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	award	greatest
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	emmy	emmy
mightier	waterfront	waterfront
mighty	!align="right	!align="right
mightiest	award	award
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	better
bad	school	school
worst	good	worst
bad	school	school
worse	terrible	terrible
worst	best	biggest
sadder	funny	funny
sad	!align="right	!align="right
saddest	lowest	funny
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	deer	deer
wild	!align="right	!align="right
wildest	lowest	longest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	regulations	stronger
strict	!align="right	!align="right
strictest	norms	norms
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	hindwings	hindwings
narrow	!align="right	!align="right
narrowest	longest	longest
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	previous	next
earliest	late	late
early	ancient	ancient
earlier	neolithic	neolithic
earliest	last	last
fatter	eating	eating
fat	!align="right	!align="right
fattest	eating	eating
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	equal	partial
full	benny	benny
fullest	complete	complete
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	finest	finest
costlier	increases	desirable
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	!align="right	!align="right
toughest	proud	proud
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	highest	number-one
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	upper
short	short	short
shortest	long	longest
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	longer	intervals
softer	upper	upper
soft	!align="right	!align="right
softest	bottom	bottom
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	!align="right	!align="right
older	upper	upper
old	younger	younger
oldest	older	older
old	earliest	surviving
older	upper	earliest
oldest	highest	younger
richer	bigger	lighter
rich	!align="right	!align="right
richest	oldest	world's
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
weaker	stronger	stronger
weak	!align="right	!align="right
weakest	oldest	oldest
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
prettier	ain't	ain't
pretty	!align="right	!align="right
prettiest	oldest	that's
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	humid	humid
cool	!align="right	!align="right
coolest	humid	humid
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	!align="right	!align="right
luckier	bigger	bigger
lucky	!align="right	!align="right
luckiest	oldest	oldest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	heavier	heavier
light	darker	poem
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	largest	largest
fewer	two	two
few	years	years
fewest	earliest	earliest
few	!align="right	!align="right
fewer	!align="right	!align="right
fewest	largest	largest
sharper	curved	curved
sharp	!align="right	!align="right
sharpest	finest	finest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
taller	erect	erect
tall	!align="right	!align="right
tallest	tallest	tallest
tall	atop	atop
taller	twin	twin
tallest	!align="right	!align="right
smoother	darker	lighter
smooth	!align="right	!align="right
smoothest	skin	skin
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
nicer	who's	who's
nice	!align="right	!align="right
nicest	who's	who's
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	wider	wider
broad	broad	broad
broadest	diverse	diverse
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	world's	world's
savvier	!align="right	!align="right
