model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,nan,0.0689806080277,-0.0044157669641,nan,nan,-0.0293663738264,0.0,0.0,0.0,0.000125
SVD,nan,0.0693441068375,0.0185008233129,nan,nan,0.0293663738264,0.0,0.0,0.0,0.0
SGNSpinit1,nan,0.0693441068375,-0.0360666713559,nan,nan,-0.0293408774591,0.0,0.0,0.0,0.0
SGNSpinit2,nan,0.0693441068375,-0.0237916993977,nan,nan,-0.0293408774591,0.0,0.0,0.000125,0.000125
SGNSpinit3,nan,0.0456191006282,-0.0360749239508,nan,nan,-0.0293408774591,0.0,0.0,0.0,0.0
SGNSsvd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SGNSpinit1-rev,nan,0.0689806080277,-0.0116359448723,nan,nan,-0.0293408774591,0.0,0.0,0.0,0.0
SGNSpinit2-rev,nan,0.0693441068375,-0.0360666713559,nan,nan,-0.0293408774591,0.0,0.0,0.0,0.0
SGNSpinit3-rev,nan,0.0693441068375,-0.0116481900494,nan,nan,-0.0293408774591,0.0,0.0,0.000125,0.000125
SGNSsvd-rev,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
