model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.102787300117,0.0325253049995,0.0174886991929,0.281218713901,-0.0328082083718,-0.0182505752949,0.00880065493246,0.00450266066312,0.004,0.00275
SVD,0.227695013227,0.168182847921,0.0966721996769,0.278518036301,0.00284062976527,0.0371582375782,0.016577977896,0.0136614817847,0.0025,0.002
SGNSpinit1,0.10068675188,0.0314109565784,0.0314111899025,0.27433813724,-0.0310421745854,0.00310830079143,0.00322349570201,0.00301882930823,0.002625,0.0025
SGNSpinit2,0.106262982033,0.029900293517,0.0339371036186,0.274386630969,-0.0513530907143,-0.00178725980023,0.00296766270978,0.00266066311912,0.00275,0.00275
SGNSpinit3,0.10644591266,0.0323711131836,0.0321878799453,0.274085904757,-0.0415096144659,-0.00148121202515,0.00327466230045,0.00281416291445,0.002875,0.00275
SGNSsvd,0.0991491884193,0.0502215246528,0.0266829479822,0.249863449908,-0.0346112639574,-0.022580951056,0.00521899304134,0.00501432664756,0.001625,0.001375
SGNSpinit1-rev,0.114419164823,0.0342876757822,0.0274286210574,0.269792094252,-0.0279476622613,-0.00249004991284,0.00194433074089,0.001841997544,0.001375,0.0015
SGNSpinit2-rev,0.107311679163,0.0341151476422,0.0327628066882,0.271098495781,-0.0279483790721,-0.00330778491625,0.00214899713467,0.00199549733934,0.001375,0.001375
SGNSpinit3-rev,0.101021861866,0.0240218347182,0.0328351675052,0.270165723788,-0.0279961047084,-0.00835091439652,0.00199549733934,0.001841997544,0.001375,0.001375
SGNSsvd-rev,0.101175618212,0.0521660084721,0.0194319590907,0.25862616908,-0.0326985765957,-0.0157441149585,0.00573065902579,0.00475849365534,0.001375,0.0015
