rougher	wolves	wolves
rough	!	!
roughest	award	emmy
rough	!	!
rougher	!	!
roughest	!	!
meaner	,	,
mean	!	!
meanest	nominations	nominations
mean	!	!
meaner	!	!
meanest	!	!
heavier	rainfall	weather
heavy	guns	guns
heaviest	award	awards.
heavy	!	!
heavier	!	!
heaviest	award	award
mightier	jesse	1989
mighty	!	!
mightiest	awards,	awards,
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	institutes	institutes
bad	school	school.
worst	lowest	lowest
bad	school	schools.
worse	education,	education,
worst	america's	america's
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	birds	birds
wild	!	!
wildest	birds	fauna
wild	!	!
wilder	!	!
wildest	!	!
stricter	maximum	accounting
strict	!	!
strictest	standards,	standards,
strict	!	!
stricter	!	!
strictest	!	!
narrower	gauge	than
narrow	!	!
narrowest	wide,	honorary
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	mid
early	earliest	earliest
earliest	mid	mid
early	dated	sam
earlier	fragments	fragments
earliest	quoted	quoted
fatter	voivodeship,	voivodeship,
fat	!	!
fattest	ranked	beef
fat	!	!
fatter	!	!
fattest	!	!
fuller	voivodeship	voivodeship
full	!	!
fullest	list,	list,
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	beds
tough	!	!
toughest	monte	monte
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	anthology	anthology
short	relatively	+
shortest	novels,	novels,
short	!	!
shorter	!	!
shortest	sentences	sentences
softer	dorsal	dorsal
soft	!	!
softest	drinks	drinks
soft	!	!
softer	!	!
softest	!	!
older	now	now
old	generation	generation
oldest	ranking	marker
old	dated	very
older	upper	upper
oldest	generation	generation
richer	crop	crop
rich	!	!
richest	coal	coal
rich	!	!
richer	!	!
richest	!	!
weaker	bridges	bridges
weak	!	!
weakest	festivals	festivals
weak	!	!
weaker	!	!
weakest	!	!
prettier	since.	since.
pretty	!	!
prettiest	realize	realize
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	temperatures	temperatures
cool	!	!
coolest	humid	humid
cool	!	!
cooler	!	!
coolest	!	!
luckier	accommodate	accommodate
lucky	!	!
luckiest	canada's	canada's
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	spots	spots
light	now	now
lightest	lines.	lines.
light	!	!
lighter	!	!
lightest	inception	inception
shorter	fiction	fiction
short	man's	man's
shortest	fiction	fiction
short	!	!
shorter	!	!
shortest	else	else
fewer	months	months
few	than	zero
fewest	hundred	hundred
few	!	!
fewer	!	!
fewest	louis,	louis,
sharper	sharply	sharply
sharp	!	!
sharpest	teeth	teeth
sharp	!	!
sharper	!	!
sharpest	!	!
taller	weighed	weighed
tall	!	!
tallest	tall,	tall,
tall	tower	tower
taller	taiwan	taiwan
tallest	!	!
smoother	"f"	curves
smooth	!	!
smoothest	"f"	"f"
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	pretty	pretty
nice	!	!
