size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.102787300117,0.10068675188,0.114419164823,0.10644591266,0.101021861866,0.106262982033,0.107311679163,0.0991491884193,0.101175618212,0.227695013227
15,0.232210919574,0.219246919087,0.211411245176,0.216186725351,0.203872166791,0.214505773862,0.213244877613,0.205017639166,0.201824488815,0.366781277158
100,0.654609397355,0.606998376434,0.638101871623,0.623128611884,0.620613821529,0.593045808843,0.635348226395,0.644288428043,0.646744401281,0.672100316576
136,0.65199633938,0.653861272329,0.643039640248,0.64337174177,0.627821070098,0.657449833693,0.64695886857,0.654684711955,0.627561414049,0.692265980017
200,0.669037280386,0.682729455004,0.697038491175,0.692927037201,0.690481109418,0.688165726754,0.708072422871,0.693821486451,0.691941493279,0.730906342237
300,0.699257758201,0.745646464213,0.728654797571,0.714559511102,0.729553550507,0.725432054601,0.733438343725,0.729506927251,0.732856628936,0.743526181947
400,0.696512724293,0.751968577843,0.759256868811,0.74588962243,0.756595039485,0.746048141503,0.763460134737,0.751852378341,0.75564751145,0.740672121347
500,0.702539318203,0.751848791937,0.745424824423,0.741504167161,0.752993572213,0.73508235149,0.754960356372,0.745150105848,0.760416711986,0.74876018049
750,0.722320490167,0.760334941966,0.759688671898,0.759382392964,0.752861592532,0.763406338672,0.760707928021,0.762562099082,0.766023696584,0.72315970879
1850,0.722320490167,0.760334941966,0.759688671898,0.759382392964,0.752861592532,0.763406338672,0.760707928021,0.762562099082,0.766023696584,0.72315970879
50,0.604096418876,0.554771005695,0.58699436924,0.567950323362,0.577150952021,0.554892963346,0.571558117633,0.582611785187,0.610887307834,0.697709676862
