size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,-0.0044157669641,-0.0360749239508,-0.0116481900494,-0.0360666713559,-0.0116359448723,-0.0237916993977,-0.0360666713559,nan,nan,0.0185008233129
5,0.0174886991929,0.0314111899025,0.0274286210574,0.0321878799453,0.0328351675052,0.0339371036186,0.0327628066882,0.0266829479822,0.0194319590907,0.0966721996769
15,0.0576808026465,0.0641315210552,0.0581573438177,0.0663974540919,0.0603723411598,0.061458867701,0.0572671732315,0.0791708580076,0.0760337005093,0.124021203522
100,0.198669327983,0.21989831634,0.218134572163,0.220026055533,0.216899911067,0.223007844225,0.21610741902,0.213363049676,0.223859375334,0.260785832018
136,0.208701462857,0.231722879353,0.237743546092,0.235828464705,0.239391615283,0.239947624702,0.238508121173,0.246845927515,0.248455475672,0.279490004016
200,0.223628028239,0.258713257528,0.251683777786,0.258985975186,0.251373305453,0.259068206295,0.248754571735,0.26715895706,0.263900011417,0.277393842453
300,0.224592400516,0.260128512674,0.260049201337,0.259580505876,0.261170169609,0.259913284235,0.262801189955,0.26057817698,0.263845247597,0.279053732896
400,0.232399846052,0.27224694836,0.28057838619,0.276829425521,0.274418046049,0.277731925859,0.272272109316,0.272927557879,0.274065793028,0.27763449009
500,0.234795633605,0.276179794448,0.280702046117,0.271645867789,0.281561309071,0.271540146249,0.283774654075,0.283797644646,0.28674669912,0.271534723987
750,0.247059625881,0.285070168675,0.281772774411,0.285950560733,0.279860809354,0.285737544301,0.281301834308,0.28575034829,0.286945286864,0.258560288085
1850,0.247059625881,0.285070168675,0.281772774411,0.285950560733,0.279860809354,0.285737544301,0.281301834308,0.28575034829,0.286945286864,0.258560288085
50,0.155706921315,0.183332018933,0.178210354826,0.184175634788,0.177619840345,0.178933704826,0.174795725864,0.190139418277,0.194670332451,0.235671801866
