size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.063826872424,0.0683188603012,0.0692483072901,0.0670166640091,0.0652829281287,0.0652244432705,0.0690053275477,0.0614541493248,0.0638261772168,0.135177827412
15,0.147664097632,0.145800916237,0.149277867396,0.146424798441,0.146766150582,0.143883969542,0.149595999753,0.152332637875,0.154504398997,0.237590780904
100,0.393341454705,0.380437169101,0.397346543738,0.384336599323,0.389891977096,0.380611775705,0.391274531234,0.385571419119,0.391886742826,0.421242177373
136,0.397965606321,0.408280771553,0.407642505404,0.401374132648,0.405072143603,0.406622507111,0.408402012263,0.416091407241,0.405999297376,0.435525065633
200,0.410867325902,0.433667033641,0.428212752032,0.43442277891,0.424475652978,0.432607875929,0.428962404034,0.437081306522,0.429489509136,0.442791540104
300,0.42695138217,0.4564971529,0.456541483059,0.449477892189,0.454698641687,0.454084251264,0.458877295271,0.454789483469,0.460458093582,0.451768895103
400,0.435253504094,0.473866102139,0.477796186882,0.469860416119,0.47592297264,0.471047845949,0.47858746133,0.476696004674,0.475187540647,0.453416016148
500,0.441543628053,0.476787868968,0.476519887874,0.472297591861,0.478905299659,0.470572124507,0.480243609417,0.479042790855,0.485056080266,0.459338589373
750,0.473690924334,0.512809915923,0.511540825742,0.512384760499,0.508497574552,0.512360556847,0.51054301612,0.513036428255,0.513676459185,0.45801117223
1850,0.473690924334,0.512809915923,0.511540825742,0.512384760499,0.508497574552,0.512360556847,0.51054301612,0.513036428255,0.513676459185,0.45801117223
50,0.344155449102,0.328353955441,0.341249945264,0.330436402417,0.334410496614,0.327935478377,0.335586814316,0.345254966183,0.353497149009,0.413310441158
