size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
5,0.00880065493246,0.00322349570201,0.00194433074089,0.00327466230045,0.00199549733934,0.00296766270978,0.00214899713467,0.00521899304134,0.00573065902579,0.016577977896
15,0.036481784691,0.00486082685223,0.00706099058535,0.00542365943512,0.00777732296357,0.00603765861646,0.00777732296357,0.00900532132624,0.0134056487925,0.0501432664756
100,0.364562013917,0.285611952517,0.283104789194,0.289756446991,0.281825624233,0.288374948833,0.286532951289,0.366659844454,0.373158002456,0.294770773639
136,0.39275480966,0.349774866967,0.349621367172,0.344555873926,0.3487003684,0.342611543185,0.35560785919,0.363385182153,0.373925501433,0.312730249693
200,0.441260744986,0.446786737618,0.45261972984,0.442693409742,0.448117069177,0.44474007368,0.448168235776,0.452824396234,0.466997544003,0.331559557921
300,0.465718379042,0.51908514122,0.52369013508,0.522666803111,0.520978305362,0.523280802292,0.521080638559,0.516322144904,0.527425296766,0.347165370446
400,0.484496520671,0.562576749898,0.562269750307,0.556436758084,0.556129758494,0.558790421613,0.563190749079,0.560376586165,0.563293082276,0.350388866148
500,0.49703233729,0.576596397871,0.593379042161,0.579001227998,0.586318051576,0.582531723291,0.584373720835,0.582071223905,0.586778550962,0.349467867376
750,0.502507163324,0.691363078183,0.693358575522,0.690390912812,0.688548915268,0.692079410561,0.690390912812,0.690902578797,0.693972574703,0.331508391322
1850,0.502507163324,0.691363078183,0.693358575522,0.690390912812,0.688548915268,0.692079410561,0.690390912812,0.690902578797,0.693972574703,0.331508391322
50,0.268624641834,0.13323782235,0.134619320508,0.134465820712,0.135591485878,0.13584731887,0.132981989357,0.153090462546,0.153192795743,0.233831354892
