model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.232210919574,0.326237571398,0.0576808026465,0.277734569903,-0.0478470184951,0.0399677407651,0.036481784691,0.0298812934916,0.02425,0.01925
SVD,0.366781277158,0.434314732942,0.124021203522,0.373764059157,0.0239513155157,0.102712097129,0.0501432664756,0.0494269340974,0.02775,0.024625
SGNSpinit1,0.214505773862,0.321494561245,0.061458867701,0.263815885578,-0.0311909383435,0.0332196672112,0.00603765861646,0.00506549324601,0.003875,0.003125
SGNSpinit2,0.216186725351,0.327210367921,0.0663974540919,0.276890340256,-0.0394811871953,0.0313450902192,0.00542365943512,0.00475849365534,0.0035,0.002875
SGNSpinit3,0.219246919087,0.328498399759,0.0641315210552,0.272741308204,-0.0367657421715,0.0269530914888,0.00486082685223,0.00429799426934,0.003875,0.003375
SGNSsvd,0.205017639166,0.350715909302,0.0791708580076,0.236126407358,-0.00539490997222,0.0483599233876,0.00900532132624,0.00798198935735,0.002125,0.001625
SGNSpinit1-rev,0.213244877613,0.335196014091,0.0572671732315,0.302858697868,-0.0327914884616,0.0218007241786,0.00777732296357,0.00649815800246,0.003625,0.002625
SGNSpinit2-rev,0.203872166791,0.330303988269,0.0603723411598,0.30137195485,-0.036250634192,0.0209270866157,0.00777732296357,0.00670282439623,0.0035,0.00325
SGNSpinit3-rev,0.211411245176,0.333839176326,0.0581573438177,0.30412360524,-0.0299824081896,0.0181182420089,0.00706099058535,0.00578182562423,0.003625,0.0035
SGNSsvd-rev,0.201824488815,0.358004044834,0.0760337005093,0.275153019636,-0.0311878963961,0.0471990365831,0.0134056487925,0.0118706508391,0.003,0.00225
