model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.699257758201,0.660387071974,0.224592400516,0.645747358232,0.0177740431502,0.313949660947,0.465718379042,0.51478714695,0.211125,0.2505
SVD,0.743526181947,0.6252536278,0.279053732896,0.555024589071,0.164721570656,0.343033668251,0.347165370446,0.37863282849,0.179125,0.188
SGNSpinit1,0.745646464213,0.671752184932,0.260128512674,0.655973617542,0.0619064816731,0.343575656366,0.51908514122,0.512740483013,0.369875,0.3795
SGNSpinit2,0.714559511102,0.661029853273,0.259580505876,0.649023020374,0.0660240997876,0.346650362719,0.522666803111,0.515656979124,0.37175,0.381375
SGNSpinit3,0.725432054601,0.675285676331,0.259913284235,0.647041378038,0.0670297071103,0.349803407266,0.523280802292,0.516884977487,0.36675,0.378
SGNSsvd,0.729506927251,0.673804264562,0.26057817698,0.672726579733,0.0561849638062,0.335935988483,0.516322144904,0.51018215309,0.37325,0.38
SGNSpinit1-rev,0.728654797571,0.680011121165,0.260049201337,0.655607850076,0.0583886500663,0.356537278137,0.52369013508,0.517191977077,0.37575,0.382375
SGNSpinit2-rev,0.729553550507,0.682831090266,0.261170169609,0.655102476707,0.0501837082271,0.349350854803,0.520978305362,0.51545231273,0.372,0.385625
SGNSpinit3-rev,0.733438343725,0.682243924781,0.262801189955,0.663809062306,0.058381183707,0.352590067149,0.521080638559,0.516270978305,0.3705,0.385125
SGNSsvd-rev,0.732856628936,0.688192068623,0.263845247597,0.686610767531,0.0578482396596,0.333395609145,0.527425296766,0.52205280393,0.373625,0.38075
