size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.281218713901,0.27433813724,0.269792094252,0.274085904757,0.270165723788,0.274386630969,0.271098495781,0.249863449908,0.25862616908,0.278518036301
15,0.277734569903,0.272741308204,0.30412360524,0.276890340256,0.30137195485,0.263815885578,0.302858697868,0.236126407358,0.275153019636,0.373764059157
100,0.657830038741,0.571429805649,0.597185064124,0.582475678524,0.601636461799,0.598035644817,0.582262716065,0.63559166336,0.632251274844,0.558833799592
136,0.641183768177,0.632199747574,0.616170451619,0.628163867832,0.619777360495,0.6295980012,0.616577339369,0.63600312003,0.633843543625,0.562776524122
200,0.639988152771,0.647530252528,0.610635458307,0.641438866236,0.611450502952,0.644557154451,0.599745690214,0.635601308858,0.627765356436,0.54495748049
300,0.645747358232,0.655973617542,0.655607850076,0.649023020374,0.655102476707,0.647041378038,0.663809062306,0.672726579733,0.686610767531,0.555024589071
400,0.653118091459,0.662203723053,0.682889248742,0.658370907902,0.696961264579,0.664831105147,0.682683139741,0.6761384175,0.680356798625,0.550107332817
500,0.65884751481,0.662658838123,0.674413143024,0.654161664614,0.670670183275,0.654374626992,0.672297987484,0.671767485255,0.693321105501,0.541563708634
750,0.662704697038,0.703010005311,0.693574426662,0.702166785978,0.690607421609,0.696806682829,0.688545823949,0.69502201241,0.698383721275,0.530977523953
1850,0.662704697038,0.703010005311,0.693574426662,0.702166785978,0.690607421609,0.696806682829,0.688545823949,0.69502201241,0.698383721275,0.530977523953
50,0.634061868458,0.590581019507,0.591455753911,0.57944300553,0.568790588451,0.602013234638,0.572126306617,0.593097848182,0.583917706072,0.578390836608
