size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,0.000125,0.0,0.000125,0.0,0.0,0.000125,0.0,nan,nan,0.0
5,0.00275,0.0025,0.0015,0.00275,0.001375,0.00275,0.001375,0.001375,0.0015,0.002
15,0.01925,0.003375,0.0035,0.002875,0.00325,0.003125,0.002625,0.001625,0.00225,0.024625
100,0.173375,0.182875,0.18425,0.185875,0.182125,0.1875,0.184125,0.2485,0.248875,0.165
136,0.19875,0.244875,0.24025,0.241125,0.239,0.2425,0.241125,0.24675,0.245375,0.17875
200,0.220375,0.318125,0.322125,0.316625,0.323,0.317625,0.31675,0.322125,0.329,0.184875
300,0.2505,0.3795,0.382375,0.381375,0.385625,0.378,0.385125,0.38,0.38075,0.188
400,0.265875,0.42375,0.412875,0.41975,0.41775,0.419375,0.4185,0.424125,0.422375,0.195625
500,0.277375,0.4445,0.446375,0.43775,0.445125,0.444625,0.44525,0.442625,0.44425,0.197125
750,0.335,0.54825,0.545875,0.547,0.545,0.5445,0.548875,0.546625,0.548625,0.19375
1850,0.335,0.54825,0.545875,0.547,0.545,0.5445,0.548875,0.546625,0.548625,0.19375
50,0.114,0.063,0.06225,0.0625,0.0595,0.065,0.064375,0.073375,0.074625,0.116
