size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,-0.0293663738264,-0.0293408774591,-0.0293408774591,-0.0293408774591,-0.0293408774591,-0.0293408774591,-0.0293408774591,nan,nan,0.0293663738264
5,-0.0182505752949,0.00310830079143,-0.00249004991284,-0.00148121202515,-0.00835091439652,-0.00178725980023,-0.00330778491625,-0.022580951056,-0.0157441149585,0.0371582375782
15,0.0399677407651,0.0269530914888,0.0181182420089,0.0313450902192,0.0209270866157,0.0332196672112,0.0218007241786,0.0483599233876,0.0471990365831,0.102712097129
100,0.26743245134,0.293781208638,0.311093601433,0.279480629147,0.307474417154,0.294018185808,0.303278494346,0.272823115542,0.278684215663,0.311238067415
136,0.297906191975,0.324817703328,0.320642029009,0.310283573667,0.322836306153,0.31490484374,0.314325885813,0.325527543949,0.306760096057,0.339527189801
200,0.303476164038,0.33132155519,0.331651006597,0.329260851474,0.324194125587,0.328670681913,0.330163374886,0.332889571287,0.323893158068,0.34145755264
300,0.313949660947,0.343575656366,0.356537278137,0.346650362719,0.349350854803,0.349803407266,0.352590067149,0.335935988483,0.333395609145,0.343033668251
400,0.320694375872,0.385753317007,0.377169691314,0.383409490352,0.375943349886,0.383726104948,0.376192892258,0.380530783029,0.374552670979,0.344526714506
500,0.327869845944,0.386694837698,0.392760080448,0.381952065352,0.390331951623,0.3789932313,0.390547948856,0.387615126375,0.391399383939,0.345564940765
750,0.342220742691,0.419718043308,0.420443669053,0.418084442037,0.420117985123,0.419407705647,0.418679413864,0.416153099082,0.419745738809,0.328287598607
1850,0.342220742691,0.419718043308,0.420443669053,0.418084442037,0.420117985123,0.419407705647,0.418679413864,0.416153099082,0.419745738809,0.328287598607
50,0.188121486311,0.197050700138,0.208618113349,0.194872910492,0.209041059984,0.195496890253,0.2142684991,0.205592341792,0.204519611359,0.258937976655
