model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.499878062373,0.441772736283,0.124274128573,0.557216584863,-0.0312214721968,0.16103224216,0.364562013917,0.369218174376,0.15675,0.173375
SVD,0.672100316576,0.607731303846,0.260785832018,0.558833799592,0.11676374479,0.311238067415,0.294770773639,0.322810069587,0.158875,0.165
SGNSpinit1,0.606998376434,0.572032558353,0.21989831634,0.571429805649,0.0184827491949,0.293781208638,0.285611952517,0.263252148997,0.202,0.182875
SGNSpinit2,0.593045808843,0.559472569103,0.223007844225,0.598035644817,0.0160906014345,0.294018185808,0.288374948833,0.265042979943,0.20325,0.1875
SGNSpinit3,0.623128611884,0.581994536811,0.220026055533,0.582475678524,0.0189140840385,0.279480629147,0.289756446991,0.264531313958,0.201125,0.185875
SGNSsvd,0.644288428043,0.550174622556,0.213363049676,0.63559166336,-0.00281236446028,0.272823115542,0.366659844454,0.352333196889,0.25825,0.2485
SGNSpinit1-rev,0.638101871623,0.588347271239,0.218134572163,0.597185064124,0.031216881848,0.311093601433,0.283104789194,0.261103151862,0.202625,0.18425
SGNSpinit2-rev,0.635348226395,0.582967900358,0.21610741902,0.582262716065,0.0276824312201,0.303278494346,0.286532951289,0.26514531314,0.20325,0.184125
SGNSpinit3-rev,0.620613821529,0.575050510275,0.216899911067,0.601636461799,0.0176767407519,0.307474417154,0.281825624233,0.2598751535,0.198875,0.182125
SGNSsvd-rev,0.646744401281,0.574159260217,0.223859375334,0.632251274844,-0.00437807038189,0.278684215663,0.373158002456,0.357142857143,0.253625,0.248875
