rougher	overhead	overhead
rough	!align="right	!align="right
roughest	finest	finest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	predict	predict
mean	!align="right	!align="right
meanest	constitute	constitute
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	explosive	explosive
heavy	kinds	kinds
heaviest	vocalist	vocalist
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	finest	middleweight
mightier	twins	twins
mighty	!align="right	!align="right
mightiest	vocalist	vocalist
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	luck	luck
bad	reveals	reveals
worst	biggest	biggest
bad	middle	middle
worse	different	different
worst	worst	worst
sadder	stronger	stronger
sad	!align="right	!align="right
saddest	worst	guilty
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	mutation	mutation
wild	!align="right	!align="right
wildest	biggest	biggest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	diagnostic	stronger
strict	!align="right	!align="right
strictest	notion	notion
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	nerve	nerve
narrow	!align="right	!align="right
narrowest	dorsal	longest
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	ancient	ancient
earliest	late	late
early	ancient	ancient
earlier	less	less
earliest	previous	previous
fatter	oxygen	oxygen
fat	!align="right	!align="right
fattest	boots	boots
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	partial	partial
full	donovan	clifford
fullest	biggest	best
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	clifford	clifford
costlier	efficient	efficient
costly	!align="right	!align="right
costliest	worst	worst
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	!align="right	!align="right
toughest	best-known	best-known
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	smallest	smallest
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	upper
short	short	short
shortest	longest	longest
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	fastest	fastest
softer	upper	upper
soft	!align="right	!align="right
softest	rangers	rangers
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	!align="right	!align="right
older	upper	upper
old	comparable	comparable
oldest	oldest	oldest
old	surviving	themed
older	upper	upper
oldest	youngest	hey
richer	griffin	griffin
rich	!align="right	!align="right
richest	oldest	oldest
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
weaker	rational	rational
weak	!align="right	!align="right
weakest	oldest	league's
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
prettier	bigger	viewed
pretty	!align="right	!align="right
prettiest	biggest	scorer
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	bigger	craft
cool	!align="right	!align="right
coolest	fastest	fastest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	!align="right	!align="right
luckier	bigger	bigger
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	younger	friction
light	thick	thick
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	gear
shorter	shorter	shorter
short	lengthy	lengthy
shortest	longest	longest
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	largest	largest
fewer	handful	handful
few	kilometres	kilometres
fewest	handful	handful
few	!align="right	!align="right
fewer	!align="right	!align="right
fewest	largest	largest
sharper	fringe	differently
sharp	!align="right	!align="right
sharpest	largest	particle
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
taller	wingspan	wingspan
tall	!align="right	!align="right
tallest	largest	largest
tall	turnpike	turnpike
taller	temperate	temperate
tallest	!align="right	!align="right
smoother	lighter	lighter
smooth	!align="right	!align="right
smoothest	we're	we're
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
nicer	spectrum	spectrum
nice	!align="right	!align="right
nicest	who's	we're
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	larger	wide
