rougher	typically	turbine
rough	!align="right	ballots
roughest	award	number-one
rough	!align="right	arguments
rougher	!align="right	arguments
roughest	!align="right	ballots
meaner	increase	measured
mean	!align="right	ballots
meanest	award	grammy
mean	!align="right	arguments
meaner	!align="right	arguments
meanest	!align="right	ballots
heavier	light	artillery
heavy	heavy	heavy
heaviest	top	british
heavy	!align="right	arguments
heavier	!align="right	arguments
heaviest	award	emmy
mightier	improved	ha
mighty	!align="right	ballots
mightiest	award	emmy
mighty	!align="right	arguments
mightier	!align="right	arguments
mightiest	!align="right	ballots
noisier	!align="right	ballots
noisy	!align="right	ballots
noisiest	!align="right	ballots
noisy	!align="right	arguments
noisier	!align="right	arguments
noisiest	!align="right	ballots
worse	good	good
bad	school	i
worst	good	worst
bad	school	severe
worse	different	severe
worst	best	worst
sadder	excited	excited
sad	!align="right	brother-in-law
saddest	lowest	think
sad	!align="right	proving
sadder	!align="right	ballots
saddest	!align="right	!align="right
wilder	animals	fish
wild	!align="right	brother-in-law
wildest	top	favourite
wild	!align="right	proving
wilder	!align="right	ballots
wildest	!align="right	!align="right
stricter	regulations	regulations
strict	!align="right	brother-in-law
strictest	rules	rules
strict	!align="right	proving
stricter	!align="right	ballots
strictest	!align="right	!align="right
narrower	broad	anterior
narrow	!align="right	brother-in-law
narrowest	broad	longest
narrow	!align="right	proving
narrower	!align="right	ballots
narrowest	!align="right	!align="right
classier	!align="right	ballots
classy	!align="right	argument
classiest	!align="right	finishes
classy	!align="right	ballots
classier	!align="right	ballots
classiest	!align="right	beatles
earlier	late	in
early	later	later
earliest	late	edition
early	some	ancient
earlier	some	these
earliest	previous	first
fatter	higher	weight
fat	!align="right	argument
fattest	best	pie
fat	!align="right	ballots
fatter	!align="right	ballots
fattest	!align="right	beatles
fuller	higher	higher
full	john	mary
fullest	best	cd
full	!align="right	ballots
fuller	!align="right	ballots
fullest	best	kenny
costlier	reduced	costs
costly	!align="right	argument
costliest	biggest	disappointing
costly	!align="right	ballots
costlier	!align="right	ballots
costliest	!align="right	beatles
tougher	upper	upper
tough	!align="right	ballots
toughest	number-one	quarter-finals
tough	!align="right	inadequate
tougher	!align="right	argument
toughest	!align="right	ballots
gentler	upper	upper
gentle	!align="right	ballots
gentlest	number-one	overs
gentle	!align="right	inadequate
gentler	!align="right	argument
gentlest	!align="right	ballots
shorter	upper	long
short	short	short
shortest	long	best
short	!align="right	inadequate
shorter	!align="right	argument
shortest	highest	orchestral
softer	upper	upper
soft	!align="right	ballots
softest	number-one	number-one
soft	!align="right	inadequate
softer	!align="right	argument
softest	!align="right	ballots
older	upper	located
old	and	and
oldest	years	overs
old	and	such
older	upper	central
oldest	younger	unreleased
richer	unique	and
rich	!align="right	ballots
richest	biggest	world's
rich	!align="right	ballots
richer	!align="right	ballots
richest	!align="right	!align="right
weaker	smaller	mentally
weak	!align="right	ballots
weakest	biggest	biggest
weak	!align="right	ballots
weaker	!align="right	ballots
weakest	!align="right	!align="right
prettier	it's	think
pretty	!align="right	ballots
prettiest	biggest	gonna
pretty	!align="right	ballots
prettier	!align="right	ballots
prettiest	!align="right	!align="right
cooler	warm	rainy
cool	!align="right	ballots
coolest	warm	producer
cool	!align="right	ballots
cooler	!align="right	ballots
coolest	!align="right	!align="right
luckier	bigger	gonna
lucky	!align="right	ballots
luckiest	biggest	best-selling
lucky	!align="right	ballots
luckier	!align="right	ballots
luckiest	!align="right	!align="right
lighter	are	armored
light	near	dark
lightest	largest	largest
light	!align="right	ballots
lighter	!align="right	argument
lightest	largest	battalions
shorter	long	shorter
short	short	short
shortest	long	longest
short	!align="right	ballots
shorter	!align="right	argument
shortest	largest	longest
fewer	several	other
few	over	kilometres
fewest	several	other
few	!align="right	ballots
fewer	!align="right	argument
fewest	largest	fastest
sharper	younger	wingspan
