rougher	rails	rails
rough	!align="right	!align="right
roughest	finest	finest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	predict	anticipated
mean	!align="right	!align="right
meanest	constitute	constitute
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	artillery	artillery
heavy	strong	strong
heaviest	metal	metal
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	finest	mare
mightier	rhythmic	rhythmic
mighty	!align="right	!align="right
mightiest	rhythmic	rhythmic
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	harder	harder
bad	arrives	arrives
worst	biggest	biggest
bad	school	bad
worse	faster	faster
worst	worst	worst
sadder	funny	funny
sad	!align="right	!align="right
saddest	best-known	nobody
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	herb	herb
wild	!align="right	!align="right
wildest	fastest	fastest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	resonance	simpler
strict	!align="right	!align="right
strictest	lowest	lowest
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	dorsal	dorsal
narrow	!align="right	!align="right
narrowest	longest	longest
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	previous	holiday
earliest	late	late
early	ancient	ancient
earlier	larger	demonstrations
earliest	previous	previous
fatter	calcium	gases
fat	!align="right	!align="right
fattest	self-titled	self-titled
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	partial	partial
full	roberts	roberts
fullest	partial	partial
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	professionally	professionally
costlier	unified	unified
costly	!align="right	!align="right
costliest	biggest	biggest
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	!align="right	!align="right
toughest	number-one	number-one
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
gentler	upper	they're
gentle	!align="right	!align="right
gentlest	scorer	scorer
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	stretch
short	short	short
shortest	longest	longest
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	scorer	similarities
softer	upper	leg
soft	!align="right	!align="right
softest	scorer	scorer
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	!align="right	!align="right
older	upper	upper
old	ace	ace
oldest	lay	lay
old	prevalent	prevalent
older	upper	upper
oldest	ace	ace
richer	lighter	lighter
rich	!align="right	!align="right
richest	oldest	throughout
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
weaker	communism	communism
weak	!align="right	!align="right
weakest	worst	worst
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
prettier	harder	r&b
pretty	!align="right	!align="right
prettiest	you're	you're
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	deeper	deeper
cool	!align="right	!align="right
coolest	oldest	fastest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	!align="right	!align="right
luckier	harder	harder
lucky	!align="right	!align="right
luckiest	longest	roberto
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	heavier	heavier
light	thick	thick
lightest	largest	handling
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	full-length	full-length
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	largest	largest
fewer	handful	handful
few	few	few
fewest	handful	handful
few	!align="right	!align="right
fewer	!align="right	!align="right
fewest	largest	largest
sharper	darker	blade
sharp	!align="right	!align="right
sharpest	distinctive	distinctive
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
taller	wingspan	wingspan
tall	!align="right	!align="right
tallest	tallest	populated
tall	frame	frame
taller	mid-1990s	mid-1990s
tallest	!align="right	!align="right
smoother	lighter	lighter
smooth	!align="right	!align="right
smoothest	tallest	we're
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
nicer	easier	easier
nice	!align="right	!align="right
nicest	who's	who's
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	wider	wider
broad	strict	strict
