rougher	slope	slope
rough	!	!
roughest	inspiration	inspiration
rough	!	!
rougher	!	!
roughest	!	!
meaner	probability	probability
mean	!	!
meanest	density	firm
mean	!	!
meaner	!	!
meanest	!	!
heavier	pumps	pumps
heavy	alloy	somewhere
heaviest	awards	congo
heavy	!	!
heavier	!	!
heaviest	awards	munich
mightier	wcw	wcw
mighty	!	!
mightiest	casey	casey
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	recalled	recalled
bad	tower	florida
worst	peaking	imprisonment
bad	seems	seems
worse	rarely	rarely
worst	dramatic	dramatic
sadder	sunni	replied
sad	!	!
saddest	ain	goodbye
sad	!	!
sadder	!	!
saddest	!	!
wilder	tomatoes	captivity
wild	!	!
wildest	tomatoes	tomatoes
wild	!	!
wilder	!	!
wildest	!	!
stricter	socialism	socialism
strict	!	!
strictest	ethical	socialism
strict	!	!
stricter	!	!
strictest	!	!
narrower	centimeters	centimeters
narrow	!	!
narrowest	centimeters	albion
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	predict	predict
early	1804	1804
earliest	emerge	emerge
early	belong	moose
earlier	platforms	platforms
earliest	80s	80s
fatter	pulse	pulse
fat	!	!
fattest	ambient	ambient
fat	!	!
fatter	!	!
fattest	!	!
fuller	carriers	carriers
full	1932	1932
fullest	08	08
full	!	!
fuller	!	!
fullest	theologian	theologian
costlier	consideration	consideration
costly	!	!
costliest	sum	sum
costly	!	!
costlier	!	!
costliest	!	!
tougher	retain	appeared
tough	!	!
toughest	ign	rewarded
tough	!	!
tougher	!	!
toughest	!	!
gentler	shining	shining
gentle	!	!
gentlest	watershed	marked
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	noon	noon
short	dome	dome
shortest	marked	marked
short	!	!
shorter	!	!
shortest	loading	loading
softer	dishes	dishes
soft	!	!
softest	dishes	insects
soft	!	!
softer	!	!
softest	!	!
older	eden	eden
old	popularity	popularity
oldest	quarter	quarter
old	visible	visible
older	bordered	bordered
oldest	bruins	bruins
richer	volkswagen	volkswagen
rich	!	!
richest	belongs	varieties
rich	reporter	reporter
richer	earth	earth
richest	!	!
weaker	equilibrium	equilibrium
weak	!	!
weakest	strictly	strictly
weak	!	!
weaker	!	!
weakest	!	!
prettier	gonna	gonna
pretty	!	!
prettiest	gonna	gonna
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	measurement	accuracy
cool	humid	humid
coolest	humid	airs
cool	!	!
cooler	!	!
coolest	humid	summers
luckier	assured	assured
lucky	!	!
luckiest	jamaican	jamaican
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	finger	finger
light	forewings	forewings
lightest	plaster	plaster
light	!	!
lighter	!	!
lightest	chocolate	chocolate
shorter	seconds	seconds
short	fold	fold
shortest	margins	margins
short	!	!
shorter	!	!
shortest	symphonic	symphonic
fewer	seconds	seconds
few	inmates	inmates
fewest	politician	politician
few	!	!
fewer	!	!
fewest	recreational	recreational
sharper	daytime	daytime
sharp	!	!
sharpest	host	host
sharp	!	!
sharper	!	!
sharpest	!	!
taller	shrubs	shrubs
tall	!	!
tallest	shrubs	shrubs
tall	streetcar	streetcar
taller	streetcar	streetcar
tallest	!	!
smoother	gradient	gradient
smooth	!	!
smoothest	metric	metric
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	rough	rough
nice	!	!
nicest	metric	metric
nice	!	!
nicer	!	!
nicest	!	!
broader	encoding	encoding
broad	breeds	steadily
broadest	inverse	inverse
broad	!	!
broader	!	!
broadest	coverage	coverage
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	flanders	acoustic
great	taxes	taxes
greatest	f	geological
great	thanks	thanks
greater	thanks	thanks
greatest	gmina	gmina
wilder	mushroom	mushroom
wild	!	!
wildest	!	!
wild	dirty	integrate
wilder	smooth	smooth
wildest	!	!
smoother	mushroom	mushroom
smooth	!	!
smoothest	!	!
smooth	dirty	integrate
smoother	smooth	smooth
smoothest	!	!
mightier	wcw	winds
mighty	!	!
mightiest	!	!
mighty	dirty	integrate
mightier	smooth	smooth
mightiest	!	!
leaner	cotton	cotton
lean	!	!
leanest	!	!
lean	dirty	integrate
leaner	smooth	smooth
leanest	!	!
cleaner	3500	3500
clean	!	!
cleanest	!	!
clean	dirty	integrate
cleaner	smooth	smooth
cleanest	!	!
narrower	centimeters	shrubs
narrow	!	!
narrowest	centimeters	centimeters
narrow	!	!
narrower	!	!
narrowest	!	!
colder	fin	fin
cold	!	!
coldest	norse	hat
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	drain	drain
deep	insect	insect
deepest	dressed	dressed
deep	!	!
deeper	!	!
deepest	stretch	stretch
taller	stuck	stuck
tall	!	!
tallest	centimeters	centimeters
tall	runway	runway
taller	lined	garnered
tallest	!	!
quicker	baseman	baseman
quick	!	!
quickest	clutch	clutch
quick	!	!
quicker	!	!
quickest	!	!
narrower	atoms	atoms
narrow	!	!
narrowest	centimeters	viaduct
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	drain	drain
deep	soul	soul
deepest	cerambycidae	cerambycidae
deep	!	!
deeper	!	!
deepest	prey	prey
closer	suited	suited
close	allan	allan
closest	cerambycidae	cerambycidae
close	correlation	correlation
closer	clock	clock
closest	27th	27th
taller	height	height
tall	!	!
tallest	crambidae	crambidae
tall	close	close
taller	graduated	graduated
tallest	!	!
kinder	minds	minds
kind	!	!
kindest	berth	brass
kind	!	!
kinder	!	!
kindest	!	!
heavier	simpler	simpler
heavy	farms	farms
heaviest	cycling	cycling
heavy	!	!
heavier	!	!
heaviest	ratio	ratio
mightier	flyers	flyers
mighty	!	!
mightiest	serie	serie
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	productivity	productivity
lean	!	!
leanest	crucial	crucial
lean	!	!
leaner	!	!
leanest	!	!
smarter	shelters	shelters
smart	!	!
smartest	confederation	confederation
