rougher	significantly	significantly
rough	!	!
roughest	awards	nominations
rough	!	!
rougher	!	!
roughest	!	!
meaner	averages	averages
mean	!	!
meanest	awards	grammy
mean	!	!
meaner	!	!
meanest	!	!
heavier	rainfall	rainfall
heavy	lighter	inspiration
heaviest	awards	awards
heavy	!	!
heavier	!	!
heaviest	awards	awards
mightier	flyers	lee
mighty	!	!
mightiest	awards	awards
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	four-year	grants
bad	school	attended
worst	good	good
bad	school	school
worse	education	education
worst	something	something
sadder	memories	loved
sad	!	!
saddest	belong	belong
sad	!	!
sadder	!	!
saddest	!	!
wilder	deer	deer
wild	!	!
wildest	trout	salmon
wild	!	!
wilder	!	!
wildest	!	!
stricter	standards	standards
strict	!	!
strictest	enforced	guidelines
strict	!	!
stricter	!	!
strictest	!	!
narrower	margin	margin
narrow	!	!
narrowest	margin	margin
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	been	been
earliest	late	late
early	mentioned	oldest
earlier	oldest	oldest
earliest	19th	19th
fatter	weight	weight
fat	!	!
fattest	neil	substances
fat	!	!
fatter	!	!
fattest	!	!
fuller	syllable	syllable
full	scholars	scholars
fullest	ambition	ambition
full	!	!
fuller	!	!
fullest	achievements	curtis
costlier	expensive	expensive
costly	!	!
costliest	expensive	upset
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	!	!
toughest	guys	contestants
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	upper
gentle	!	!
gentlest	rouge	rouge
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	less	less
shortest	novel	novel
short	!	!
shorter	!	!
shortest	note	note
softer	upper	upper
soft	!	!
softest	placing	placing
soft	!	!
softer	!	!
softest	!	!
older	upper	upper
old	65	65
oldest	name	mercury
old	reducing	reducing
older	upper	upper
oldest	65	65
richer	heavier	heavier
rich	!	!
richest	fauna	fauna
rich	wealthy	wealthy
richer	heavier	heavier
richest	!	!
weaker	heavier	heavier
weak	!	!
weakest	blind	blind
weak	!	!
weaker	!	!
weakest	!	!
prettier	much	much
pretty	!	!
prettiest	grid	grid
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	summers	summers
cool	warm	warm
coolest	summers	summers
cool	!	!
cooler	!	!
coolest	summers	warm
luckier	differed	differed
lucky	!	!
luckiest	rapper	rapper
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	65	living
light	heavier	heavier
lightest	visible	visible
light	!	!
lighter	!	!
lightest	heavier	heavier
shorter	65	65
short	few	few
shortest	longest	longest
short	!	!
shorter	!	!
shortest	greater	greater
fewer	65	living
few	than	than
fewest	hundred	hundred
few	!	!
fewer	!	!
fewest	jobs	jobs
sharper	65	65
sharp	!	!
sharpest	governed	governed
sharp	!	!
sharper	!	!
sharpest	!	!
taller	65	centimeters
tall	!	!
tallest	erect	erect
tall	height	height
taller	18	18
tallest	!	!
smoother	slightly	slightly
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	than	budapest
nice	!	!
nicest	vertices	vertices
nice	!	!
nicer	!	!
nicest	!	!
broader	broadly	capsule
broad	is	sufficient
broadest	subspecies	subspecies
broad	!	!
broader	!	!
broadest	vertices	strokes
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	much	much
