rougher	slope	slope
rough	!	!
roughest	inspiration	inspiration
rough	!	!
rougher	!	!
roughest	!	!
meaner	probability	probability
mean	!	!
meanest	firm	firm
mean	!	!
meaner	!	!
meanest	!	!
heavier	pumps	pumps
heavy	shoulders	shoulders
heaviest	awards	congo
heavy	!	!
heavier	!	!
heaviest	awards	munich
mightier	wcw	uss
mighty	!	!
mightiest	casey	casey
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	recalled	recalled
bad	tower	tower
worst	peaking	peaking
bad	seems	seems
worse	rarely	rarely
worst	dramatic	dramatic
sadder	replied	replied
sad	!	!
saddest	goodbye	goodbye
sad	!	!
sadder	!	!
saddest	!	!
wilder	cerambycidae	captivity
wild	!	!
wildest	tomatoes	geological
wild	!	!
wilder	!	!
wildest	!	!
stricter	socialism	socialism
strict	!	!
strictest	socialism	socialism
strict	!	!
stricter	!	!
strictest	!	!
narrower	centimeters	centimeters
narrow	!	!
narrowest	centimeters	index
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	bristol	predict
early	1804	1804
earliest	emerge	emerge
early	belong	moose
earlier	shifts	shifts
earliest	80s	80s
fatter	pulse	pulse
fat	!	!
fattest	ambient	ambient
fat	!	!
fatter	!	!
fattest	!	!
fuller	liberties	fcc
full	cromwell	1932
fullest	08	08
full	!	!
fuller	!	!
fullest	theologian	theologian
costlier	consideration	consideration
costly	!	!
costliest	sum	sum
costly	!	!
costlier	!	!
costliest	!	!
tougher	retain	retain
tough	!	!
toughest	ign	rewarded
tough	!	!
tougher	!	!
toughest	!	!
gentler	shining	shining
gentle	!	!
gentlest	watershed	calls
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	noon	noon
short	dome	dome
shortest	marked	marked
short	!	!
shorter	!	!
shortest	loading	loading
softer	dishes	dishes
soft	!	!
softest	dishes	insects
soft	!	!
softer	!	!
softest	!	!
older	eden	eden
old	popularity	popularity
oldest	quarter	quarter
old	principality	visible
older	bordered	bordered
oldest	bruins	bruins
richer	volkswagen	volkswagen
rich	!	!
richest	varieties	varieties
rich	reporter	reporter
richer	earth	earth
richest	!	!
weaker	equilibrium	equilibrium
weak	!	!
weakest	strictly	strictly
weak	!	!
weaker	!	!
weakest	!	!
prettier	gonna	gonna
pretty	!	!
prettiest	gonna	gonna
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	spatial	spatial
cool	humid	humid
coolest	humid	performs
cool	!	!
cooler	!	!
coolest	humid	summers
luckier	assured	assured
lucky	!	!
luckiest	jamaican	jamaican
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	finger	finger
light	forewings	forewings
lightest	plaster	plaster
light	!	!
lighter	!	!
lightest	chocolate	chocolate
shorter	parody	parody
short	fold	fold
shortest	margins	margins
short	!	!
shorter	!	!
shortest	symphonic	symphonic
fewer	seconds	seconds
few	inmates	inmates
fewest	politician	politician
few	!	!
fewer	!	!
fewest	recreational	recreational
sharper	daytime	daytime
sharp	!	!
sharpest	contributing	contributing
sharp	!	!
sharper	!	!
sharpest	!	!
taller	dense	shrubs
tall	!	!
tallest	shrubs	shrubs
tall	streetcar	streetcar
taller	streetcar	streetcar
tallest	!	!
smoother	gradient	gradient
smooth	!	!
smoothest	metric	metric
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	rough	rough
nice	!	!
nicest	metric	metric
nice	!	!
nicer	!	!
nicest	!	!
broader	encoding	encoding
broad	steadily	steadily
broadest	inverse	inverse
broad	!	!
broader	!	!
broadest	coverage	coverage
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	acoustic	acoustic
great	taxes	taxes
greatest	f	f
great	thanks	thanks
greater	thanks	thanks
greatest	gmina	gmina
wilder	mushroom	mushroom
wild	!	!
wildest	!	!
wild	dirty	dirty
wilder	smooth	smooth
wildest	!	!
smoother	mushroom	mushroom
smooth	!	!
smoothest	!	!
smooth	dirty	dirty
smoother	smooth	smooth
smoothest	!	!
mightier	wcw	peggy
mighty	!	!
mightiest	!	!
mighty	dirty	dirty
mightier	smooth	smooth
mightiest	!	!
leaner	cotton	cotton
lean	!	!
leanest	!	!
lean	dirty	dirty
leaner	smooth	smooth
leanest	!	!
cleaner	3500	3500
clean	!	!
cleanest	!	!
clean	dirty	dirty
cleaner	smooth	smooth
cleanest	!	!
narrower	shrubs	shrubs
narrow	!	!
narrowest	centimeters	centimeters
narrow	!	!
narrower	!	!
narrowest	!	!
colder	fin	fin
cold	!	!
coldest	norse	norse
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	drain	drain
deep	insect	insect
deepest	dressed	dressed
deep	!	!
deeper	!	!
deepest	stretch	stretch
taller	shrubs	stuck
tall	!	!
tallest	centimeters	centimeters
tall	runway	runway
taller	pittsburgh	garnered
tallest	!	!
quicker	baseman	baseman
quick	!	!
quickest	clutch	clutch
quick	!	!
quicker	!	!
quickest	!	!
narrower	roofs	roofs
narrow	!	!
narrowest	centimeters	viaduct
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	drain	drain
deep	soul	soul
deepest	cerambycidae	cerambycidae
deep	!	!
deeper	!	!
deepest	prey	prey
closer	suited	suited
close	allan	allan
closest	cerambycidae	cerambycidae
close	correlation	correlation
closer	clock	clock
closest	27th	27th
taller	height	oz
tall	!	!
tallest	crambidae	crambidae
tall	close	close
taller	graduated	wooded
tallest	!	!
kinder	minds	conventional
kind	!	!
kindest	brass	brass
kind	!	!
kinder	!	!
kindest	!	!
heavier	simpler	simpler
heavy	farms	farms
heaviest	rolling	nationalist
heavy	!	!
heavier	!	!
heaviest	ratio	ratio
mightier	flyers	flyers
mighty	!	!
mightiest	serie	serie
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	stronger	stronger
lean	!	!
leanest	races	races
lean	!	!
leaner	!	!
leanest	!	!
smarter	shelters	shelters
smart	!	!
smartest	confederation	confederation
