rougher	variously	variously
rough	!	!
roughest	cluster	cluster
rough	!	!
rougher	!	!
roughest	!	!
meaner	modular	modular
mean	!	!
meanest	bowie	bowie
mean	!	!
meaner	!	!
meanest	!	!
heavier	armament	armament
heavy	lighter	lighter
heaviest	scrub	scrub
heavy	!	!
heavier	!	!
heaviest	tonnes	tonnes
mightier	jeff	jeff
mighty	!	!
mightiest	harvey	harvey
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	aspect	aspect
bad	busy	busy
worst	slovenian	slovenian
bad	generates	constructing
worse	cannons	cannons
worst	happening	happening
sadder	distant	distant
sad	!	!
saddest	distant	distant
sad	!	!
sadder	!	!
saddest	!	!
wilder	arrive	arrive
wild	!	!
wildest	grossed	grossed
wild	!	!
wilder	!	!
wildest	!	!
stricter	analysis	analysis
strict	!	!
strictest	slovenian	slovenian
strict	!	!
stricter	!	!
strictest	!	!
narrower	cap	cap
narrow	!	!
narrowest	median	median
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	broader	broader
early	violet	violet
earliest	emerge	emerge
early	gardens	gardens
earlier	oldest	rapidly
earliest	jessie	jessie
fatter	tissues	decreases
fat	!	!
fattest	substances	mk
fat	!	!
fatter	!	!
fattest	!	!
fuller	symphony	symphony
full	crosby	violet
fullest	shaft	shaft
full	!	!
fuller	!	!
fullest	todd	todd
costlier	expensive	broader
costly	!	!
costliest	emerge	emerge
costly	!	!
costlier	!	!
costliest	!	!
tougher	applies	applies
tough	!	!
toughest	stuff	stuff
tough	!	!
tougher	!	!
toughest	!	!
gentler	ridges	ridges
gentle	!	!
gentlest	satire	satire
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	parties	16
short	driving	issuing
shortest	milestone	milestone
short	!	!
shorter	!	!
shortest	progression	progression
softer	wit	wit
soft	!	!
softest	consonants	consonants
soft	!	!
softer	!	!
softest	!	!
older	600	600
old	unpopular	unpopular
oldest	slovenia	venezuela
old	shrine	bordered
older	bordered	bordered
oldest	females	females
richer	melodic	melodic
rich	!	!
richest	spokesperson	spokesperson
rich	thickness	thickness
richer	blanc	blanc
richest	!	!
weaker	vietnamese	vietnamese
weak	!	!
weakest	fare	fare
weak	!	!
weaker	!	!
weakest	!	!
prettier	tunes	sunshine
pretty	!	!
prettiest	oh	oh
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	accuracy	accuracy
cool	humid	cool
coolest	summers	summers
cool	!	!
cooler	!	!
