rougher	worse	processing
rough	!	!
roughest	comprising	comprising
rough	!	!
rougher	!	!
roughest	!	!
meaner	analog	mode
mean	!	!
meanest	innovation	innovation
mean	!	!
meaner	!	!
meanest	!	!
heavier	automotive	automotive
heavy	drinking	drinking
heaviest	mm	76
heavy	!	!
heavier	!	!
heaviest	mk	mk
mightier	2d	2d
mighty	!	!
mightiest	mega	mega
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	crack	cultures
bad	audition	audition
worst	honored	honored
bad	tragedy	tragedy
worse	prescribed	prescribed
worst	say	say
sadder	my	my
sad	!	!
saddest	songwriter	songwriter
sad	!	!
sadder	!	!
saddest	!	!
wilder	activity	activity
wild	!	!
wildest	swamp	swamp
wild	!	!
wilder	!	!
wildest	!	!
stricter	rational	rational
strict	!	!
strictest	restrictions	restrictions
strict	!	!
stricter	!	!
strictest	!	!
narrower	shaped	shaped
narrow	!	!
narrowest	consequently	consequently
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	rockets	rockets
early	andrea	andrea
earliest	87	87
early	emigrated	emigrated
earlier	outline	vessels
earliest	andrea	andrea
fatter	thereby	thereby
fat	!	!
fattest	pocket	pocket
fat	!	!
fatter	!	!
fattest	!	!
fuller	higher	higher
full	andrea	andrea
fullest	predecessor	predecessor
full	!	!
fuller	!	!
fullest	ronnie	ronnie
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	shoes	declaration
tough	!	!
toughest	averaging	averaging
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	declaration	declaration
short	hybrid	hybrid
shortest	finite	finite
short	!	!
shorter	!	!
shortest	averaging	averaging
softer	insects	shoes
soft	!	!
softest	fibers	fibers
soft	!	!
softer	!	!
softest	!	!
older	paramount	paramount
old	alumni	alumni
oldest	ruins	ruins
old	venture	complement
older	landmark	landmark
oldest	44	alumni
richer	granting	granting
rich	!	!
richest	exported	exported
rich	!	!
richer	!	!
