rougher	understand	understand
rough	!	!
roughest	awards	nominated
rough	!	!
rougher	!	!
roughest	!	!
meaner	necessarily	necessarily
mean	!	!
meanest	grammy	grammy
mean	!	!
meaner	!	!
meanest	!	!
heavier	losses	losses
heavy	lighter	missiles
heaviest	grammy	grammy
heavy	!	!
heavier	!	!
heaviest	awards	awards
mightier	fuller	fuller
mighty	!	!
mightiest	emmy	emmy
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	good	worse
bad	school	graduating
worst	lowest	lowest
bad	school	school
worse	decreased	decreased
worst	reaching	reaching
sadder	restructuring	restructuring
sad	!	!
saddest	best-selling	best-selling
sad	!	!
sadder	!	!
saddest	!	!
wilder	deer	deer
wild	!	!
wildest	deer	deer
wild	!	!
wilder	!	!
wildest	!	!
stricter	rules	standards
strict	!	!
strictest	rules	rules
strict	!	!
stricter	!	!
strictest	!	!
narrower	curve	curve
narrow	!	!
narrowest	summit	summit
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	discovered	discovered
earliest	late	late
early	europeans	europeans
earlier	focuses	focuses
earliest	most	most
fatter	muscle	muscle
fat	!	!
fattest	hop	hop
fat	!	!
fatter	!	!
fattest	!	!
fuller	gmina	gmina
full	accepted	accepted
fullest	guinness	guinness
full	!	!
fuller	!	!
fullest	accepted	accepted
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	saxony	saxony
tough	!	!
toughest	riders	riders
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	rhine	rhine
short	mm	mm
shortest	rotation	rotation
short	!	!
shorter	!	!
shortest	mm	mm
softer	tissues	tissues
soft	!	!
softest	tissues	tissues
soft	!	!
softer	!	!
softest	!	!
older	norse	resembling
old	65	65
oldest	norse	norse
old	dating	settlements
older	saxony	saxony
oldest	65	65
richer	modified	chassis
rich	!	!
richest	grows	grows
rich	!	!
richer	!	!
richest	!	!
weaker	slightly	slightly
weak	!	!
weakest	magnetic	magnetic
weak	!	!
weaker	!	!
weakest	!	!
prettier	're	're
pretty	!	!
prettiest	oh	're
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	warm	warm
cool	!	!
coolest	mild	mild
cool	!	!
cooler	!	!
coolest	!	!
luckier	're	constellation
lucky	!	!
luckiest	casino	casino
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	65	65
light	heavier	heavier
lightest	color	color
light	!	!
lighter	!	!
lightest	darker	butter
shorter	65	65
short	norse	rites
shortest	directed	directed
short	!	!
shorter	!	!
shortest	congregation	congregation
fewer	65	65
few	norse	norse
fewest	eight	eight
few	!	!
fewer	!	!
fewest	bells	bells
sharper	65	65
sharp	!	!
sharpest	knife	knife
sharp	!	!
sharper	!	!
sharpest	!	!
taller	height	stems
tall	!	!
tallest	perennial	perennial
tall	cascade	floors
taller	65	65
tallest	!	!
smoother	texture	texture
smooth	!	!
smoothest	algebra	integer
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	much	cyrus
nice	!	!
nicest	integer	integer
nice	!	!
nicer	!	!
nicest	!	!
broader	fin	fin
broad	linear	linear
broadest	index	index
broad	!	!
broader	!	!
broadest	linear	linear
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	empire	empire
great	voivodeship	voivodeship
greatest	integer	integer
great	large	large
greater	most	most
greatest	voivodeship	voivodeship
wilder	deer	deer
wild	!	!
wildest	!	!
wild	difficult	difficult
wilder	maintenance	maintenance
wildest	!	!
smoother	bark	bark
smooth	!	!
smoothest	!	!
smooth	difficult	difficult
smoother	maintenance	maintenance
smoothest	!	!
mightier	drafted	flames
mighty	!	!
mightiest	!	!
mighty	difficult	difficult
mightier	maintenance	maintenance
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	difficult	difficult
leaner	maintenance	maintenance
leanest	!	!
cleaner	sheets	sheets
clean	!	!
cleanest	!	!
clean	difficult	difficult
cleaner	maintenance	maintenance
cleanest	!	!
narrower	forewings	forewings
narrow	!	!
narrowest	apex	basal
narrow	!	!
narrower	!	!
narrowest	!	!
colder	humid	humid
cold	!	!
coldest	warm	cool
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	drowned	drowned
deep	late	late
deepest	shallow	shallow
deep	!	!
deeper	!	!
deepest	shallow	shallow
taller	inches	inches
tall	!	!
tallest	perennial	perennial
tall	late	late
taller	building	building
tallest	!	!
quicker	succession	succession
quick	!	!
quickest	crucial	longest
quick	!	!
quicker	!	!
quickest	!	!
narrower	apex	apex
narrow	!	!
narrowest	apex	apex
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	deeper	deeper
deep	shallow	shallow
deepest	deeper	grandchildren
deep	!	!
deeper	!	!
deepest	shallow	shallow
closer	brother	brother
close	pitcher	pitcher
closest	siblings	siblings
close	youth	youth
closer	brother	brother
closest	pitcher	pitcher
taller	height	height
tall	!	!
tallest	height	height
tall	tower	tower
taller	earl	earl
tallest	!	!
kinder	what	what
kind	!	!
kindest	streak	streak
kind	!	!
kinder	!	!
kindest	!	!
heavier	anti-aircraft	anti-aircraft
heavy	lighter	lighter
heaviest	consecutive	consecutive
heavy	!	!
heavier	!	!
heaviest	u.	u.
mightier	drafted	drafted
mighty	!	!
mightiest	consecutive	consecutive
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	nor	nor
smart	!	!
smartest	grid	grid
smart	!	!
smarter	!	!
smartest	!	!
milder	summers	summers
mild	!	!
mildest	winters	humid
mild	!	!
milder	!	!
mildest	!	!
weaker	induction	induction
weak	!	!
weakest	x-ray	x-ray
weak	!	!
weaker	!	!
weakest	!	!
friendlier	capped	capped
friendly	!	!
friendliest	43	43
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	youth	youth
young	son	son
youngest	youth	youth
young	become	become
younger	sister	outfit
youngest	son	eldest
clearer	wells	wells
clear	!	!
clearest	!	!
clear	seven	seven
clearer	than	than
clearest	!	!
friendlier	substitute	substitute
friendly	!	!
friendliest	!	!
friendly	seven	seven
friendlier	than	than
friendliest	!	!
cleaner	pollution	pollution
clean	!	!
cleanest	!	!
clean	seven	seven
cleaner	than	than
cleanest	!	!
stronger	realistic	realistic
strong	able	able
strongest	!	!
strong	cyclone	cyclone
stronger	viking	viking
strongest	!	!
freer	farmers	farmers
free	!	!
freest	!	!
free	seven	seven
freer	than	than
freest	!	!
tougher	fraction	fraction
tough	!	!
toughest	truly	truly
tough	!	!
tougher	!	!
toughest	!	!
funnier	isn	isn
funny	!	!
funniest	boys	boys
funny	!	!
funnier	!	!
funniest	!	!
nicer	heavier	fraction
nice	!	!
nicest	citation	fraction
nice	!	!
nicer	!	!
nicest	!	!
greater	europeans	europeans
great	necessary	necessary
greatest	alliance	alliance
great	judith	judith
greater	walls	mere
greatest	gmina	gmina
bolder	mason	mason
bold	!	!
boldest	texture	promptly
bold	!	!
bolder	!	!
boldest	!	!
poorer	finances	finances
poor	!	!
poorest	quantity	quantity
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	tall	than
long	long	long
longest	tall	tall
long	streak	stretch
longer	streak	streak
longest	no	no
harder	funk	funk
hard	precipitation	critically
hardest	rock	rock
hard	!	!
harder	!	!
hardest	buddy	buddy
wiser	sharon	reporter
wise	!	!
wisest	rabbi	step
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	century
early	russia	russia
earliest	late	1880s
early	caves	caves
earlier	back	back
earliest	approach	approach
sadder	sure	sure
sad	!	!
saddest	sure	sure
sad	!	!
sadder	!	!
saddest	!	!
darker	pale	pale
dark	forewings	forewings
darkest	pale	shade
dark	!	!
darker	!	!
darkest	forewings	forewings
quicker	pitcher	reds
quick	!	!
quickest	warren	troubles
quick	!	!
quicker	!	!
quickest	!	!
brighter	red	red
bright	!	!
brightest	red	orange
bright	!	!
brighter	!	!
brightest	!	!
cheaper	connections	connections
cheap	!	!
cheapest	!	!
cheap	rounded	rounded
cheaper	stronger	stronger
cheapest	!	!
higher	school	school
high	education	education
highest	!	!
high	valleys	valleys
higher	lowest	lowest
highest	!	!
fairer	understood	understood
fair	!	!
fairest	!	!
fair	rounded	rounded
fairer	stronger	stronger
fairest	!	!
wiser	predecessors	predecessors
wise	!	!
wisest	!	!
wise	rounded	rounded
wiser	stronger	stronger
wisest	!	!
taller	height	height
tall	!	!
tallest	!	!
tall	tall	tall
taller	cascade	cascade
tallest	!	!
poorer	finances	probable
poor	!	!
poorest	!	!
poor	rock	rock
poorer	decides	decides
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	rock	rock
messier	decides	decides
messiest	!	!
busier	bees	bees
busy	!	!
busiest	!	!
busy	rock	rock
busier	decides	decides
busiest	!	!
taller	height	height
tall	!	!
tallest	!	!
tall	peaks	granite
taller	tower	tower
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	rock	rock
trickier	decides	decides
trickiest	!	!
higher	!	!
high	education	education
highest	!	!
high	rises	rises
higher	lowest	lowest
highest	education	education
slower	!	!
slow	fastest	fastest
slowest	!	!
slow	reign	reign
slower	!	!
slowest	faster	faster
smarter	!	!
smart	reign	reign
smartest	!	!
smart	reign	reign
smarter	!	!
smartest	!	!
older	!	!
old	65	65
oldest	!	!
old	layer	layer
older	date	date
oldest	65	65
stronger	!	!
strong	heavier	frustrated
strongest	!	!
strong	winds	winds
stronger	hurricane	hurricane
strongest	heavier	heavier
cheaper	!	!
cheap	wish	wish
cheapest	!	!
cheap	wish	wish
cheaper	!	!
cheapest	!	!
classier	!	!
classy	wish	wish
classiest	!	!
classy	wish	wish
classier	!	!
classiest	!	!
bloodier	!	!
bloody	wish	wish
bloodiest	!	!
bloody	wish	wish
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	wish	wish
wildest	!	!
wild	wish	wish
wilder	!	!
wildest	!	!
easier	!	!
easy	extract	extract
easiest	!	!
easy	wish	wish
easier	!	!
easiest	maintenance	maintenance
rougher	outbreak	outbreak
rough	!	!
roughest	!	!
rough	shallow	shallow
rougher	depth	depth
roughest	!	!
fresher	vegetables	vegetables
fresh	!	!
freshest	!	!
fresh	shallow	shallow
fresher	depth	depth
freshest	!	!
harsher	summers	summers
harsh	!	!
harshest	!	!
harsh	shallow	shallow
harsher	depth	depth
harshest	!	!
luckier	understand	're
lucky	!	!
luckiest	!	!
lucky	shallow	shallow
luckier	depth	depth
luckiest	!	!
taller	perennial	perennial
tall	!	!
tallest	!	!
tall	tall	tall
taller	depth	depth
tallest	!	!
fatter	meat	meat
fat	!	!
fattest	!	!
fat	diameter	diameter
fatter	diverse	diverse
fattest	!	!
smoother	muscle	texture
smooth	!	!
smoothest	!	!
smooth	diameter	diameter
smoother	diverse	diverse
smoothest	!	!
fresher	vegetables	beef
fresh	!	!
freshest	!	!
fresh	diameter	diameter
fresher	diverse	diverse
freshest	!	!
shorter	ads	ads
short	long	long
shortest	!	!
short	diameter	diameter
shorter	diverse	diverse
shortest	!	!
cleaner	exhaust	exhaust
clean	!	!
cleanest	!	!
clean	diameter	diameter
cleaner	diverse	diverse
cleanest	!	!
fuller	!	!
