rougher	trunk	trunk
rough	!	!
roughest	comprising	comprising
rough	!	!
rougher	!	!
roughest	!	!
meaner	analog	mode
mean	!	!
meanest	innovation	innovation
mean	!	!
meaner	!	!
meanest	!	!
heavier	demands	demands
heavy	drinking	drinking
heaviest	mm	mega
heavy	!	!
heavier	!	!
heaviest	mk	mk
mightier	2d	2d
mighty	!	!
mightiest	mega	mega
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	cultures	cultures
bad	audition	audition
worst	honored	pleasure
bad	tragedy	tragedy
worse	prescribed	prescribed
worst	say	say
sadder	my	my
sad	!	!
saddest	medley	medley
sad	!	!
sadder	!	!
saddest	!	!
wilder	beetles	activity
wild	!	!
wildest	swamp	swamp
wild	!	!
wilder	!	!
wildest	!	!
stricter	rational	rational
strict	!	!
strictest	restrictions	restrictions
strict	!	!
stricter	!	!
strictest	!	!
narrower	shaped	shaped
narrow	!	!
narrowest	consequently	consequently
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	rockets	rockets
early	andrea	andrea
earliest	87	87
early	emigrated	emigrated
earlier	outline	vessels
earliest	andrea	andrea
fatter	thereby	thereby
fat	!	!
fattest	pocket	pocket
fat	!	!
fatter	!	!
fattest	!	!
fuller	higher	higher
full	starr	andrea
fullest	predecessor	predecessor
full	!	!
fuller	!	!
fullest	ronnie	ronnie
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	shoes	shoes
tough	!	!
toughest	averaging	averaging
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	declaration	declaration
short	hybrid	hybrid
shortest	finite	directed
short	!	!
shorter	!	!
shortest	averaging	averaging
softer	shoes	shoes
soft	!	!
softest	fibers	fibers
soft	!	!
softer	!	!
softest	!	!
older	paramount	paramount
old	alumni	alumni
oldest	ruins	ruins
old	excluding	excluding
older	landmark	landmark
oldest	alumni	alumni
richer	granting	granting
rich	!	!
richest	exported	exported
rich	!	!
