rougher	function	processing
rough	!	!
roughest	expert	expert
rough	!	!
rougher	!	!
roughest	!	!
meaner	analog	analog
mean	!	!
meanest	icon	icon
mean	!	!
meaner	!	!
meanest	!	!
heavier	automotive	automotive
heavy	raid	raid
heaviest	mm	mm
heavy	!	!
heavier	!	!
heaviest	gt	gt
mightier	notes	notes
mighty	!	!
mightiest	lang	lang
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	happened	happened
bad	chelsea	chelsea
worst	preferred	preferred
bad	wound	wound
worse	campaigned	campaigned
worst	number-one	number-one
sadder	dimensions	dimensions
sad	!	!
saddest	dimensions	dimensions
sad	!	!
sadder	!	!
saddest	!	!
wilder	beetles	rely
wild	!	!
wildest	sheep	sheep
wild	!	!
wilder	!	!
wildest	!	!
stricter	assess	describes
strict	!	!
strictest	restrictions	restrictions
strict	!	!
stricter	!	!
strictest	!	!
narrower	lateral	lateral
narrow	!	!
narrowest	positioned	positioned
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	darker	sounds
early	andrea	andrea
earliest	covers	covers
early	emigrated	emigrated
earlier	printing	printing
earliest	inscriptions	inscriptions
fatter	carriers	carriers
fat	!	!
fattest	jokes	jokes
fat	!	!
fatter	!	!
fattest	!	!
fuller	disc	disc
full	jr.	jr.
fullest	covers	covers
full	!	!
fuller	!	!
fullest	harry	harry
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	folded
tough	!	!
toughest	averaging	quarterfinals
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	edmonton	edmonton
short	mm	mm
shortest	melody	melody
short	!	!
shorter	!	!
shortest	turnout	turnout
softer	layer	layer
soft	!	!
softest	layer	layer
soft	!	!
softer	!	!
softest	!	!
older	43	43
old	automated	automated
oldest	43	43
old	today	factory
older	leipzig	leipzig
oldest	44	44
richer	distinct	distinct
rich	!	!
richest	birthplace	birthplace
rich	!	!
richer	!	!
richest	!	!
weaker	bugs	bugs
weak	!	!
weakest	meter	meter
weak	!	!
weaker	!	!
weakest	!	!
prettier	doubled	doubled
pretty	!	!
prettiest	kids	kids
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	ain	kids
cool	!	!
coolest	kids	kids
cool	!	!
cooler	!	!
coolest	!	!
luckier	colonel	colonel
lucky	!	!
luckiest	judy	judy
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	michelle	shield
light	43	43
lightest	northeast	northeast
light	!	!
lighter	!	!
lightest	gaming	gaming
shorter	reigning	reigning
short	athletics	athletics
shortest	cameron	cameron
short	!	!
shorter	!	!
shortest	pool	pool
fewer	michelle	michelle
few	play-off	play-off
fewest	slovak	slovak
few	!	!
fewer	!	!
fewest	bells	bells
sharper	populations	populations
sharp	!	!
sharpest	cameron	cameron
sharp	!	!
sharper	!	!
sharpest	!	!
taller	attractive	attractive
tall	!	!
tallest	margins	margins
tall	clusters	detached
taller	populations	populations
tallest	!	!
smoother	angular	angular
smooth	!	!
smoothest	vector	vector
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	mathematical	thrust
nice	!	!
nicest	janeiro	janeiro
nice	!	!
nicer	!	!
nicest	!	!
broader	thrust	thrust
broad	ideology	supporter
broadest	signal	signal
broad	!	!
broader	!	!
broadest	genera	genera
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	question	question
great	unity	unity
greatest	question	achieved
great	respected	respected
greater	chronic	chronic
greatest	vector	vector
wilder	mice	mice
wild	!	!
wildest	!	!
wild	anymore	anymore
wilder	plastic	plastic
wildest	!	!
smoother	matrix	matrix
smooth	!	!
smoothest	!	!
smooth	anymore	anymore
smoother	plastic	plastic
smoothest	!	!
mightier	traded	traded
mighty	!	!
mightiest	!	!
mighty	anymore	anymore
mightier	plastic	plastic
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	anymore	anymore
leaner	plastic	plastic
leanest	!	!
cleaner	consumers	consumers
clean	!	!
cleanest	!	!
clean	anymore	anymore
cleaner	plastic	plastic
cleanest	!	!
narrower	anterior	woods
narrow	!	!
narrowest	outline	outline
narrow	!	!
narrower	!	!
narrowest	!	!
colder	mirror	mirror
cold	!	!
coldest	outline	outline
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	mirror	mirror
deep	slowly	slowly
deepest	outline	outline
deep	!	!
deeper	!	!
deepest	gastropod	gastropod
taller	corners	corners
tall	!	!
tallest	gable	gable
tall	riley	riley
taller	legislature	legislature
tallest	!	!
quicker	suspension	suspension
quick	!	!
quickest	couples	couples
quick	!	!
quicker	!	!
quickest	!	!
narrower	nevada	nevada
narrow	!	!
narrowest	leaves	leaves
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	deeper	deeper
deep	approaches	approaches
deepest	deeper	deeper
deep	!	!
deeper	!	!
deepest	paraguay	paraguay
closer	nevada	nevada
close	stronger	codes
closest	paraguay	paraguay
close	neighbors	neighbors
closer	engines	engines
closest	swansea	swansea
taller	height	height
tall	!	!
tallest	arches	arches
tall	reflecting	increases
taller	campus	campus
tallest	!	!
kinder	says	says
kind	!	!
kindest	says	says
kind	!	!
kinder	!	!
kindest	!	!
heavier	demands	demands
heavy	inches	inches
heaviest	continental	continental
heavy	!	!
heavier	!	!
heaviest	inches	inches
mightier	says	says
mighty	!	!
mightiest	nick	nick
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	reality	reality
smart	!	!
smartest	sigma	sigma
smart	!	!
smarter	!	!
smartest	!	!
milder	temperatures	temperatures
mild	!	!
mildest	precipitation	precipitation
mild	!	!
milder	!	!
mildest	!	!
weaker	bugs	bugs
weak	!	!
weakest	attained	attained
weak	!	!
weaker	!	!
weakest	!	!
friendlier	squad	squad
friendly	!	!
friendliest	fk	fk
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	gambling	gambling
young	painters	painters
youngest	reviewers	reviewers
young	carnival	1776
younger	1799	1799
youngest	painters	painters
clearer	cognitive	peterson
clear	!	!
clearest	!	!
clear	rao	rao
clearer	cognitive	cognitive
clearest	!	!
friendlier	play-off	play-off
friendly	!	!
friendliest	!	!
friendly	rao	rao
friendlier	cognitive	cognitive
friendliest	!	!
cleaner	thereby	thereby
clean	!	!
cleanest	!	!
clean	rao	rao
cleaner	cognitive	cognitive
cleanest	!	!
stronger	cognitive	cognitive
strong	really	really
strongest	!	!
strong	plains	plains
stronger	occurring	occurring
strongest	!	!
