rougher	rob	rob
rough	!	!
roughest	mm	mm
rough	!	!
rougher	!	!
roughest	!	!
meaner	binary	mechanisms
mean	!	!
meanest	nominations	nominations
mean	!	!
meaner	!	!
meanest	!	!
heavier	knife	knife
heavy	chains	chains
heaviest	mm	mm
heavy	!	!
heavier	!	!
heaviest	140	140
mightier	5th	5th
mighty	!	!
mightiest	actress	actress
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	behavior	swords
bad	spell	spell
worst	runner-up	runner-up
bad	vacuum	vacuum
worse	risks	risks
worst	platinum	boyfriend
sadder	sudan	institutional
sad	!	!
saddest	leader	rational
sad	!	!
sadder	!	!
saddest	!	!
wilder	crop	crop
wild	!	!
wildest	electrons	electrons
wild	!	!
wilder	!	!
wildest	!	!
stricter	rational	rational
strict	!	!
strictest	rational	rational
strict	!	!
stricter	!	!
strictest	!	!
narrower	vary	surplus
narrow	!	!
narrowest	connects	connects
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	college	college
early	unlikely	unlikely
earliest	number-one	number-one
early	middlesex	admiralty
earlier	admiralty	admiralty
earliest	number-one	number-one
fatter	molecules	molecules
fat	!	!
fattest	shorter	shorter
fat	!	!
fatter	!	!
fattest	!	!
fuller	drag	i.e.
full	barnes	follows
fullest	predecessor	predecessor
full	!	!
fuller	!	!
fullest	frances	frances
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	fu	fu
tough	!	!
toughest	quarterfinals	quarterfinals
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	locate	locate
short	4.5	4.5
shortest	89	walt
short	!	!
shorter	!	!
shortest	elimination	elimination
softer	occurring	occurring
soft	!	!
softest	black	black
soft	!	!
softer	!	!
softest	!	!
older	dukes	dukes
old	jimmy	jimmy
oldest	dukes	dukes
old	1860	1860
older	kindergarten	manufacture
oldest	soap	soap
richer	patterns	patterns
rich	!	!
richest	holland	holland
rich	!	!
richer	!	!
richest	!	!
weaker	vowel	collective
weak	!	!
weakest	sicily	sicily
weak	!	!
weaker	!	!
weakest	!	!
prettier	kiss	kiss
pretty	!	!
prettiest	metres	again
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	aired	aired
cool	!	!
coolest	romance	romance
cool	!	!
cooler	!	!
coolest	!	!
luckier	aired	aired
lucky	!	!
luckiest	howe	howe
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	subtle	subtle
light	adapted	adapted
lightest	composing	composing
light	!	!
lighter	!	!
lightest	handball	handball
shorter	quarterback	quarterback
short	anthology	anthology
shortest	aaron	aaron
short	!	!
shorter	!	!
shortest	handball	handball
fewer	slot	slot
few	worth	worth
fewest	wave	wave
few	!	!
fewer	!	!
fewest	bells	bells
sharper	margins	margins
sharp	!	!
sharpest	margins	margins
sharp	!	!
sharper	!	!
sharpest	!	!
taller	margins	margins
tall	!	!
tallest	margins	margins
tall	granite	granite
taller	doug	recovering
tallest	!	!
smoother	colours	colours
smooth	!	!
smoothest	word	word
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	mathematical	mathematical
nice	!	!
nicest	mathematical	mathematical
nice	!	!
nicer	!	!
nicest	!	!
broader	anger	anger
broad	nineteen	nineteen
broadest	formations	formations
broad	!	!
broader	!	!
broadest	covering	covering
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	ottawa	ottawa
great	trades	trades
greatest	draw	draw
great	foods	foods
greater	astronomy	hit
greatest	voivodeship	voivodeship
wilder	harlem	harlem
wild	!	!
wildest	!	!
wild	crack	crack
wilder	torque	torque
wildest	!	!
smoother	useful	useful
smooth	!	!
smoothest	!	!
smooth	crack	crack
smoother	torque	torque
smoothest	!	!
mightier	mi	mi
mighty	!	!
mightiest	!	!
mighty	crack	crack
mightier	torque	torque
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	crack	crack
leaner	torque	torque
leanest	!	!
cleaner	environmental	environmental
clean	!	!
cleanest	!	!
clean	crack	crack
cleaner	torque	torque
cleanest	!	!
narrower	basal	basal
narrow	!	!
narrowest	basal	basal
narrow	!	!
narrower	!	!
narrowest	!	!
colder	shade	shade
cold	!	!
coldest	isn	isn
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	smoke	smoke
deep	promoter	promoter
deepest	signals	signals
deep	!	!
deeper	!	!
deepest	shallow	shallow
taller	qualify	qualify
tall	!	!
tallest	gable	gable
tall	opened	opened
taller	resumed	resumed
tallest	!	!
quicker	missions	missions
quick	!	!
quickest	davis	davis
quick	!	!
quicker	!	!
quickest	!	!
narrower	lined	lined
narrow	!	!
narrowest	forewings	defended
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	deeper	deeper
deep	spreading	spreading
deepest	longest	longest
deep	!	!
deeper	!	!
deepest	duck	oak
closer	ferrari	ferrari
close	doors	ep
closest	sweden	sweden
close	radical	radical
closer	crater	confluence
closest	enclosed	enclosed
taller	pounds	grouped
tall	!	!
tallest	arches	arches
tall	tree	revolt
taller	earl	1600
tallest	!	!
kinder	underlying	underlying
kind	!	!
kindest	worse	worse
kind	!	!
kinder	!	!
kindest	!	!
heavier	compounds	compounds
heavy	closer	closer
heaviest	compounds	compounds
heavy	!	!
heavier	!	!
heaviest	closer	closer
mightier	scripts	scripts
mighty	!	!
mightiest	freestyle	freestyle
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	workshop	workshop
smart	!	!
smartest	sigma	sigma
smart	!	!
smarter	!	!
smartest	!	!
milder	temperate	temperate
mild	!	!
mildest	tropical	tropical
mild	!	!
milder	!	!
mildest	!	!
weaker	sudan	sudan
weak	!	!
weakest	tropical	tropical
weak	!	!
weaker	!	!
weakest	!	!
friendlier	28	28
friendly	!	!
friendliest	macedonia	macedonia
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	whom	whom
young	painters	painters
youngest	thai	earn
young	two-thirds	two-thirds
younger	sweden	sweden
youngest	painters	painters
clearer	pollution	pollution
clear	!	!
clearest	!	!
clear	velocity	velocity
clearer	less	less
clearest	!	!
friendlier	copa	copa
friendly	!	!
friendliest	!	!
friendly	velocity	velocity
friendlier	less	less
friendliest	!	!
cleaner	oxygen	oxygen
clean	!	!
cleanest	!	!
clean	velocity	velocity
cleaner	less	less
cleanest	!	!
stronger	congressional	congressional
strong	things	careers
strongest	!	!
strong	gradual	gradual
stronger	derive	derive
strongest	!	!
freer	pollution	pollution
free	!	!
freest	!	!
free	velocity	velocity
freer	less	less
freest	!	!
tougher	explosion	explosion
tough	!	!
toughest	loyalty	munster
tough	!	!
tougher	!	!
toughest	!	!
funnier	explosion	explosion
funny	!	!
funniest	humor	fear
funny	!	!
funnier	!	!
funniest	!	!
nicer	mercedes	mercedes
nice	!	!
nicest	worlds	declaration
nice	!	!
nicer	!	!
nicest	!	!
greater	colour	colour
great	considerable	california
greatest	soviet	soviet
great	number-one	number-one
greater	bit	bit
greatest	recipients	recipients
bolder	colour	colour
bold	!	!
boldest	loud	loves
bold	!	!
bolder	!	!
boldest	!	!
poorer	finances	finances
poor	!	!
poorest	closest	closest
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	diana	diana
long	1915	1915
longest	binding	binding
long	stretch	stretch
longer	tallest	tallest
longest	honours	honours
harder	sell	lp
hard	reconnaissance	reconnaissance
hardest	full-length	full-length
hard	!	!
harder	!	!
hardest	handball	honours
wiser	mega	mega
wise	!	!
wisest	shannon	shannon
wise	!	!
wiser	!	!
wisest	!	!
earlier	mythology	mythology
early	albeit	albeit
earliest	mythology	mythology
early	hunting	hunting
earlier	bce	bce
earliest	backgrounds	backgrounds
sadder	pretty	pretty
sad	!	!
saddest	cuba	cuba
sad	!	!
sadder	!	!
saddest	!	!
darker	delta	delta
dark	syndrome	syndrome
darkest	delta	delta
dark	!	!
darker	!	!
darkest	advertisements	advertisements
quicker	accounting	accounting
quick	!	!
quickest	chain	chain
quick	!	!
quicker	!	!
quickest	!	!
brighter	executives	executives
bright	!	!
brightest	nickname	nickname
bright	!	!
brighter	!	!
brightest	!	!
cheaper	reduce	reduce
cheap	!	!
cheapest	!	!
cheap	links	linear
cheaper	issues	issues
cheapest	!	!
higher	graduates	graduates
high	curve	curve
highest	!	!
high	links	plains
higher	monetary	monetary
highest	!	!
fairer	explores	explores
fair	!	!
fairest	!	!
fair	links	linear
fairer	issues	issues
fairest	!	!
wiser	ahmad	ahmad
wise	!	!
wisest	!	!
wise	links	linear
wiser	issues	issues
wisest	!	!
taller	height	height
tall	!	!
tallest	!	!
tall	median	median
taller	humid	humid
tallest	!	!
poorer	l	l
poor	!	!
poorest	!	!
poor	easy	easy
poorer	exceptional	exceptional
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	easy	easy
messier	exceptional	exceptional
messiest	!	!
busier	buses	buses
busy	!	!
busiest	!	!
busy	easy	easy
busier	exceptional	exceptional
busiest	!	!
taller	diameter	whitney
tall	!	!
tallest	!	!
tall	existing	existing
taller	ruling	ruling
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	easy	easy
trickier	exceptional	exceptional
trickiest	!	!
higher	!	!
high	ruling	ruling
highest	!	!
high	200809	cobb
higher	capita	capita
highest	education	education
slower	!	!
slow	eighteenth	eighteenth
slowest	!	!
slow	ms.	ms.
slower	!	!
slowest	faster	faster
smarter	!	!
smart	ms.	ms.
smartest	!	!
smart	ms.	ms.
smarter	!	!
smartest	!	!
older	!	!
old	35	35
oldest	!	!
