iraq	surrendered	surrendered
thailand	slovenia	slovenia
china	slovenia	slovenia
germany	leipzig	leipzig
switzerland	!	!
egypt	muslim	muslim
australia	slovenia	slovenia
vietnam	!	!
cuba	ana	ana
finland	slovenia	slovenia
pakistan	!	!
afghanistan	!	!
england	aragon	aragon
spain	aragon	aragon
russia	czechoslovakia	czechoslovakia
norway	slovenia	slovenia
canada	hockey	hockey
france	aragon	aragon
italy	aragon	aragon
sweden	otto	otto
iran	iran	ana
japan	slovenia	slovenia
thailand	nepal	nepal
china	hemisphere	hemisphere
germany	leipzig	leipzig
switzerland	!	!
egypt	iranian	sunset
australia	iranian	parliament
vietnam	!	!
cuba	colombia	colombia
finland	eurovision	eurovision
pakistan	!	!
afghanistan	!	!
england	iranian	iranian
spain	colombia	colombia
russia	iranian	iranian
norway	norway	lithuania
canada	meadows	meadows
france	contribute	contribute
italy	lyon	abstract
sweden	eurovision	hemisphere
iran	iranian	iranian
japan	torture	soft
greece	greece	greece
china	qualifications	qualifications
germany	anxiety	anxiety
switzerland	!	!
egypt	childhood	childhood
australia	gulf	gulf
vietnam	!	!
cuba	voyage	voyage
finland	violation	violation
pakistan	!	!
afghanistan	!	!
england	monopoly	executives
spain	nacional	nacional
russia	leningrad	leningrad
norway	genocide	genocide
canada	nova	nova
france	raymond	raymond
italy	italy	italy
sweden	moscow	diplomat
iran	detected	detected
japan	best-selling	best-selling
greece	zhou	zhou
iraq	yemen	yemen
germany	leipzig	pastoral
switzerland	!	!
egypt	libya	libya
australia	cameron	cameron
vietnam	!	!
cuba	libya	libya
finland	snails	snails
pakistan	!	!
afghanistan	!	!
england	limited	stuart
spain	spanish	spanish
russia	czechoslovakia	schools
norway	1987	1987
canada	labour	labour
france	iceland	iceland
italy	roman	roman
sweden	balloon	balloon
iran	sudan	sudan
japan	limited	limited
greece	greece	marine
iraq	libya	libya
thailand	libya	libya
switzerland	!	!
egypt	gmina	forbidden
australia	slovakia	50000
vietnam	!	!
cuba	colombia	colombia
finland	yugoslavia	yugoslavia
pakistan	!	!
afghanistan	!	!
england	collected	collected
spain	paraguay	argentina
russia	slovakia	slovakia
norway	ussr	ussr
canada	eric	eric
france	hungary	hungary
italy	yugoslavia	yugoslavia
sweden	moscow	moscow
iran	trafficking	trafficking
japan	yugoslavia	yugoslavia
greece	ussr	ussr
iraq	iraqi	iraqi
thailand	slovakia	slovakia
china	slovakia	slovakia
