model,0.12,0.75,1.0,2.0,5.0,15.0,20.0,50.0,75.0,100.0,135.0,200.0,300.0
wc_SGNSpinit1.tsv,0.0015,0.0,0.000375,0.001125,0.00225,0.005,0.010125,0.05975,0.11775,0.1705,0.2355,0.282875,0.333125
wc_SGNSpinit3-rev.tsv,0.00075,0.00025,0.000375,0.001125,0.0015,0.0055,0.008,0.058875,0.124625,0.17025,0.238625,0.273625,0.331875
eig_SVD_w2.tsv,0.0,0.000125,0.00025,0.001,0.005,0.036375,0.041875,0.10775,0.135,0.148125,0.157,0.165375,0.1705
wc_SGNSpinit1-rev.tsv,0.00075,0.000375,0.000375,0.001125,0.0015,0.005625,0.008,0.058875,0.12475,0.171125,0.242625,0.2725,0.33375
neg_PPMI_w2.tsv,0.0,0.0,0.000125,0.00275,0.005625,0.03525,0.045375,0.104,0.129875,0.154125,0.166875,0.187875,0.20275
wc_SGNSpinit2-rev.tsv,0.00075,0.00025,0.000125,0.001125,0.0015,0.005375,0.00775,0.060625,0.12775,0.1715,0.24475,0.273125,0.333
wc_SGNSpinit3.tsv,0.0015,0.0,0.000125,0.001125,0.002125,0.004875,0.01,0.058,0.118375,0.16625,0.235375,0.2835,0.33625
wc_SGNSsvd.tsv,,0.000125,0.000375,0.0005,0.002,0.004875,0.008,0.075875,0.1305,0.18825,0.23925,0.2875,0.3345
wc_SGNSsvd-rev.tsv,,0.000125,0.00025,0.000375,0.001875,0.0045,0.00775,0.07525,0.136625,0.182625,0.236,0.28575,0.339
wc_SGNSpinit2.tsv,0.0015,0.0,0.000375,0.001125,0.002125,0.005375,0.00975,0.058625,0.117125,0.1695,0.2365,0.280875,0.336375
