model,0.12,0.75,1.0,2.0,5.0,15.0,20.0,50.0,75.0,100.0,135.0,200.0,300.0
wc_SGNSpinit1.tsv,0.0015,0.000125,0.00025,0.001125,0.00175,0.0035,0.009,0.047125,0.10025,0.151125,0.217375,0.278,0.34075
wc_SGNSpinit3-rev.tsv,0.00075,0.00025,0.0,0.000875,0.0015,0.0045,0.0065,0.0465,0.105,0.153,0.22375,0.268,0.33975
eig_SVD_w2.tsv,0.0,0.000125,0.00025,0.000875,0.003875,0.031625,0.038125,0.108625,0.141875,0.1595,0.171,0.176,0.18125
wc_SGNSpinit1-rev.tsv,0.00075,0.000375,0.0,0.000875,0.001375,0.00475,0.00675,0.046875,0.10475,0.1515,0.22775,0.26375,0.3435
neg_PPMI_w2.tsv,0.0,0.000375,0.0,0.00075,0.003125,0.02875,0.037875,0.1045,0.14325,0.1675,0.18575,0.208875,0.23525
wc_SGNSpinit2-rev.tsv,0.00075,0.00025,0.0,0.000875,0.0015,0.0045,0.005875,0.049,0.108,0.15225,0.229125,0.265875,0.339
wc_SGNSpinit3.tsv,0.0015,0.0,0.0,0.001125,0.002,0.00325,0.009,0.046125,0.100875,0.15025,0.21825,0.2785,0.34325
wc_SGNSsvd.tsv,,0.000125,0.000375,0.0005,0.002,0.00375,0.006125,0.061125,0.111625,0.1725,0.22175,0.280625,0.3385
wc_SGNSsvd-rev.tsv,,0.000125,0.00025,0.000375,0.001625,0.003625,0.00625,0.06025,0.116375,0.167375,0.22275,0.279875,0.344125
wc_SGNSpinit2.tsv,0.0015,0.0,0.00025,0.001125,0.00175,0.003625,0.008625,0.045875,0.099375,0.152625,0.22175,0.27825,0.344375
