rougher	juan	juan
rough	!	!
roughest	hit	hit
rough	!	!
rougher	!	!
roughest	!	!
meaner	vulnerable	vulnerable
mean	!	!
meanest	singer-songwriter	(with
mean	!	!
meaner	!	!
meanest	!	!
heavier	vulnerable	vulnerable
heavy	calcium	calcium
heaviest	machine	machine
heavy	!	!
heavier	!	!
heaviest	category.	category.
mightier	!	!
mighty	!	!
mightiest	!	!
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	gameplay	gameplay
bad	adverse	adverse
worst	wrote:	wrote:
bad	secondary	secondary
worse	jon	jon
worst	chennai	chennai
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	characteristics	characteristics
wild	!	!
wildest	habitat	habitat
wild	!	!
wilder	!	!
wildest	!	!
stricter	context	context
strict	!	!
strictest	negro	negro
strict	!	!
stricter	!	!
strictest	!	!
narrower	hindwings	hindwings
narrow	!	!
narrowest	miniature	miniature
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	accurate	accurate
early	george,	george,
earliest	"super	"super
early	occasion	occasion
earlier	10,000	10,000
earliest	"rolling	"rolling
fatter	gmina	temperatures
fat	!	!
fattest	b-side	b-side
fat	!	!
fatter	!	!
fattest	!	!
fuller	bullet	bullet
full	!	!
fullest	bullet	bullet
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	divorced	divorced
tough	!	!
toughest	pride	pride
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	germany.	germany.
short	continuity	continuity
shortest	1853	1853
short	!	!
shorter	!	!
shortest	known.	known.
softer	divorced	divorced
soft	!	!
softest	eleventh	eleventh
soft	!	!
softer	!	!
softest	!	!
older	spelled	funeral
old	stating	stating
oldest	conception	conception
old	city,	city,
older	wing,	wing,
oldest	eleven	eleven
richer	turkey.	turkey.
rich	!	!
richest	freshman	freshman
rich	!	!
richer	!	!
richest	!	!
weaker	whatever	whatever
weak	!	!
weakest	social	social
weak	!	!
weaker	!	!
weakest	!	!
prettier	2007–08	2007–08
pretty	!	!
prettiest	problem.	problem.
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	semi-final	arts.
cool	!	!
coolest	wonderful	wonderful
cool	!	!
cooler	!	!
coolest	!	!
luckier	winner.	winner.
lucky	!	!
luckiest	winner.	winner.
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	backup	backup
