rougher	color	color
rough	!	!
roughest	"best	drama,
rough	!	!
rougher	!	1982)
roughest	!	!
meaner	can	increase
mean	!	!
meanest	"best	highest
mean	!	!
meaner	!	1982)
meanest	!	!
heavier	light	artillery
heavy	heavy	heavy
heaviest	"best	british
heavy	!	!
heavier	!	1982)
heaviest	"best	pop
mightier	help	complex,
mighty	!	!
mightiest	"best	actress,
mighty	!	!
mightier	!	1982)
mightiest	!	!
noisier	!	1990)
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	1982)
noisiest	!	!
worse	good	better
bad	school	valley.
worst	good	worst
bad	school	severe
worse	these	worse
worst	worst	worst
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	plants	mammals
wild	!	!
wildest	top	afc
wild	!	!
wilder	!	!
wildest	!	!
stricter	regulations	regulations
strict	!	!
strictest	regulations	scorer
strict	!	!
stricter	!	!
strictest	!	!
narrower	curved	curved
narrow	!	!
narrowest	longest	longest
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	tackles
classiest	!	!
classy	!	(born
classier	!	!
classiest	!	!
earlier	late	in
early	later	later
earliest	late	late
early	some	some
earlier	of	of
earliest	best	full-length
fatter	higher	breast
fat	!	tackles
fattest	best	self-titled
fat	!	(born
fatter	!	!
fattest	!	!
fuller	increased	increased
full	!	tackles
fullest	best	compilation
full	!	(born
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	tackles
costliest	!	!
costly	!	(born
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	!	mm
toughest	#1	bundesliga
tough	!	!
tougher	!	!
toughest	!	touchdowns
gentler	!	!
gentle	!	mm
gentlest	!	no.
gentle	!	!
gentler	!	!
gentlest	!	touchdowns
shorter	upper	two
short	short	short
shortest	book	first
short	!	!
shorter	!	!
shortest	short	demo
softer	upper	bottom
soft	!	mm
softest	billboard	billboard
soft	!	!
softer	!	!
softest	!	touchdowns
older	upper	the
old	younger	many
oldest	at	at
old	and	old
older	upper	old
oldest	younger	unreleased
richer	bigger	and
rich	!	yards
richest	biggest	world's
rich	!	minutes
richer	!	!
richest	!	!
weaker	inferior	inferior
weak	!	yards
weakest	biggest	overall.
weak	!	minutes
weaker	!	!
weakest	!	!
prettier	know	know
pretty	!	yards
prettiest	biggest	"what
pretty	!	minutes
prettier	!	!
prettiest	!	!
cooler	warm	humid
cool	!	yards
coolest	warm	temperate
cool	!	minutes
cooler	!	!
coolest	!	!
luckier	bigger	worse
lucky	!	yards
luckiest	biggest	biggest
lucky	!	minutes
luckier	!	!
luckiest	!	!
lighter	heavy	heavier
light	near	yellow
lightest	largest	metallic
light	!	!
lighter	!	!
lightest	largest	mail
shorter	shorter	shorter
short	the	short
shortest	long	longest
short	!	!
shorter	!	!
shortest	largest	longest
fewer	two	two
few	over	over
fewest	several	several
few	!	!
fewer	!	!
fewest	largest	fastest
sharper	younger	intense
sharp	!	!
sharpest	earliest	folded
sharp	!	!
sharper	!	!
sharpest	!	!
taller	tall,	diameter
tall	!	!
