rougher	easier	province,
rough	!	!
roughest	finest	finest
rough	!	!
rougher	!	!
roughest	!	!
meaner	guarantee	guarantee
mean	!	!
meanest	aria	aria
mean	!	!
meaner	!	!
meanest	!	!
heavier	parachute	parachute
heavy	modest	modest
heaviest	"best	"best
heavy	!	!
heavier	!	!
heaviest	best-selling	fabric
mightier	labeled	labeled
mighty	!	!
mightiest	"best	actress,
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	stronger	stronger
bad	mild	mild
worst	strongest	strongest
bad	severe	severe
worse	shorter	shorter
worst	worst	worst
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	birds	birds
wild	!	!
wildest	best-known	best-known
wild	!	!
wilder	!	!
wildest	!	!
stricter	stronger	stronger
strict	!	!
strictest	strongest	strongest
strict	!	!
stricter	!	!
strictest	!	!
narrower	dorsal	dorsal
narrow	!	!
narrowest	largest	largest
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	previous	openly
earliest	late	late
early	ancient	reconstructed
earlier	larger	curved
earliest	previous	previous
fatter	accuracy	accuracy
fat	!	!
fattest	biggest	unreleased
fat	!	!
fatter	!	!
fattest	!	!
fuller	guaranteed	length
full	!	!
fullest	length	length
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	!	!
toughest	strongest	last
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	shorter
short	short	short
shortest	longest	longest
short	!	!
shorter	!	!
shortest	fastest	fastest
softer	upper	worker
soft	!	!
softest	biggest	biggest
soft	!	!
softer	!	!
softest	!	!
older	upper	upper
old	liner	liner
oldest	last	last
old	tallest	typical
older	upper	upper
oldest	evolutionary	evolutionary
richer	interested	interested
rich	!	!
richest	headquartered	headquartered
rich	!	!
richer	!	!
richest	!	!
weaker	efficient	efficient
weak	!	!
weakest	longest	overall.
weak	!	!
weaker	!	!
weakest	!	!
prettier	bigger	bigger
pretty	!	!
prettiest	biggest	biggest
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	bigger	bigger
cool	!	!
coolest	longest	longest
cool	!	!
cooler	!	!
coolest	!	!
luckier	bigger	bigger
lucky	!	!
luckiest	longest	longest
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	heavier	heavier
light	tight	tight
lightest	tallest	tallest
light	!	!
lighter	!	!
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	!	!
shorter	!	!
shortest	largest	largest
fewer	handful	handful
few	yards	yards
fewest	handful	handful
few	!	!
fewer	!	!
fewest	largest	largest
sharper	molecule	molecule
sharp	!	!
sharpest	largest	molecule
sharp	!	!
sharper	!	!
sharpest	!	!
taller	"p.	"p.
tall	!	!
tallest	tallest	tallest
tall	tall	harbor
taller	tall	worse
tallest	!	!
smoother	spiral	spiral
smooth	!	!
smoothest	tied	tied
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	sexually	questioned
nice	!	!
nicest	we're	we're
nice	!	!
nicer	!	!
nicest	!	!
broader	wide	wide
broad	wider	wider
broadest	oldest	oldest
broad	!	!
broader	!	!
broadest	finite	finite
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	"great	"great
great	substantial	substantial
greatest	greatest	greatest
great	major	great
greater	tremendous	classic
greatest	highest	highest
wilder	vegetable	vegetable
wild	!	!
wildest	!	!
wild	impossible	impossible
wilder	harder	harder
wildest	!	!
smoother	substituted	substituted
smooth	!	!
smoothest	!	!
smooth	impossible	impossible
smoother	harder	harder
smoothest	!	!
mightier	bread	bread
mighty	!	!
mightiest	!	!
mighty	impossible	impossible
mightier	harder	harder
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	impossible	impossible
leaner	harder	harder
leanest	!	!
cleaner	pull	winter.
clean	!	!
cleanest	!	!
clean	impossible	impossible
cleaner	harder	harder
cleanest	!	!
narrower	broad	triangular
narrow	!	!
narrowest	curved	curved
narrow	!	!
narrower	!	!
narrowest	!	!
colder	drinks	drinks
cold	!	!
coldest	heavier	heavier
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	triangular	triangular
deep	late	late
deepest	skull	skull
deep	!	!
deeper	!	!
deepest	fragments	fragments
taller	tall,	tall,
tall	!	!
tallest	tall,	"n"
tall	late	late
taller	extant	extant
tallest	!	!
quicker	knowing	sound,
quick	!	!
quickest	anterior	anterior
quick	!	!
quicker	!	!
quickest	!	!
narrower	curved	curved
narrow	!	!
narrowest	dorsal	longest
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	alexandria	alexandria
deep	emerge	emerge
deepest	longest	longest
