rougher	numbered	numbered
rough	!	!
roughest	"best	"best
rough	!	!
rougher	!	!
roughest	!	!
meaner	guarantee	guarantee
mean	!	!
meanest	artist,	artist,
mean	!	!
meaner	!	!
meanest	!	!
heavier	heavier	heavier
heavy	dogs	dogs
heaviest	"best	"best
heavy	!	!
heavier	!	!
heaviest	"best	"best
mightier	rendering	rendering
mighty	!	!
mightiest	actress,	actress,
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	stronger	stronger
bad	hot	hot
worst	strongest	strongest
bad	grammar	grammar
worse	wrong	wrong
worst	worst	worst
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	darker	darker
wild	!	!
wildest	league's	league's
wild	!	!
wilder	!	!
wildest	!	!
stricter	abortion	abortion
strict	!	!
strictest	largest	largest
strict	!	!
stricter	!	!
strictest	!	!
narrower	darker	darker
narrow	!	!
narrowest	longest	longest
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	early	openly
earliest	late	late
early	ancient	ancient
earlier	larger	larger
earliest	earliest	earliest
fatter	50%	50%
fat	!	!
fattest	mm	mm
fat	!	!
fatter	!	!
fattest	!	!
fuller	enhance	enhance
full	!	!
fullest	biggest	biggest
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	!	!
toughest	last	last
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	shorter
short	short	short
shortest	longest	longest
short	!	!
shorter	!	!
shortest	longest	longest
softer	upper	upper
soft	!	!
softest	remainder	remainder
soft	!	!
softer	!	!
softest	!	!
older	upper	upper
old	old	old
oldest	older	last
old	prehistoric	prehistoric
older	upper	upper
oldest	strongest	strongest
richer	kid	kid
rich	!	!
richest	biggest	biggest
rich	!	!
richer	!	!
richest	!	!
weaker	nervous	efficient
weak	!	!
weakest	biggest	scorer
weak	!	!
weaker	!	!
weakest	!	!
prettier	bigger	bigger
pretty	!	!
prettiest	biggest	biggest
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	warm	darker
cool	!	!
coolest	longest	tallest
cool	!	!
cooler	!	!
coolest	!	!
luckier	jerry	jerry
lucky	!	!
luckiest	biggest	biggest
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	light,	therapeutic
light	fortifications	fortifications
lightest	largest	largest
light	!	!
lighter	!	!
lightest	smallest	smallest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	!	!
shorter	!	!
shortest	longest	longest
fewer	handful	handful
few	seats,	seats,
fewest	handful	handful
few	!	!
fewer	!	!
fewest	largest	largest
sharper	touch	touch
sharp	!	!
sharpest	youngest	youngest
sharp	!	!
sharper	!	!
sharpest	!	!
taller	atop	atop
tall	!	!
tallest	tallest	tallest
tall	temperate	temperate
