rougher	riders	riders
rough	!align="right	ballots
roughest	award	award
rough	!align="right	blank
rougher	!align="right	blank
roughest	!align="right	!align="right
meaner	can	can
mean	!align="right	ballots
meanest	award	for
mean	!align="right	blank
meaner	!align="right	blank
meanest	!align="right	!align="right
heavier	guns	armored
heavy	rails	rails
heaviest	award	three
heavy	!align="right	blank
heavier	!align="right	blank
heaviest	award	album
mightier	out	out
mighty	!align="right	ballots
mightiest	award	starred
mighty	!align="right	blank
mightier	!align="right	blank
mightiest	!align="right	!align="right
noisier	!align="right	ballots
noisy	!align="right	ballots
noisiest	!align="right	!align="right
noisy	!align="right	blank
noisier	!align="right	blank
noisiest	!align="right	!align="right
worse	you	be
bad	he	she
worst	you	singles
bad	school	that
worse	that	that
worst	win	weeks
sadder	it's	anything
sad	!align="right	ballots
saddest	singles	charted
sad	!align="right	ballots
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	species	species
wild	!align="right	ballots
wildest	species	species
wild	!align="right	ballots
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	data	data
strict	!align="right	ballots
strictest	number-one	federal
strict	!align="right	ballots
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	basal	basal
narrow	!align="right	ballots
narrowest	basal	basal
narrow	!align="right	ballots
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	ballots
classy	!align="right	ballots
classiest	!align="right	ballots
classy	!align="right	ballots
classier	!align="right	ballots
classiest	!align="right	ballots
earlier	are	are
early	his	his
earliest	first	first
early	of	destroyed
earlier	of	of
earliest	first	written
fatter	vitamin	protein
fat	!align="right	ballots
fattest	vitamin	vitamin
fat	!align="right	ballots
fatter	!align="right	ballots
fattest	!align="right	ballots
fuller	for	for
full	was	roger
fullest	top	top
full	!align="right	ballots
fuller	!align="right	ballots
fullest	bbc	roger
costlier	reduce	reduce
costly	!align="right	ballots
costliest	expensive	expensive
costly	!align="right	ballots
costlier	!align="right	ballots
costliest	!align="right	ballots
tougher	upper	white
tough	!align="right	!align="right
toughest	round	playoffs
tough	!align="right	!align="right
tougher	!align="right	valid
toughest	!align="right	!align="right
gentler	upper	a
gentle	!align="right	!align="right
gentlest	ranked	ranked
gentle	!align="right	!align="right
gentler	!align="right	valid
gentlest	!align="right	!align="right
shorter	it	it
short	than	than
shortest	record	won
short	!align="right	!align="right
shorter	!align="right	valid
shortest	points	than
softer	upper	it
soft	!align="right	!align="right
softest	record	number-one
soft	!align="right	!align="right
softer	!align="right	valid
softest	!align="right	!align="right
older	it	of
old	65	non-families
oldest	first	first
old	are	site
older	of	north
oldest	65	38
richer	than	than
rich	!align="right	!align="right
richest	in	in
rich	!align="right	!align="right
richer	!align="right	ballots
richest	!align="right	!align="right
weaker	be	be
weak	!align="right	!align="right
weakest	companies	had
weak	!align="right	!align="right
weaker	!align="right	ballots
weakest	!align="right	!align="right
prettier	you	crazy
pretty	!align="right	!align="right
prettiest	i	i
pretty	!align="right	!align="right
prettier	!align="right	ballots
prettiest	!align="right	!align="right
cooler	winters	hot
cool	!align="right	!align="right
coolest	hot	hot
cool	!align="right	!align="right
cooler	!align="right	ballots
coolest	!align="right	!align="right
luckier	you	you
lucky	!align="right	!align="right
luckiest	uk	journalism
lucky	!align="right	!align="right
luckier	!align="right	ballots
luckiest	!align="right	!align="right
lighter	65	or
light	than	than
lightest	system	which
light	!align="right	ballots
lighter	!align="right	ballots
lightest	built	grey
shorter	65	65
short	than	than
shortest	film	in
short	!align="right	ballots
shorter	!align="right	ballots
shortest	located	length
fewer	65	were
few	one	than
fewest	several	in
few	!align="right	ballots
fewer	!align="right	ballots
fewest	in	association
sharper	65	65
sharp	!align="right	ballots
sharpest	date	which
sharp	!align="right	ballots
sharper	!align="right	ballots
sharpest	!align="right	ballots
taller	non-families	householder
tall	!align="right	ballots
tallest	erect	erect
tall	height	height
taller	65	individuals
tallest	!align="right	ballots
smoother	pale	pale
smooth	!align="right	!align="right
smoothest	formula_1	formula_1
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	ballots
nicer	i'm	but
nice	!align="right	!align="right
nicest	i'm	smart
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	ballots
broader	forewings	markings
broad	is	activities
broadest	forewings	forewings
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	activities	activities
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	ballots
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	ballots
greater	of	of
great	is	is
greatest	his	the
great	are	has
greater	are	are
greatest	is	is
wilder	birds	horses
wild	!align="right	ordering
wildest	!align="right	ballots
wild	that	be
wilder	be	this
wildest	!align="right	!align="right
smoother	shape	forewings
smooth	!align="right	ordering
smoothest	!align="right	ballots
smooth	that	be
smoother	be	this
smoothest	!align="right	!align="right
mightier	could	ninja
mighty	!align="right	ordering
mightiest	!align="right	gubernatorial
mighty	that	be
mightier	be	this
mightiest	!align="right	!align="right
leaner	!align="right	ballots
lean	!align="right	ordering
leanest	!align="right	!align="right
lean	that	be
leaner	be	this
leanest	!align="right	!align="right
cleaner	not	not
clean	!align="right	ordering
cleanest	!align="right	!align="right
clean	that	be
cleaner	be	this
cleanest	!align="right	!align="right
narrower	hindwings	hindwings
narrow	!align="right	ballots
narrowest	hindwings	basal
narrow	!align="right	ballots
narrower	!align="right	ballots
narrowest	!align="right	ballots
colder	temperatures	warm
cold	!align="right	ballots
coldest	humid	habitats
cold	!align="right	ballots
colder	!align="right	ballots
coldest	!align="right	ballots
noisier	!align="right	ballots
noisy	!align="right	ballots
noisiest	!align="right	ballots
noisy	!align="right	ballots
noisier	!align="right	ballots
noisiest	!align="right	ballots
deeper	shallow	shallow
deep	late	these
deepest	shallow	caves
deep	!align="right	ballots
deeper	!align="right	ballots
deepest	rocks	deposit
taller	diameter	diameter
tall	!align="right	ballots
tallest	shrub	shrub
tall	the	located
taller	feet	reaching
tallest	!align="right	ballots
quicker	eldest	his
quick	!align="right	ballots
quickest	fastest	fastest
quick	!align="right	voters
quicker	!align="right	counted
quickest	!align="right	!align="right
narrower	curved	curved
narrow	!align="right	ballots
narrowest	basal	rectangular
narrow	!align="right	voters
narrower	!align="right	counted
narrowest	!align="right	!align="right
deeper	thick	have
deep	has	fish
deepest	shallow	rectangular
deep	!align="right	voters
deeper	!align="right	counted
deepest	1984	level
closer	eldest	over
close	that	which
closest	was	was
close	that	are
closer	have	be
closest	8	final
taller	shrub	thick
tall	!align="right	ballots
tallest	height	metres
tall	one	steep
taller	building	steep
tallest	!align="right	!align="right
kinder	not	not
kind	!align="right	!align="right
kindest	history	history
kind	!align="right	!align="right
