rougher	gore	gore
rough	!align="right	!align="right
roughest	nominations	nominations
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	absolute	absolute
mean	!align="right	!align="right
meanest	nominations	nominations
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	rain	heavier
heavy	lighter	container
heaviest	nominations	nominations
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	nominations	nominations
mightier	installations	installations
mighty	!align="right	!align="right
mightiest	nominations	nominations
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	nominations
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	habit	habit
bad	school	school's
worst	lowest	bit
bad	school	school
worse	tertiary	tertiary
worst	all-time	all-time
sadder	it's	it's
sad	!align="right	!align="right
saddest	charts	charted
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	animals	animals
wild	!align="right	!align="right
wildest	animals	animals
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	regulations	regulations
strict	!align="right	!align="right
strictest	laws	laws
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	broad	margins
narrow	!align="right	!align="right
narrowest	gauge	gauge
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	conquest	conquest
earliest	late	20th
early	ancient	ancient
earlier	indicated	indicated
earliest	copy	copy
fatter	pozna	pregnancy
fat	!align="right	!align="right
fattest	compilation	pregnancy
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	approximately	approximately
full	beer	beer
fullest	ranked	joining
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	isaac	isaac
costlier	pozna	pozna
costly	!align="right	!align="right
costliest	prevailed	prevailed
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	south-western	north-eastern
tough	!align="right	!align="right
toughest	guys	guys
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
gentler	belonging	belonging
gentle	!align="right	!align="right
gentlest	quiet	statewide
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	stories	non-fiction
short	runway	suitable
shortest	non-fiction	configuration
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	resemble	resemble
softer	tissue	shell
soft	!align="right	!align="right
softest	tissue	tissue
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	!align="right	!align="right
older	room	room
old	65	65
oldest	millions	millions
old	dated	dated
older	upper	upper
oldest	65	65
richer	brake	brake
rich	!align="right	!align="right
richest	firm	firm
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
weaker	too	slower
weak	!align="right	!align="right
weakest	world's	ranked
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
prettier	floyd	anything
pretty	!align="right	!align="right
prettiest	really	really
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	winters	temperatures
cool	!align="right	!align="right
coolest	winters	winters
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	!align="right	!align="right
luckier	boss	boss
lucky	!align="right	!align="right
luckiest	firm	alberta
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	65	65
light	than	than
lightest	dated	dated
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	dated	dated
shorter	65	65
short	than	legs
shortest	novels	novels
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	dated	extant
fewer	65	65
few	communes	communes
fewest	dating	dating
few	!align="right	!align="right
fewer	!align="right	!align="right
fewest	dated	dated
sharper	65	65
sharp	!align="right	!align="right
sharpest	date	date
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
taller	65	65
tall	!align="right	!align="right
tallest	erect	cm
tall	building	building
taller	65	household
tallest	!align="right	!align="right
smoother	lateral	lateral
smooth	!align="right	!align="right
smoothest	banner	banner
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
nicer	than	crazy
nice	!align="right	!align="right
nicest	monaco	monaco
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	feet	feet
broad	marine	transform
broadest	inches	inches
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	dimension	scope
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	continued	continued
great	voivodeship	potential
greatest	legacy	legacy
great	large	large
greater	much	much
greatest	maximum	maximum
wilder	animals	animals
wild	!align="right	!align="right
wildest	!align="right	!align="right
wild	good	good
wilder	simpler	simpler
wildest	!align="right	!align="right
smoother	shape	shape
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	good	good
smoother	simpler	simpler
smoothest	!align="right	!align="right
mightier	penguins	penguins
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	good	good
mightier	simpler	simpler
