rougher	denser	denser
rough	!align="right	!align="right
roughest	worst	worst
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	denote	denote
mean	!align="right	!align="right
meanest	worst	worst
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heavy	heavy
mightier	bigger	bigger
mighty	!align="right	!align="right
mightiest	funniest	funniest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	quieter	quieter
noisy	!align="right	!align="right
noisiest	funniest	funniest
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	good
bad	worst	worst
worst	second-highest	worst
bad	elementary	elementary
worse	worse	worse
worst	worst	worst
sadder	distortion	distortion
sad	!align="right	!align="right
saddest	second-highest	second-highest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	animals	animals
wild	woodson	woodson
wildest	second-highest	second-highest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	second-highest	frederick
stricter	stricter	stricter
strict	strict	strict
strictest	lowest	second-highest
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	second-highest	second-highest
narrower	smaller	smaller
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrower	narrower
narrower	narrower	narrower
narrowest	narrow	narrow
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	mid-to-late
early	previous	previous
earliest	late	late
early	extant	extant
earlier	larger	larger
earliest	previous	previous
fatter	carbohydrate	carbohydrate
fat	!align="right	!align="right
fattest	carbohydrate	steroid
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	higher	higher
full	jones	jones
fullest	maximum	maximum
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	richards	richards
costlier	less	less
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	sensitive	sensitive
toughest	toughest	toughest
tough	steep	reliability
tougher	upper	upper
toughest	strongest	strongest
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	highest	kind
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	shorter
short	short	short
shortest	longest	longest
short	short	short
shorter	upper	shorter
shortest	longest	longest
softer	upper	upper
soft	soft	soft
softest	highest	accompaniment
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	highest	contours
older	upper	upper
old	old	old
oldest	older	oldest
old	earliest	high-quality
older	upper	upper
oldest	oldest	oldest
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	small	small
richer	smaller	smaller
richest	richest	richest
weaker	stronger	stronger
weak	weak	weak
weakest	strongest	strongest
weak	small	weak
weaker	smaller	weaker
weakest	strongest	strongest
prettier	really	really
pretty	!align="right	!align="right
prettiest	most-watched	most-watched
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	cooler	hotter
cool	warm	warm
coolest	hottest	hottest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	second-largest	richest
luckier	smarter	smarter
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	lighter	lighter
light	dark	dark
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	endless	endless
shorter	younger	shorter
shortest	longest	longest
fewer	handful	handful
few	number	number
fewest	handful	handful
few	season-high	season-high
fewer	season-high	season-high
fewest	largest	largest
sharper	younger	younger
sharp	curves	curves
sharpest	youngest	youngest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	largest	largest
taller	younger	younger
tall	tall	tall
tallest	tallest	tallest
tall	taller	taller
taller	younger	taller
tallest	tallest	tallest
smoother	smoother	smoother
smooth	smooth	gentle
smoothest	differentiable	differentiable
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	easiest	easiest
