rougher	cheaper	cheaper
rough	!align="right	!align="right
roughest	worst	worst
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	imply	imply
mean	!align="right	!align="right
meanest	worst	surpass
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	less
heaviest	heavy	heavy
mightier	marauders	marauders
mighty	!align="right	!align="right
mightiest	funniest	anthology
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	easier	easier
noisy	!align="right	!align="right
noisiest	worst	toughest
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	good
bad	worst	valet
worst	worst	worst
bad	elementary	bad
worse	worse	worse
worst	worst	worst
sadder	bipolar	bipolar
sad	!align="right	!align="right
saddest	strongest	strongest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	non-human	non-human
wild	lee	lee
wildest	lowest	rarest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	second-highest	brownlow
stricter	stricter	stricter
strict	strict	strict
strictest	statutory	statutory
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	second-highest	laws
narrower	smaller	smaller
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	elementary	narrow
narrower	lower	lower
narrowest	narrow	narrow
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	late	mid-to-late
early	extant	ancient
earlier	larger	larger
earliest	previous	previous
fatter	lipid	lipid
fat	!align="right	!align="right
fattest	richest	missy
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	higher	higher
full	farrar	farrar
fullest	maximum	maximum
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	chappell	chappell
costlier	less	easier
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	sensitive	sensitive
toughest	loser	loser
tough	steep	stony
tougher	upper	upper
toughest	highest	transatlantic
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	highest	padma
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	shorter
short	short	short
shortest	longest	longest
short	short	short
shorter	upper	shorter
shortest	shortest	shortest
softer	upper	upper
soft	soft	soft
softest	highest	flesh
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	highest	quickest
older	upper	upper
old	old	old
oldest	ancient	oldest
old	surviving	stair
older	upper	upper
oldest	younger	oldest
richer	richer	richer
rich	vast	rich
richest	richest	richest
rich	small	small
richer	smaller	smaller
richest	richest	richest
weaker	weaker	weaker
weak	strong	strong
weakest	strongest	strongest
weak	small	weak
weaker	weaker	weaker
weakest	strongest	strongest
prettier	darker	darker
pretty	!align="right	!align="right
prettiest	oldest	most-watched
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	hotter	hotter
cool	humid	humid
coolest	hottest	hottest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	second-largest	busiest
luckier	smarter	smarter
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	lighter	lighter
light	light	light
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	endless	endless
shorter	younger	shorter
shortest	longest	longest
fewer	handful	handful
few	plenty	plenty
fewest	earliest	earliest
few	season-high	triumphed
fewer	season-high	transistors
fewest	largest	largest
sharper	younger	younger
sharp	pleasant	pleasant
sharpest	youngest	youngest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	largest	largest
taller	younger	younger
tall	tall	tall
tallest	tallest	tallest
tall	taller	taller
taller	younger	younger
tallest	tallest	tallest
smoother	smoother	smoother
smooth	delicate	delicate
smoothest	formula_17	formula_17
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	smooth	smooth
nicer	smoother	smoother
