rougher	tougher	tougher
rough	!align="right	!align="right
roughest	worst	worst
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	denote	denote
mean	!align="right	!align="right
meanest	indicate	indicate
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heavy	heavy
mightier	mister	mister
mighty	!align="right	!align="right
mightiest	funniest	funniest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	harder	harder
noisy	!align="right	!align="right
noisiest	funniest	funniest
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	better
bad	unpredictable	unpredictable
worst	lowest	worst
bad	elementary	poor
worse	worse	worse
worst	worst	worst
sadder	happier	happier
sad	!align="right	!align="right
saddest	biggest	biggest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	animals	animals
wild	miller	lee
wildest	lowest	rarest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	second-highest	second-highest
stricter	stricter	stricter
strict	stringent	stringent
strictest	lowest	lowest
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	second-highest	second-highest
narrower	smaller	smaller
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	wide	wide
narrower	lower	narrower
narrowest	narrow	narrow
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	mid-to-late	mid-to-late
early	previous	previous
earliest	late	mid-to-late
early	extant	extant
earlier	larger	larger
earliest	previous	previous
fatter	lipid	lipid
fat	!align="right	!align="right
fattest	hottest	hottest
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	higher	higher
full	riggs	riggs
fullest	anniversary	anniversary
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	finest	chappell
costlier	larger	larger
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	tough	tough
toughest	hardest	hardest
tough	steep	steep
tougher	upper	upper
toughest	highest	strongest
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	highest	viennese
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	shorter
short	short	short
shortest	shortest	shortest
short	short	short
shorter	upper	shorter
shortest	shortest	shortest
softer	upper	upper
soft	thin	thin
softest	highest	roasted
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	highest	quickest
older	upper	upper
old	old	old
oldest	oldest	oldest
old	earliest	preserved
older	upper	upper
oldest	oldest	oldest
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	small	rich
richer	smaller	smaller
richest	biggest	richest
weaker	stronger	stronger
weak	weak	weak
weakest	strongest	strongest
weak	small	weak
weaker	smaller	weaker
weakest	strongest	strongest
prettier	lighter	worse
pretty	!align="right	!align="right
prettiest	oldest	most-watched
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	hotter	hotter
cool	warm	warm
coolest	biggest	hottest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	biggest	coldest
luckier	shorter	shorter
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	younger	reddish-brown
light	heavy	heavy
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	endless	endless
shorter	younger	shorter
shortest	longest	longest
fewer	handful	handful
few	number	number
fewest	handful	handful
few	season-high	21.1
fewer	younger	21.1
fewest	largest	largest
sharper	younger	younger
sharp	charing	charing
sharpest	youngest	youngest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	largest	largest
taller	younger	younger
tall	tall	tall
tallest	tallest	tallest
tall	taller	taller
taller	younger	younger
tallest	tallest	tallest
smoother	faster	faster
smooth	slight	slight
smoothest	formula_17	formula_17
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	adaptable	adaptable
