rougher	easier	easier
bloody	protestant	protestant
bloodier	!	!
bloodiest	!	!
happier	!	!
happy	protestant	protestant
happiest	!	!
happy	protestant	protestant
happier	!	!
happiest	!	!
sharper	!	!
sharp	protestant	protestant
sharpest	!	!
sharp	protestant	protestant
sharper	!	!
sharpest	!	!
stronger	!	!
strong	protective	protective
strongest	!	!
strong	hostile	hostile
stronger	greatest	greatest
strongest	closer	closer
classier	!	!
classy	fully	fully
classiest	!	!
classy	fully	fully
classier	!	!
classiest	!	!
lighter	!	!
light	heavier	heavier
lightest	!	!
light	fully	fully
lighter	!	!
lightest	heavier	heavier
gentler	!	!
gentle	fully	fully
gentlest	!	!
gentle	fully	fully
gentler	!	!
gentlest	!	!
narrower	!	!
narrow	fully	fully
narrowest	!	!
narrow	fully	fully
narrower	!	!
narrowest	!	!
livelier	!	!
lively	fully	fully
liveliest	!	!
lively	fully	fully
livelier	!	!
liveliest	!	!
savvier	!	!
savvy	elder	elder
savviest	!	!
savvy	elder	elder
savvier	!	!
savviest	!	!
livelier	!	!
lively	elder	elder
liveliest	!	!
lively	elder	elder
livelier	!	!
liveliest	!	!
harder	!	!
hard	difficult	difficult
hardest	!	!
hard	elder	elder
harder	!	!
hardest	easier	easier
taller	!	!
tall	elder	elder
tallest	!	!
tall	winters	others,
taller	oldest	oldest
tallest	!	!
freer	!	!
free	elder	elder
freest	!	!
free	elder	elder
freer	!	!
freest	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
rougher	dense	vinyl
rough	!	!
roughest	dense	vinyl
rough	!	!
rougher	!	!
roughest	!	!
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
smarter	immune	immune
smart	!	!
smartest	immune	immune
smart	!	!
smarter	!	!
smartest	!	!
cleaner	drunk	security.
clean	!	!
cleanest	drunk	security.
clean	!	!
cleaner	!	!
cleanest	!	!
lighter	!	!
light	company	company
lightest	!	!
light	company	company
lighter	!	!
lightest	heavier	heavier
classier	!	!
classy	company	company
classiest	!	!
classy	company	company
classier	!	!
classiest	!	!
poorer	!	!
poor	company	company
poorest	!	!
poor	company	company
poorer	!	!
poorest	!	!
slower	!	!
slow	company	company
slowest	!	!
slow	company	company
slower	!	!
slowest	faster	faster
faster	!	!
fastest	company	company
fast	!	!
fastest	company	company
faster	faster	faster
fast	slower	slower
classier	!	!
classy	thin	thin
classiest	!	!
classy	thin	thin
classier	!	!
classiest	!	!
simpler	!	!
simple	thin	thin
simplest	!	!
simple	thin	thin
simpler	!	!
simplest	!	!
meaner	!	!
mean	thin	thin
meanest	!	!
mean	thin	thin
meaner	!	!
meanest	!	!
mightier	!	!
mighty	thin	thin
mightiest	!	!
mighty	thin	thin
mightier	!	!
mightiest	!	!
cleaner	!	!
clean	thin	thin
cleanest	!	!
clean	thin	thin
cleaner	!	!
cleanest	!	!
louder	!	!
loud	signature	signature
loudest	!	!
loud	signature	signature
louder	!	!
loudest	!	!
newer	!	!
new	numerical	production
newest	!	!
new	signature	signature
newer	!	!
newest	chevrolet	chevrolet
cooler	!	!
cool	signature	signature
coolest	!	!
cool	signature	signature
cooler	!	!
coolest	!	!
narrower	!	!
narrow	signature	signature
narrowest	!	!
narrow	signature	signature
narrower	!	!
narrowest	!	!
busier	!	!
busy	signature	signature
busiest	!	!
busy	signature	signature
busier	!	!
busiest	!	!
gentler	!	!
gentle	tall,	tall,
gentlest	!	!
gentle	tall,	tall,
gentler	!	!
gentlest	!	!
fancier	!	!
fancy	tall,	tall,
fanciest	!	!
fancy	tall,	tall,
fancier	!	!
fanciest	!	!
noisier	!	!
noisy	tall,	tall,
noisiest	!	!
noisy	tall,	tall,
noisier	!	!
noisiest	!	!
smarter	!	!
smart	tall,	tall,
smartest	!	!
smart	tall,	tall,
smarter	!	!
smartest	!	!
trickier	!	!
tricky	tall,	tall,
trickiest	!	!
tricky	tall,	tall,
trickier	!	!
trickiest	!	!
tastier	!	!
tasty	sort	sort
tastiest	!	!
tasty	sort	sort
tastier	!	!
tastiest	!	!
easier	!	!
easy	sort	sort
easiest	!	!
easy	sort	sort
easier	!	!
easiest	harder	harder
mightier	!	!
mighty	sort	sort
mightiest	!	!
mighty	sort	sort
mightier	!	!
mightiest	!	!
fewer	!	!
few	sort	serious
fewest	!	!
few	sort	sort
fewer	!	!
fewest	more	more
trickier	!	!
tricky	sort	sort
trickiest	!	!
tricky	sort	sort
trickier	!	!
trickiest	!	!
thicker	!	!
thick	slopes	slopes
thickest	!	!
thick	slopes	slopes
thicker	!	!
thickest	!	!
earlier	!	!
early	gradual	inland
earliest	!	!
early	substantial	statements
earlier	oldest	oldest
earliest	later	later
swifter	!	!
swift	slopes	slopes
swiftest	!	!
swift	slopes	slopes
swifter	!	!
swiftest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	massive	massive
bigger	largest	largest
biggest	larger	larger
deeper	!	!
deep	gradual	gradual
deepest	!	!
deep	slopes	slopes
deeper	!	!
deepest	wider	deep
tighter	!	!
tight	warm	warm
tightest	!	!
tight	warm	warm
tighter	!	!
tightest	!	!
wider	!	!
wide	deeper	deeper
widest	!	!
wide	warm	warm
wider	!	!
widest	greater	greater
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
older	!	!
old	prey	prey
oldest	!	!
old	largest	earliest
older	largest	largest
oldest	old	old
wiser	!	!
wise	warm	warm
wisest	!	!
wise	warm	warm
wiser	!	!
wisest	!	!
milder	!	!
mild	law.	law.
mildest	!	!
mild	law.	law.
milder	!	!
mildest	!	!
prettier	!	!
pretty	law.	law.
prettiest	!	!
pretty	law.	law.
prettier	!	!
prettiest	!	!
narrower	!	!
narrow	law.	law.
narrowest	!	!
narrow	law.	law.
narrower	!	!
narrowest	!	!
stiffer	!	!
stiff	law.	law.
stiffest	!	!
stiff	law.	law.
stiffer	!	!
stiffest	!	!
older	!	!
old	armor	armor
oldest	!	!
old	surviving	surviving
older	largest	largest
oldest	old	old
steadier	!	!
steady	dense	vinyl
steadiest	!	!
steady	dense	vinyl
steadier	!	!
steadiest	!	!
fairer	!	!
fair	dense	vinyl
fairest	!	!
fair	dense	vinyl
fairer	!	!
fairest	!	!
smarter	!	!
smart	dense	vinyl
smartest	!	!
smart	dense	vinyl
smarter	!	!
smartest	!	!
sharper	!	!
sharp	dense	vinyl
sharpest	!	!
sharp	dense	vinyl
sharper	!	!
sharpest	!	!
deeper	!	!
deep	dense	dense
deepest	!	!
deep	dense	vinyl
deeper	!	!
deepest	wider	deep
bloodier	!	!
bloody	drunk	drunk
bloodiest	!	!
bloody	drunk	drunk
bloodier	!	!
bloodiest	!	!
quicker	!	!
quick	drunk	drunk
quickest	!	!
quick	drunk	drunk
quicker	!	!
quickest	!	!
narrower	!	!
narrow	drunk	drunk
narrowest	!	!
narrow	drunk	drunk
narrower	!	!
narrowest	!	!
savvier	!	!
savvy	drunk	drunk
savviest	!	!
savvy	drunk	drunk
savvier	!	!
savviest	!	!
stronger	!	!
strong	drunk	drunk
strongest	!	!
strong	timing	timing
stronger	greatest	greatest
strongest	closer	closer
better	!	!
good	worse	worse
best	!	!
good	better	better
better	"best	"best
best	good	good
slicker	!	!
slick	pale	pale
slickest	!	!
slick	pale	pale
slicker	!	!
slickest	!	!
friendlier	!	!
friendly	pale	pale
friendliest	!	!
friendly	pale	pale
friendlier	!	!
friendliest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	largest	largest
bigger	largest	largest
biggest	larger	larger
stronger	!	!
strong	color	color
strongest	!	!
strong	obvious	obvious
stronger	greatest	greatest
strongest	closer	closer
milder	humid	humid
mild	!	!
mildest	humid	humid
mild	!	!
milder	!	!
mildest	!	!
faster	best	best
fastest	slower	slower
fast	best	best
fastest	faster	faster
faster	faster	faster
fast	slower	slower
busier	drunk	drunk
busy	!	!
busiest	drunk	drunk
busy	!	!
busier	!	!
busiest	!	!
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
wiser	elder	elder
wise	!	!
wisest	elder	elder
wise	!	!
wiser	!	!
wisest	!	!
lighter	light,	light,
light	heavier	heavier
lightest	light,	light,
light	!	!
lighter	!	!
lightest	heavier	heavier
healthier	mild	mild
healthy	!	!
healthiest	mild	mild
healthy	!	!
healthier	!	!
healthiest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
meaner	indicate	indicate
mean	!	!
meanest	indicate	indicate
mean	!	!
meaner	!	!
meanest	!	!
older	older	older
old	old	old
oldest	older	older
old	largest	largest
older	largest	largest
oldest	old	old
louder	!	!
loud	red	green,
loudest	!	!
loud	red	green,
louder	!	!
loudest	!	!
tougher	!	!
tough	red	green,
toughest	!	!
tough	red	green,
tougher	!	!
toughest	!	!
darker	!	!
dark	dark	dark
darkest	!	!
dark	red	green,
darker	!	!
darkest	dark	hindwings
easier	!	!
easy	difficult	difficult
easiest	!	!
easy	red	green,
easier	!	!
easiest	harder	harder
trickier	!	!
tricky	red	green,
trickiest	!	!
tricky	red	green,
trickier	!	!
trickiest	!	!
larger	small	small
large	smaller	smaller
largest	small	small
large	biggest	biggest
larger	biggest	biggest
largest	smaller	smaller
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
healthier	mild	mild
healthy	!	!
healthiest	mild	mild
healthy	!	!
healthier	!	!
healthiest	!	!
faster	best	best
fastest	slower	slower
fast	best	best
fastest	faster	faster
faster	faster	faster
fast	slower	slower
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	largest	small
smaller	largest	largest
smallest	larger	larger
fuller	!	!
full	mild	mild
fullest	!	!
full	mild	mild
fuller	!	!
fullest	!	!
younger	!	!
young	young	young
youngest	!	!
young	young	young
younger	oldest	oldest
youngest	young	young
smarter	!	!
smart	mild	mild
smartest	!	!
smart	mild	mild
smarter	!	!
smartest	!	!
deeper	!	!
deep	infection	infection
deepest	!	!
deep	mild	mild
deeper	!	!
deepest	wider	deep
classier	!	!
classy	indicate	indicate
classiest	!	!
classy	indicate	indicate
classier	!	!
classiest	!	!
stickier	!	!
sticky	indicate	indicate
stickiest	!	!
sticky	indicate	indicate
stickier	!	!
stickiest	!	!
happier	!	!
happy	indicate	indicate
happiest	!	!
happy	indicate	indicate
happier	!	!
happiest	!	!
poorer	!	!
poor	indicate	indicate
poorest	!	!
poor	indicate	indicate
poorer	!	!
poorest	!	!
softer	!	!
soft	indicate	indicate
softest	!	!
soft	indicate	indicate
softer	!	!
softest	!	!
higher	!	!
high	worse	worse
highest	!	!
high	excellent	excellent
higher	lowest	lowest
highest	lower	lower
thinner	!	!
thin	me"	me"
thinnest	!	!
thin	me"	me"
thinner	!	!
thinnest	!	!
fairer	!	!
fair	me"	me"
fairest	!	!
fair	me"	me"
fairer	!	!
fairest	!	!
mightier	!	!
mighty	me"	me"
mightiest	!	!
mighty	me"	me"
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	me"	me"
noisiest	!	!
noisy	me"	me"
noisier	!	!
noisiest	!	!
kinder	!	!
kind	humid	humid
kindest	!	!
kind	humid	humid
kinder	!	!
kindest	!	!
easier	!	!
easy	harder	worse
easiest	!	!
easy	humid	humid
easier	!	!
easiest	harder	harder
busier	!	!
busy	humid	humid
busiest	!	!
busy	humid	humid
busier	!	!
busiest	!	!
trickier	!	!
tricky	humid	humid
trickiest	!	!
tricky	humid	humid
trickier	!	!
trickiest	!	!
riskier	!	!
risky	humid	humid
riskiest	!	!
risky	humid	humid
riskier	!	!
riskiest	!	!
rougher	!	!
rough	very	very
roughest	!	!
rough	very	very
rougher	!	!
roughest	!	!
friendlier	!	!
friendly	very	very
friendliest	!	!
friendly	very	very
friendlier	!	!
friendliest	!	!
shorter	!	!
short	smaller	smaller
shortest	!	!
short	very	very
shorter	!	!
shortest	short	short
faster	!	!
fastest	harder	so
fast	!	!
fastest	so	so
faster	faster	faster
fast	slower	slower
fewer	!	!
few	bad	bad
fewest	!	!
few	very	very
fewer	!	!
fewest	more	more
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
closer	closer	closer
close	farther	farther
closest	closer	closer
close	nearest	nearest
closer	nearest	nearest
closest	farther	farther
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
thinner	thick	thick
thin	!	!
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	!	!
nicer	me"	me"
nice	!	!
nicest	me"	me"
nice	!	!
nicer	!	!
nicest	!	!
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
smarter	immune	immune
smart	!	!
smartest	immune	immune
smart	!	!
smarter	!	!
smartest	!	!
fewer	handful	handful
few	more	more
fewest	handful	handful
few	!	!
fewer	!	!
fewest	more	more
simpler	finite	finite
simple	!	!
simplest	finite	finite
simple	!	!
simpler	!	!
simplest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
greater	tremendous	tremendous
great	wider	wider
greatest	tremendous	tremendous
great	biggest	biggest
greater	biggest	biggest
greatest	wider	wider
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
deeper	deeper	deeper
deep	wider	deep
deepest	deeper	deeper
deep	!	!
deeper	!	!
deepest	wider	deep
richer	precious	precious
rich	!	!
richest	precious	precious
rich	!	!
richer	!	!
richest	!	!
louder	flesh	flesh
loud	!	!
loudest	flesh	flesh
loud	!	!
louder	!	!
loudest	!	!
rougher	dense	vinyl
rough	!	!
roughest	dense	vinyl
rough	!	!
rougher	!	!
roughest	!	!
slower	steady	steady
slow	faster	faster
slowest	steady	steady
slow	!	!
slower	!	!
slowest	faster	faster
nastier	!	!
nasty	!	!
nastiest	!	!
nasty	!	!
nastier	!	!
nastiest	!	!
slimmer	!	!
slim	!	!
slimmest	!	!
slim	!	!
slimmer	!	!
slimmest	!	!
smoother	thin	thin
smooth	!	!
smoothest	thin	thin
smooth	!	!
smoother	!	!
smoothest	!	!
meaner	indicate	indicate
mean	!	!
meanest	indicate	indicate
mean	!	!
meaner	!	!
meanest	!	!
longer	long,	long,
long	no	no
longest	long,	long,
long	largest	largest
longer	largest	largest
longest	no	no
shorter	lengthy	lengthy
short	short	short
shortest	lengthy	lengthy
short	!	!
shorter	!	!
shortest	short	short
wider	!	!
wide	gradual	gradual
widest	!	!
wide	gradual	gradual
wider	!	!
widest	greater	greater
fairer	!	!
fair	gradual	gradual
fairest	!	!
fair	gradual	gradual
fairer	!	!
fairest	!	!
smarter	!	!
smart	gradual	gradual
smartest	!	!
smart	gradual	gradual
smarter	!	!
smartest	!	!
deeper	!	!
deep	gradual	gradual
deepest	!	!
deep	gradual	gradual
deeper	!	!
deepest	wider	deep
luckier	!	!
lucky	gradual	gradual
luckiest	!	!
lucky	gradual	gradual
luckier	!	!
luckiest	!	!
earlier	!	!
early	raj	drunk
earliest	!	!
early	homosexual	homosexual
earlier	oldest	oldest
earliest	later	later
pricier	!	!
pricey	crazy	crazy
priciest	!	!
pricey	crazy	crazy
pricier	!	!
priciest	!	!
wider	!	!
wide	darker	snake
widest	!	!
wide	crazy	crazy
wider	!	!
widest	greater	greater
lower	!	!
low	low	low
lowest	!	!
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	!	!
steep	crazy	crazy
steepest	!	!
steep	crazy	crazy
steeper	!	!
steepest	!	!
wealthier	protestant	protestant
wealthy	!	!
wealthiest	protestant	protestant
wealthy	!	!
wealthier	!	!
wealthiest	!	!
richer	precious	precious
rich	!	!
richest	precious	precious
rich	!	!
richer	!	!
richest	!	!
faster	best	best
fastest	slower	slower
fast	best	best
fastest	faster	faster
faster	faster	faster
fast	slower	slower
taller	tall,	tall,
tall	!	!
tallest	tall,	tall,
tall	oldest	oldest
taller	oldest	oldest
tallest	!	!
luckier	crazy	crazy
lucky	!	!
luckiest	crazy	crazy
lucky	!	!
luckier	!	!
luckiest	!	!
wider	!	!
wide	broader	skull
widest	!	!
wide	flesh	flesh
wider	!	!
widest	greater	greater
slower	!	!
slow	slow	slow
slowest	!	!
slow	flesh	flesh
slower	!	!
slowest	faster	faster
friendlier	!	!
friendly	flesh	flesh
friendliest	!	!
friendly	flesh	flesh
friendlier	!	!
friendliest	!	!
easier	!	!
easy	background	noise
easiest	!	!
easy	flesh	flesh
easier	!	!
easiest	harder	harder
colder	!	!
cold	flesh	flesh
coldest	!	!
cold	flesh	flesh
colder	!	!
coldest	!	!
lower	!	!
low	upper	protective
lowest	!	!
low	armour	armour
lower	highest	highest
lowest	upper	upper
darker	!	!
dark	dark	dark
darkest	!	!
dark	oxygen	oxygen
darker	!	!
darkest	dark	hindwings
safer	!	!
safe	oxygen	oxygen
safest	!	!
safe	oxygen	oxygen
safer	!	!
safest	!	!
faster	!	!
fastest	nerve	fuel
fast	!	!
fastest	nerve	nerve
faster	faster	faster
fast	slower	slower
fresher	!	!
fresh	oxygen	oxygen
freshest	!	!
fresh	oxygen	oxygen
fresher	!	!
freshest	!	!
thinner	!	!
thin	water,	water,
thinnest	!	!
thin	water,	water,
thinner	!	!
thinnest	!	!
simpler	!	!
simple	water,	water,
simplest	!	!
simple	water,	water,
simpler	!	!
simplest	!	!
firmer	!	!
firm	water,	water,
firmest	!	!
firm	water,	water,
firmer	!	!
firmest	!	!
gentler	!	!
gentle	water,	water,
gentlest	!	!
gentle	water,	water,
gentler	!	!
gentlest	!	!
livelier	!	!
lively	water,	water,
liveliest	!	!
lively	water,	water,
livelier	!	!
liveliest	!	!
greener	red	green,
green	!	!
greenest	red	green,
green	!	!
greener	!	!
greenest	!	!
cheaper	portable	portable
cheap	reliable	reliable
cheapest	portable	portable
cheap	!	!
cheaper	!	!
cheapest	reliable	reliable
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	oxygen	oxygen
fat	!	!
fattest	oxygen	oxygen
fat	!	!
fatter	!	!
fattest	!	!
harder	difficult	difficult
hard	easier	easier
hardest	difficult	difficult
hard	!	!
harder	!	!
hardest	easier	easier
milder	humid	humid
mild	!	!
mildest	humid	humid
mild	!	!
milder	!	!
mildest	!	!
thinner	thick	thick
thin	!	!
thinnest	thick	thick
thin	!	!
thinner	!	!
thinnest	!	!
poorer	weak	weak
poor	!	!
poorest	weak	weak
poor	!	!
poorer	!	!
poorest	!	!
lower	lower	lower
low	upper	upper
lowest	lower	lower
low	highest	highest
lower	highest	highest
lowest	upper	upper
quicker	spectacular	spectacular
quick	!	!
quickest	spectacular	spectacular
quick	!	!
quicker	!	!
quickest	!	!
newer	!	!
new	remote	remote
newest	!	!
new	3–1	3–1
newer	!	!
newest	chevrolet	chevrolet
tougher	!	!
tough	3–1	3–1
toughest	!	!
tough	3–1	3–1
tougher	!	!
toughest	!	!
quicker	!	!
quick	3–1	3–1
quickest	!	!
quick	3–1	3–1
quicker	!	!
quickest	!	!
costlier	!	!
costly	3–1	3–1
costliest	!	!
costly	3–1	3–1
costlier	!	!
costliest	!	!
shorter	!	!
short	smaller	smaller
shortest	!	!
short	3–1	3–1
shorter	!	!
shortest	short	short
louder	!	!
loud	peters	peters
loudest	!	!
loud	peters	peters
louder	!	!
loudest	!	!
nastier	!	!
nasty	peters	peters
nastiest	!	!
nasty	peters	peters
nastier	!	!
nastiest	!	!
greater	!	!
great	wider	better
greatest	!	!
great	great	great
greater	biggest	biggest
greatest	wider	wider
wiser	!	!
wise	peters	peters
wisest	!	!
wise	peters	peters
wiser	!	!
wisest	!	!
closer	!	!
close	desperate	desperate
closest	!	!
close	cliff	cliff
closer	nearest	nearest
closest	farther	farther
thicker	tall,	tall,
thick	!	!
thickest	tall,	tall,
thick	!	!
thicker	!	!
thickest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	finite	finite
simple	!	!
simplest	finite	finite
simple	!	!
simpler	!	!
simplest	!	!
busier	drunk	drunk
busy	!	!
busiest	drunk	drunk
busy	!	!
busier	!	!
busiest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
worse	good	good
bad	common.	common.
worst	good	good
bad	best	best
worse	best	best
worst	common.	common.
fatter	oxygen	oxygen
fat	!	!
fattest	oxygen	oxygen
fat	!	!
fatter	!	!
fattest	!	!
lower	lower	lower
low	upper	upper
lowest	lower	lower
low	highest	highest
lower	highest	highest
lowest	upper	upper
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
friendlier	3–1	3–1
friendly	!	!
friendliest	3–1	3–1
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	!	!
small	small	small
smallest	!	!
small	small	small
smaller	largest	largest
smallest	larger	larger
cheaper	!	!
cheap	livestock	weapons
cheapest	!	!
cheap	fish	mammals
cheaper	!	!
cheapest	reliable	reliable
tighter	!	!
tight	fish	mammals
tightest	!	!
tight	fish	mammals
tighter	!	!
tightest	!	!
happier	!	!
happy	fish	mammals
happiest	!	!
happy	fish	mammals
happier	!	!
happiest	!	!
harsher	!	!
harsh	fish	mammals
harshest	!	!
harsh	fish	mammals
harsher	!	!
harshest	!	!
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
prettier	very	very
pretty	!	!
prettiest	very	very
pretty	!	!
prettier	!	!
prettiest	!	!
smoother	thin	thin
smooth	!	!
smoothest	thin	thin
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	water,	water,
fresh	!	!
freshest	water,	water,
fresh	!	!
fresher	!	!
freshest	!	!
faster	best	best
fastest	slower	slower
fast	best	best
fastest	faster	faster
faster	faster	faster
fast	slower	slower
worse	good	good
bad	common.	common.
worst	good	good
bad	best	best
worse	best	best
worst	common.	common.
higher	low	low
high	lower	lower
highest	low	low
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
firmer	company	company
firm	!	!
firmest	company	company
firm	!	!
firmer	!	!
firmest	!	!
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	immune	immune
greenest	!	!
green	immune	immune
greener	!	!
greenest	!	!
smaller	!	!
small	larger	small
smallest	!	!
small	smaller	timing
smaller	largest	largest
smallest	larger	larger
narrower	!	!
narrow	immune	immune
narrowest	!	!
narrow	immune	immune
narrower	!	!
narrowest	!	!
cleaner	!	!
clean	immune	immune
cleanest	!	!
clean	immune	immune
cleaner	!	!
cleanest	!	!
riskier	!	!
risky	immune	immune
riskiest	!	!
risky	immune	immune
riskier	!	!
riskiest	!	!
newer	!	!
new	modern	conventional
newest	!	!
new	warrior	warrior
newer	!	!
newest	chevrolet	chevrolet
wilder	!	!
wild	warrior	warrior
wildest	!	!
wild	warrior	warrior
wilder	!	!
wildest	!	!
narrower	!	!
narrow	warrior	warrior
narrowest	!	!
narrow	warrior	warrior
narrower	!	!
narrowest	!	!
safer	!	!
safe	warrior	warrior
safest	!	!
safe	warrior	warrior
safer	!	!
safest	!	!
faster	!	!
fastest	virus	virus
fast	!	!
fastest	power	power
faster	faster	faster
fast	slower	slower
meaner	!	!
mean	bitter	bitter
meanest	!	!
mean	bitter	bitter
meaner	!	!
meanest	!	!
heavier	!	!
heavy	rotating	rotating
heaviest	!	!
heavy	bitter	bitter
heavier	!	!
heaviest	lighter	lighter
nicer	!	!
nice	bitter	bitter
nicest	!	!
nice	bitter	bitter
nicer	!	!
nicest	!	!
faster	!	!
fastest	serious	serious
fast	!	!
fastest	slow	coordinated
faster	faster	faster
fast	slower	slower
leaner	!	!
lean	bitter	bitter
leanest	!	!
lean	bitter	bitter
leaner	!	!
leanest	!	!
weaker	poor	poor
weak	!	!
weakest	poor	poor
weak	!	!
weaker	!	!
weakest	!	!
darker	darker	darker
dark	dark	hindwings
darkest	darker	darker
dark	!	!
darker	!	!
darkest	dark	hindwings
rougher	dense	vinyl
rough	!	!
roughest	dense	vinyl
rough	!	!
rougher	!	!
roughest	!	!
mightier	warrior	warrior
mighty	!	!
mightiest	warrior	warrior
mighty	!	!
mightier	!	!
mightiest	!	!
wiser	elder	elder
wise	!	!
wisest	elder	elder
wise	!	!
wiser	!	!
wisest	!	!
laws	enforcement	enforcement
law	laws,	laws,
products	years.	product.
product	products,	products,
changes	changes	changes
change	changes,	changes,
citizens	years.	independence
citizen	nationals	nationals
teachers	teacher,	teacher,
teacher	year,	year,
things	gods	gods
thing	out:	out:
minutes	kilometers	kilometers
minute	seconds	seconds
dollars	hectares	hectares
dollar	billion	billion
areas	areas	areas
area	areas,	areas,
cities	suburbs	suburbs
city	provinces	commissioner
streets	street,	street,
street	wall	wall
months	week	weeks
month	years	years
conditions	risk	risk
condition	conditions.	conditions.
countries	farms	farms
country	countries,	countries,
operations	bombardment	bombardment
operation	flight	flight
schools	schools	schools
school	school	politician,
results	consequences	consequences
result	result	result
parents	owners	owners
parent	father	father
charges	slaves	slaves
charge	politician.	politician.
students	students	students
student	pupil	pupil
employees	inmates	inmates
employee	activities.	activities.
workers	workers	workers
worker	workers.	bar,
miles	kilometers	kilometers
mile	kilometres	kilometres
ways	ways	ways
way	method	method
decisions	intent	intent
decision	client	client
rights	riders	riders
right	rights.	rights.
parents	owners	owners
parent	mother	mother
companies	company,	company,
company	company	manufacturing
jobs	pupils	tenants
job	employee	farm.
authorities	authorities	authorities
authority	government	government
rules	rule,	rule,
rule	aircraft.	aircraft.
reports	reports	reports
report	report	report
programs	program,	program,
program	program	program
buildings	building,	building,
building	building	building
officials	polls	polls
official	prosecutor	prosecutor
dollars	losses,	losses,
dollar	per	per
rules	rule.	rule.
rule	rules,	rules,
citizens	citizens,	citizens,
citizen	soldiers,	soldiers,
questions	risks	risks
question	question	question
officers	commander	commander
officer	officer	officer
cities	town	town
city	mountains	figures,
experts	editor,	editor,
expert	figures,	figures,
teachers	teacher,	taught
teacher	players	ethics
benefits	graduate	graduate
benefit	advantages	advantages
authorities	agencies	agencies
authority	authorities,	authorities,
games	game,	game,
game	games.	games.
cities	city.	city.
city	cities.	brewery
benefits	women,	women,
benefit	option	aggregate
groups	groups	groups
group	group	group
authorities	authority,	entities
authority	himself	himself
rates	rate,	rate,
rate	rate,	practices
changes	changes	changes
change	change	change
citizens	citizens	citizens
citizen	citizen	citizen
questions	questions	questions
question	question	question
artists	artists	designers
artist	artist	artist
deaths	rumors	rumors
death	accident	accident
workers	servants	servants
worker	workers,	workers'
sports	sports,	sports,
sport	sport	sport
sources	sources	loading
source	source	source
women	woman.	woman.
woman	woman	woman
voters	countries	countries
voter	braves	braves
sports	associations	associations
sport	athletics	athletics
officers	officers	officers
officer	officer	officer
concerns	concerns	exceptions
concern	concern	concern
prices	exceptions	exceptions
price	news"	news"
schools	schools	schools
school	school	school
feet	north.	north.
foot	meters	meters
reports	articles	articles
report	report	report
officials	officials	officials
official	lawyer,	lawyer,
teams	teams	teams
team	team	team
cases	court.	court.
case	case	case
relations	regards	regards
relation	friendship	friendship
residents	1929,	1929,
resident	people	people
issues	issues	issues
issue	issue	issue
families	family,	family,
family	families,	families,
months	week	week
month	weeks	weeks
minutes	variables	variables
minute	seconds	seconds
losses	victories	victories
loss	loss	loss
