rougher	drag	drag
rough	!	!
roughest	"best	"best
rough	!	!
rougher	!	!
roughest	!	!
meaner	guarantee	guarantee
mean	!	!
meanest	aria	aria
mean	!	!
meaner	!	!
meanest	!	!
heavier	heavier	heavier
heavy	irregular	irregular
heaviest	"best	"best
heavy	!	!
heavier	!	!
heaviest	"best	"best
mightier	composing	composing
mighty	!	!
mightiest	actress,	actress,
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	publicity	publicity
bad	hurt	pump
worst	strongest	strongest
bad	cia	cia
worse	worse	worse
worst	worst	worst
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	shark	darker
wild	!	!
wildest	fish	fish
wild	!	!
wilder	!	!
wildest	!	!
stricter	guarantee	guarantee
strict	!	!
strictest	largest	largest
strict	!	!
stricter	!	!
strictest	!	!
narrower	darker	darker
narrow	!	!
narrowest	largest	largest
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	early	rebellion
earliest	late	late
early	painting	painting
earlier	larger	larger
earliest	previous	previous
fatter	larger	amino
fat	!	!
fattest	biggest	unreleased
fat	!	!
fatter	!	!
fattest	!	!
fuller	heavier	heavier
full	!	!
fullest	biggest	biggest
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	darker
tough	!	!
toughest	last	last
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	short	short
shortest	screenplay	xbox
short	!	!
shorter	!	!
shortest	fastest	fastest
softer	fuselage	fuselage
soft	!	!
softest	r&b	r&b
soft	!	!
softer	!	!
softest	!	!
older	upper	older
old	old	old
oldest	older	older
old	tallest	tallest
older	upper	upper
oldest	old	69
richer	bigger	disappeared
rich	!	!
richest	longest	longest
rich	!	!
richer	!	!
richest	!	!
weaker	survival	survival
weak	!	!
weakest	overall.	overall.
weak	!	!
weaker	!	!
weakest	!	!
prettier	bigger	bigger
pretty	!	!
prettiest	biggest	fastest
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	bigger	bigger
cool	!	!
coolest	longest	longest
cool	!	!
cooler	!	!
coolest	!	!
luckier	darker	darker
lucky	!	!
luckiest	longest	longest
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	heat	heat
light	thick	safely
lightest	largest	largest
light	!	!
lighter	!	!
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	!	!
shorter	!	!
shortest	largest	largest
fewer	handful	handful
few	yards	yards
fewest	handful	handful
few	!	!
fewer	!	!
fewest	largest	largest
sharper	molecule	molecule
sharp	!	!
sharpest	tallest	contrast,
sharp	!	!
sharper	!	!
sharpest	!	!
taller	rounded	rounded
tall	!	!
tallest	tallest	tallest
tall	older	older
taller	lighter	lighter
tallest	!	!
