rougher	considerably	considerably
rough	!	!
roughest	nominated	nominations
rough	!	!
rougher	!	!
roughest	nominated	emmy
meaner	maximum	maximum
mean	!	!
meanest	nominated	nominated
mean	!	!
meaner	!	!
meanest	nominated	emmy
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	nominations	nominations
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	nominations	nominations
mightier	deeper	deeper
mighty	!	!
mightiest	nominations	nominations
mighty	!	!
mightier	!	!
mightiest	nominated	emmy
noisier	than	quieter
noisy	!	!
noisiest	nominations	nominations
noisy	!	!
noisier	!	!
noisiest	nominated	emmy
worse	good	things
bad	school	school
worst	second-highest	awarded
bad	school	school
worse	catastrophic	catastrophic
worst	valor	citation
sadder	novi	novi
sad	!	!
saddest	awarded	awarded
sad	!	!
sadder	!	!
saddest	!	!
wilder	deer	deer
wild	school	coeducational
wildest	deer	deer
wild	!	!
wilder	!	!
wildest	gallantry	honor
stricter	regulations	regulations
strict	strict	strict
strictest	regulations	regulations
strict	!	!
stricter	!	!
strictest	strict	strict
narrower	narrower	narrower
narrow	school	narrow
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	honor	honor
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	once	once
earliest	late	late
early	dating	dating
earlier	within	within
earliest	previous	next
fatter	fatty	fats
fat	!	!
fattest	cholesterol	cholesterol
fat	!	!
fatter	!	!
fattest	!	!
fuller	within	within
full	fisher	gilbert
fullest	list	list
full	!	!
fuller	!	!
fullest	greats	greats
costlier	expensive	expensive
costly	!	!
costliest	expensive	risky
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	teeth
tough	stronger	stronger
toughest	stubborn	stubborn
tough	obstacles	obstacles
tougher	upper	upper
toughest	percentages	percentages
gentler	upper	upper
gentle	!	!
gentlest	calm	disposition
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	faster	faster
shortest	novels	novels
short	shorter	shorter
shorter	upper	shorter
shortest	duration	duration
softer	upper	upper
soft	finer	finer
softest	cola	cola
soft	!	!
softer	!	!
softest	finer	finer
older	upper	upper
old	65	65
oldest	norse	norse
old	surviving	surviving
older	upper	upper
oldest	65	65
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	wealthy	wealthy
richer	heavier	heavier
richest	richest	richest
weaker	stronger	stronger
weak	axioms	proving
weakest	emotionally	emotionally
weak	small	vast
weaker	smaller	weaker
weakest	axioms	axioms
prettier	've	'm
pretty	!	!
prettiest	thing	thing
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	warmer	warmer
cool	humid	humid
coolest	warm	cooler
cool	!	!
cooler	!	!
coolest	humid	humid
luckier	bigger	bigger
lucky	!	!
luckiest	loser	loser
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	65	65
light	heavier	much
lightest	ultraviolet	illumination
light	!	!
lighter	!	!
lightest	heavier	1.9
shorter	65	65
short	longer	longer
shortest	films	films
short	length	length
shorter	65	45
shortest	longer	2.4
fewer	45	45
few	than	1.9
fewest	one	one
few	shutouts	shutouts
fewer	44	44
fewest	1.1	1.9
sharper	65	65
sharp	!	!
sharpest	blunt	blunt
sharp	!	!
sharper	!	!
sharpest	!	!
taller	65	65
tall	tall	tall
tallest	height	height
tall	skyscraper	towers
taller	65	45
tallest	tall	tallest
smoother	slightly	slightly
smooth	!	!
smoothest	projective	projective
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	marseille	marseille
nice	!	!
nicest	marseille	marseille
nice	!	!
nicer	!	!
nicest	!	!
broader	slightly	slightly
broad	broad	broadly
broadest	width	width
broad	!	!
broader	!	!
broadest	encompass	inclusive
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	much	much
great	within	within
greatest	honeycomb	honeycomb
great	one	one
greater	much	much
greatest	within	within
wilder	deer	deer
wild	pickett	pickett
wildest	feral	feral
wild	!	!
wilder	!	!
wildest	low-budget	helm
smoother	whorls	slightly
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
mightier	anaheim	anaheim
mighty	!	!
mightiest	anaheim	anaheim
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	quicker	farther
lean	!	!
leanest	torso	torso
lean	!	!
leaner	!	!
leanest	!	!
cleaner	cleaner	cleaner
clean	toilet	toilet
cleanest	sanitation	sanitation
clean	!	!
cleaner	!	!
cleanest	toilet	appliances
narrower	broad	broad
narrow	mid	mid
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	narrow	narrow
colder	warm	warm
cold	warmer	warmer
coldest	winters	kppen
cold	lows	lows
colder	temperatures	celsius
coldest	warmer	warmer
noisier	previous	crowd
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	deeper	deeper
deep	mid	mid
deepest	deepest	deepest
deep	late	deep
deeper	deep	deep
deepest	depths	depths
taller	taller	taller
tall	tall	height
tallest	height	erect
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
quicker	eldest	eldest
quick	slower	slower
quickest	pace	pace
quick	!	!
quicker	!	!
quickest	faster	fastest
narrower	broad	broad
narrow	narrow	length
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	narrow	narrow
deeper	deeper	deeper
deep	depths	depths
deepest	deeper	deepest
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
closer	elder	ties
close	girl	become
closest	closest	closest
close	friends	friends
closer	relatives	relatives
closest	twins	twins
taller	height	height
tall	tall	tall
tallest	height	tallest
tall	skyscraper	skyscrapers
