model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.200708334476,0.290211422041,0.0507418845553,0.362709113871,-0.0523219931606,0.031076805992,0.106273024969,0.089439214081,0.03875,0.035625
SVD,0.345467797591,0.443878664862,0.151179961983,0.438913421185,0.00813725892893,0.130152688531,0.128223495702,0.131549324601,0.034125,0.032
SGNSpinit1,0.186515690106,0.327715929641,0.0832996409432,0.400040122597,-0.00739162776736,0.060264373428,0.0275787965616,0.0249181334425,0.0075,0.005625
SGNSpinit2,0.221702255251,0.330894030656,0.0882044047964,0.400763726013,-0.00748699216413,0.0609330452315,0.0292672943103,0.0255321326238,0.00775,0.0065
SGNSpinit3,0.185290561442,0.313340885262,0.0861810174946,0.410598783635,-0.017835084508,0.058038054072,0.0277834629554,0.0245599672534,0.00675,0.005375
SGNSsvd,0.213512016407,0.379781001085,0.095279417874,0.403665062883,-0.0225790995984,0.0515191765181,0.0374539500614,0.0338722881703,0.007125,0.006
SGNSpinit1-rev,0.21217089923,0.305020531732,0.101159738548,0.395563371345,-0.0292698364127,0.0552075893215,0.0288067949243,0.0256344658207,0.00675,0.00525
SGNSpinit2-rev,0.190099735144,0.286772894288,0.0930675721349,0.394001290549,-0.0303761258772,0.05443923085,0.0287556283258,0.0251227998363,0.0065,0.00475
SGNSpinit3-rev,0.193108187189,0.298361689262,0.0965901988903,0.393491793743,-0.0253197878239,0.0513214221242,0.0278346295538,0.0243041342612,0.00625,0.00475
SGNSsvd-rev,0.218951877647,0.326347648557,0.0979860640933,0.40545535312,-0.0264315177594,0.0603585642134,0.0390401146132,0.0339746213672,0.0075,0.005875
