model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.702539318203,0.661349558256,0.234795633605,0.65884751481,0.0638598975,0.327869845944,0.49703233729,0.542877609497,0.222375,0.277375
SVD,0.74876018049,0.63889228969,0.271534723987,0.541563708634,0.20971569267,0.345564940765,0.349467867376,0.383033155956,0.181375,0.197125
SGNSpinit1,0.73508235149,0.684811180258,0.271540146249,0.654374626992,0.0986312107533,0.3789932313,0.582531723291,0.584066721244,0.415625,0.444625
SGNSpinit2,0.751848791937,0.687068355367,0.276179794448,0.662658838123,0.0962765962329,0.386694837698,0.576596397871,0.581099058535,0.42,0.4445
SGNSpinit3,0.741504167161,0.686226976472,0.271645867789,0.654161664614,0.0982948097775,0.381952065352,0.579001227998,0.583196889071,0.414875,0.43775
SGNSsvd,0.745150105848,0.684603085211,0.283797644646,0.671767485255,0.101323297798,0.387615126375,0.582071223905,0.58452722063,0.418,0.442625
SGNSpinit1-rev,0.754960356372,0.681915847004,0.283774654075,0.672297987484,0.097964862711,0.390547948856,0.584373720835,0.588671715104,0.4225,0.44525
SGNSpinit2-rev,0.745424824423,0.667574536251,0.280702046117,0.674413143024,0.0982446969807,0.392760080448,0.593379042161,0.596449038068,0.422,0.446375
SGNSpinit3-rev,0.752993572213,0.680581414078,0.281561309071,0.670670183275,0.0972933676954,0.390331951623,0.586318051576,0.589541547278,0.425125,0.445125
SGNSsvd-rev,0.760416711986,0.676786585295,0.28674669912,0.693321105501,0.101665995758,0.391399383939,0.586778550962,0.58913221449,0.415125,0.44425
