,sgns_rand_pinit2,sgns_rand_pinit2,sgns_rand_pinit1-rev,sgns_rand_pinit2-rev,sgns_svd,sgns_svd,sgns_rand_pinit2-rev,sgns_rand_pinit3,sgns_rand_pinit3,sgns_rand_pinit2,sgns_rand_pinit1,sgns_rand_pinit1,sgns_rand_pinit1-rev,sgns_rand_pinit3-rev,sgns_rand_pinit3,sgns_rand_pinit3,sgns_rand_pinit2,sgns_rand_pinit3,sgns_rand_pinit1,sgns_rand_pinit1,sgns_rand_pinit1,sgns_rand_pinit2,sgns_svd,sgns_svd,sgns_rand_pinit1-rev,sgns_rand_pinit1,sgns_rand_pinit2,sgns_rand_pinit1
,sgns_rand_pinit2-rev,sgns_rand_pinit3,sgns_svd-rev,sgns_svd-rev,sgns_rand_pinit3-rev,sgns_rand_pinit2-rev,sgns_rand_pinit3-rev,sgns_svd,sgns_rand_pinit2-rev,sgns_rand_pinit3-rev,sgns_svd-rev,sgns_rand_pinit3,sgns_rand_pinit3-rev,sgns_svd-rev,sgns_rand_pinit1-rev,sgns_rand_pinit3-rev,sgns_rand_pinit1-rev,sgns_svd-rev,sgns_rand_pinit2,sgns_rand_pinit2-rev,sgns_rand_pinit1-rev,sgns_svd,sgns_rand_pinit1-rev,sgns_svd-rev,sgns_rand_pinit2-rev,sgns_rand_pinit3-rev,sgns_svd-rev,sgns_svd
!,0.044612370993368788,0.0012018806273192961,0.20441550087487725,0.20447132015783553,0.21675116564257091,0.21959908748427159,0.0010721932990878091,0.19407336609045567,0.045173934386305015,0.045779500576481502,0.22182376495283074,0.0016337244573948473,0.0011564881213007583,0.19975067261494339,0.045493959137683726,0.046423349345718901,0.04494259252865751,0.220343053242821,0.0016695918955093036,0.045659071199416479,0.045819268736785546,0.1952295756271174,0.22022930273347852,0.062019584651128556,0.0012069410376509548,0.046616405556720752,0.22145795271637181,0.19504562028970929
"""",0.065628709532504104,0.0021480317637296853,0.18740402730900496,0.18981392130555375,0.2055855598704136,0.20813741106593153,0.0022865554434625679,0.19069971571128674,0.066689864374018804,0.065722969351056593,0.20240038482705758,0.0027904639864670955,0.0027038085283975777,0.18791809709530893,0.067717280223195453,0.067395397656890732,0.06630307861238427,0.20670169923394766,0.0025876361841581375,0.065638113721211644,0.06629926933732877,0.19149911189045621,0.20442027263551465,0.060518440648302252,0.0019732578059681316,0.06543676978305224,0.20614908397130893,0.18896581155838021
"""""",0.061077785996275669,0.0022189287607495833,0.16473998862028194,0.16447541774495156,0.17003782212148666,0.17024847931315767,0.0027093150893262585,0.14885715989835557,0.058145644056493806,0.061587782739175534,0.17320376989846231,0.0025903642204070376,0.0023670703432486784,0.16266353570940162,0.058777412150548436,0.059074490145565983,0.061318144824056287,0.17315050746032057,0.0028590818673849272,0.058811253337629932,0.059060955207063004,0.1512134485583515,0.16925796439106566,0.053982396935083443,0.002361823173652744,0.059145633576821788,0.17604329732300894,0.15029418495306934
""""",",0.051639361864610822,0.0020454934665258273,0.188654692858503,0.18696347431996585,0.20632481668838409,0.20797467246662427,0.0024805687338275151,0.19441138967184601,0.053219541326788966,0.051980379241009178,0.20325921387274193,0.0026441938918984054,0.002626706717039573,0.18479823669033213,0.052992593160233303,0.053609005981109736,0.051504170317298148,0.20154673267466483,0.0024685038588431185,0.053563923387656698,0.053447911712358076,0.19367258399686405,0.20746573855355199,0.069148545776192671,0.0022186271247721656,0.053726777028523909,0.20033731954988709,0.19551228784672459
""""".",0.045133359259936334,0.0013942822754142714,0.18988569586242521,0.18886938717888102,0.21696500765914117,0.21507605726697454,0.0014217415745452211,0.17973960106342091,0.045714526656593923,0.044972023500640113,0.19007500718115955,0.001736451101745029,0.0015376918281841956,0.19148423185212171,0.045792772133525728,0.045720430256822375,0.045118428740661742,0.19113763059004585,0.0014659248200054042,0.045203744282475644,0.045307647663400008,0.18078604157471778,0.2142880534544368,0.075247302486865619,0.0012896687204302371,0.045017004309456987,0.19206032436436016,0.17925411559236382
"""a",0.070011574469590721,0.0017595595543972165,0.13772723450395541,0.138370271408507,0.15059345550903691,0.1525333058230256,0.0019491864419903804,0.13672523935213732,0.070704089207060061,0.067793586669218309,0.15750149469351282,0.0023664865949981628,0.0022497329479767014,0.13600167229611948,0.071126690690720751,0.068763548071711922,0.070291620869817217,0.15982193409309464,0.0023331326661751861,0.069168073342753766,0.069529912398258897,0.13734976145408184,0.15196349181134217,0.058005856290499924,0.001967145088230926,0.067120557692259109,0.15877617336299243,0.13491651694420725
"""all",0.070744788995798058,0.0024088789968603752,0.1677643814076264,0.16749552385104061,0.17823467893492684,0.17954299021554843,0.0021998390356655628,0.1631205360272725,0.068500688947597754,0.069477508563858703,0.20490341681664292,0.0029016231803982162,0.0023684277670084075,0.16566395896125352,0.068321195725790096,0.067119130326022014,0.070738538140481366,0.19960124630074683,0.0026000189616960379,0.072601405131196506,0.072481250385208473,0.16356401145823973,0.17873605309487417,0.072607899703662659,0.0022420230022210941,0.071231499225309913,0.20053947600538746,0.16487347757379278
"""an",0.062655202839859592,0.0018954625692750859,0.16488593067352297,0.165249112568848,0.18052637046498432,0.18012528716633547,0.0024296379278078151,0.1666890766094381,0.062442007816912781,0.063270503186914295,0.18305572530305003,0.002641136470847516,0.0023222112099301473,0.16474946991643857,0.062912387947485326,0.06294602398436222,0.063228582611316253,0.18275700000237893,0.0027168893633194857,0.061378995158964944,0.062496629054634045,0.16754041825717492,0.17903355120143982,0.056853124833595614,0.0023287046039841552,0.061997205574151004,0.18253597568232438,0.16676138278411123
"""best",0.066259226373799107,0.0017344004131760737,0.17135444134354161,0.17154671041648462,0.19182574684329901,0.1923803837123006,0.0020474103237165808,0.18245527223625568,0.064973354691776897,0.064257669314779942,0.19142609009971467,0.002115683743705854,0.0025399794030273037,0.17012263299687225,0.063559623823426392,0.062765163250752098,0.06513793124449796,0.19233324834616905,0.002548642636468812,0.065192875612846812,0.064243576688909787,0.18310528962027528,0.1916504568053119,0.06488629784366573,0.0024485687285344948,0.062663489096051239,0.19285463292783012,0.18158701122924825
