iraq	ottoman	ottoman
thailand	thailand	thailand
china	cyprus	eurovision
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	borough	borough
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	eurovision
iran	iran	iran
japan	japan	japan
thailand	thailand	thailand
china	china	china
germany	leipzig	leipzig
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	brisbane	brisbane
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	kuwait	gallery
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	roman	italy
sweden	sweden	sweden
iran	iran	iran
japan	osaka	osaka
greece	greece	greece
china	china	china
germany	leipzig	der
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	borough	borough
spain	atltico	spain
russia	russian	russia
norway	norway	norway
canada	canada	canada
france	du	du
italy	bologna	basilica
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	paralympics	paralympics
iraq	iraq	iraq
germany	leipzig	leipzig
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	taiwan	taiwan
spain	atltico	atltico
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	du	du
italy	taiwan	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	asia	asia
iraq	iraq	iraq
thailand	thailand	thailand
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	conquered
thailand	thailand	thailand
china	paralympics	paralympics
egypt	egypt	egypt
australia	sydney	australia
vietnam	netherlands	netherlands
cuba	germany	germany
finland	finland	finland
pakistan	netherlands	netherlands
afghanistan	netherlands	netherlands
england	germany	germany
spain	spain	spain
russia	russia	belarus
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	italy	italy
iraq	swiss	swiss
thailand	thailand	thailand
china	olympics	olympics
germany	germany	germany
australia	sydney	melbourne
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	borough	borough
spain	atltico	atltico
russia	russian	russian
norway	norway	norway
canada	calgary	canada
france	du	des
italy	pius	pius
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	paralympics	paralympics
germany	leipzig	germany
switzerland	!align="right	!align="right
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	south	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	paralympics	paralympics
iraq	turks	turks
thailand	thailand	thailand
china	china	china
germany	leipzig	leipzig
switzerland	!align="right	!align="right
egypt	egypt	egypt
cuba	cuba	cuba
finland	laos	johan
pakistan	laos	laos
afghanistan	laos	laos
england	thailand	kong
spain	laos	atltico
russia	russian	vladimir
norway	thailand	norway
canada	calgary	calgary
france	du	des
italy	laos	bologna
sweden	sweden	sweden
iran	iran	iran
japan	thailand	thailand
greece	laos	asia
iraq	iraqi	iraqi
thailand	thailand	thailand
china	china	china
germany	dresden	dresden
switzerland	laos	laos
egypt	laos	laos
australia	cambodia	cambodia
finland	finnish	finnish
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	caribbean	caribbean
spain	colombia	colombia
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	du	du
italy	roman	roman
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	paralympics	paralympics
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	leipzig	leipzig
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	gallery	gallery
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	wales
vietnam	!align="right	!align="right
cuba	cuba	cuba
afghanistan	punjab	punjab
england	punjab	punjab
spain	punjab	punjab
russia	russian	russian
norway	punjab	punjab
canada	punjab	punjab
france	punjab	punjab
italy	punjab	punjab
sweden	punjab	punjab
iran	iran	iran
japan	punjab	punjab
greece	punjab	punjab
iraq	afghanistan	afghanistan
thailand	thailand	thailand
china	punjab	punjab
germany	punjab	punjab
switzerland	punjab	punjab
egypt	punjab	punjab
australia	punjab	punjab
vietnam	punjab	punjab
cuba	pakistani	pakistani
finland	pakistani	pakistani
england	pakistan	afghan
spain	afghan	afghan
russia	russian	russian
norway	pakistan	pakistan
canada	afghan	afghan
france	du	du
italy	pakistan	pakistan
sweden	pakistan	afghan
iran	iran	iran
japan	japan	japan
greece	iraq	iraq
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	leipzig	leipzig
switzerland	pakistan	pakistan
egypt	egypt	egypt
