model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.669037280386,0.623886762043,0.223628028239,0.639988152771,0.00518756793502,0.303476164038,0.441260744986,0.474979533361,0.189875,0.220375
SVD,0.730906342237,0.61601751022,0.277393842453,0.54495748049,0.146016512584,0.34145755264,0.331559557921,0.36481784691,0.174125,0.184875
SGNSpinit1,0.688165726754,0.639140061362,0.259068206295,0.644557154451,0.036045424799,0.328670681913,0.44474007368,0.428827261564,0.32025,0.317625
SGNSpinit2,0.692927037201,0.642308355921,0.258985975186,0.641438866236,0.0416155874398,0.329260851474,0.442693409742,0.429492427343,0.31975,0.316625
SGNSpinit3,0.682729455004,0.633882567125,0.258713257528,0.647530252528,0.0478251144734,0.33132155519,0.446786737618,0.429799426934,0.32325,0.318125
SGNSsvd,0.693821486451,0.650305206377,0.26715895706,0.635601308858,0.0427113090972,0.332889571287,0.452824396234,0.441925910765,0.319,0.322125
SGNSpinit1-rev,0.708072422871,0.647337882929,0.248754571735,0.599745690214,0.0397004815701,0.330163374886,0.448168235776,0.434711420385,0.320125,0.31675
SGNSpinit2-rev,0.690481109418,0.63598264024,0.251373305453,0.611450502952,0.0333722342154,0.324194125587,0.448117069177,0.434097421203,0.32675,0.323
SGNSpinit3-rev,0.697038491175,0.640381132959,0.251683777786,0.610635458307,0.0378866453669,0.331651006597,0.45261972984,0.434353254196,0.3255,0.322125
SGNSsvd-rev,0.691941493279,0.633707842242,0.263900011417,0.627765356436,0.0357291933712,0.323893158068,0.466997544003,0.451698731068,0.332,0.329
