rougher	finer	finer
rough	!align="right	!align="right
roughest	worst	worst
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	surpass	surpass
mean	!align="right	!align="right
meanest	hottest	hottest
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heavy	heavy
mightier	sentai	unreal
mighty	!align="right	!align="right
mightiest	funniest	funniest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	harsher	harsher
noisy	!align="right	!align="right
noisiest	funniest	trois
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	better
bad	worst	unpredictable
worst	worst	worst
bad	poor	poor
worse	worse	worse
worst	worst	worst
sadder	deeper	worthless
sad	!align="right	!align="right
saddest	biggest	biggest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	smaller	non-human
wild	allen	lee
wildest	lowest	rarest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	second-highest	pearce
stricter	stricter	stricter
strict	strict	strict
strictest	lowest	seniority
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	second-highest	second-highest
narrower	smaller	smaller
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	wide	wide
narrower	lower	larger
narrowest	narrow	narrow
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	mid-to-late
early	previous	previous
earliest	late	late
early	extant	extant
earlier	larger	larger
earliest	previous	previous
fatter	carbohydrate	carbohydrate
fat	!align="right	!align="right
fattest	hottest	hottest
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	broader	broader
full	scott	scott
fullest	biggest	highest-grossing
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	famous	famous
costlier	larger	larger
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	slow	slow
toughest	toughest	toughest
tough	high	thrilling
tougher	upper	upper
toughest	highest	fuego
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	highest	highest
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	short	short
shorter	upper	shorter
shortest	longest	longest
softer	upper	upper
soft	soft	soft
softest	highest	mtro
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	highest	quickest
older	upper	upper
old	old	old
oldest	older	older
old	earliest	earliest
older	upper	upper
oldest	oldest	oldest
richer	richer	richer
rich	vast	vast
richest	richest	richest
rich	small	small
richer	smaller	richer
richest	richest	richest
weaker	weaker	weaker
weak	weak	weak
weakest	strongest	strongest
weak	small	certain
weaker	smaller	weaker
weakest	strongest	strongest
prettier	happier	happier
pretty	!align="right	!align="right
prettiest	world's	highest-rated
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	cooler	hotter
cool	warm	warm
coolest	hottest	hottest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	second-largest	hottest
luckier	smarter	smarter
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	ultraviolet	ultraviolet
light	dark	dark
lightest	largest	tallest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	short	short
shorter	younger	shorter
shortest	longest	longest
fewer	handful	handful
few	hundreds	oxen
fewest	handful	handful
few	season-high	season-high
fewer	21.1	21.1
fewest	largest	largest
sharper	younger	younger
sharp	deliberations	deliberations
sharpest	youngest	youngest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	largest	largest
taller	younger	younger
tall	tall	tall
tallest	tallest	tallest
tall	taller	taller
taller	younger	taller
tallest	tallest	tallest
smoother	faster	faster
smooth	rough	rough
smoothest	dimensions	dimensions
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	easiest	easiest
nicer	shorter	shorter
