rougher	poorly	poorly
rough	!align="right	!align="right
roughest	worst	worst
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	suggest	suggest
mean	!align="right	!align="right
meanest	worst	revitalize
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heavy	heavy
mightier	bigger	slaying
mighty	!align="right	!align="right
mightiest	strongest	strongest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	quieter	quieter
noisy	!align="right	!align="right
noisiest	finest	finest
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	better	better
bad	worst	valet
worst	worst	worst
bad	elementary	rough
worse	worse	worse
worst	worst	worst
sadder	distortion	distortion
sad	!align="right	!align="right
saddest	biggest	biggest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	animals	animals
wild	warren	warren
wildest	lowest	strongest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	second-highest	alabama's
stricter	stricter	stricter
strict	strict	strict
strictest	lowest	stricter
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	second-highest	second-highest
narrower	smaller	smaller
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	lower	larger
narrowest	narrow	narrow
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	mid-to-late
early	previous	previous
earliest	late	mid-to-late
early	extant	extant
earlier	larger	larger
earliest	previous	previous
fatter	carbohydrate	carbohydrate
fat	!align="right	!align="right
fattest	blood	blood
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	higher	higher
full	chappell	chappell
fullest	maximum	maximum
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	finest	witherspoon
costlier	less	less
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	stressful	stressful
toughest	toughest	toughest
tough	steep	such
tougher	upper	upper
toughest	second-highest	transatlantic
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	highest	highest
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	shorter
short	short	short
shortest	shortest	shortest
short	short	short
shorter	upper	upper
shortest	shortest	shortest
softer	upper	upper
soft	thin	thin
softest	fruits	madonna's
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	highest	baked
older	upper	upper
old	old	old
oldest	older	oldest
old	earliest	earliest
older	upper	upper
oldest	younger	oldest
richer	richer	richer
rich	huge	rich
richest	richest	richest
rich	small	small
richer	smaller	smaller
richest	biggest	richest
weaker	stronger	stronger
weak	strong	strong
weakest	strongest	strongest
weak	weak	weak
weaker	weaker	weaker
weakest	biggest	strongest
prettier	darker	darker
pretty	!align="right	!align="right
prettiest	biggest	world's
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	cooler	cooler
cool	warm	warm
coolest	hottest	hottest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	biggest	coldest
luckier	smarter	smarter
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	ultraviolet	ultraviolet
light	heavy	heavy
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	short	short
shorter	younger	silently
shortest	longest	longest
fewer	handful	handful
few	plenty	plenty
fewest	earliest	earliest
few	season-high	616
fewer	season-high	season-high
fewest	largest	largest
sharper	younger	younger
sharp	scoreboard	scoreboard
sharpest	largest	largest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	largest	largest
taller	younger	younger
tall	tall	tall
tallest	tallest	tallest
tall	tall	tall
taller	younger	younger
tallest	largest	tallest
smoother	smoother	smoother
smooth	smooth	rough
smoothest	differentiable	differentiable
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	highest	highest
