rougher	denser	denser
rough	!align="right	!align="right
roughest	worst	worst
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	suggest	suggest
mean	!align="right	!align="right
meanest	sexiest	sexiest
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	stronger	stronger
heaviest	heavy	greatest
mightier	trolls	trolls
mighty	!align="right	!align="right
mightiest	funniest	funniest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	easier	easier
noisy	!align="right	!align="right
noisiest	worst	worst
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	good	good
bad	unpredictable	unpredictable
worst	lowest	worst
bad	elementary	poor
worse	worse	worse
worst	worst	worst
sadder	selim	selim
sad	!align="right	!align="right
saddest	second-highest	second-highest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	animals	non-human
wild	lee	lee
wildest	second-highest	hottest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	second-highest	second-highest
stricter	stricter	stricter
strict	strict	strict
strictest	lowest	lowest
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	second-highest	second-highest
narrower	wider	wider
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	elementary	elementary
narrower	lower	larger
narrowest	second-highest	narrowest
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	mid-to-late
early	previous	previous
earliest	late	late
early	extant	extant
earlier	larger	larger
earliest	previous	previous
fatter	carbohydrate	carbohydrate
fat	!align="right	!align="right
fattest	volume	volume
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	higher	equal
full	horton	horton
fullest	maximum	maximum
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	chappell	chappell
costlier	larger	less
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	tougher
tough	cumbersome	cumbersome
toughest	toughest	toughest
tough	steep	steep
tougher	upper	upper
toughest	second-highest	shakur
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	highest	kind
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	shorter	shorter
short	short	short
shortest	shortest	longest
short	short	short
shorter	upper	shorter
shortest	shortest	shortest
softer	upper	upper
soft	soft	soft
softest	highest	creamy
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	highest	quickest
older	upper	upper
old	old	ageing
oldest	older	older
old	earliest	high-quality
older	upper	upper
oldest	oldest	oldest
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	small	rich
richer	smaller	bigger
richest	biggest	richest
weaker	weaker	weaker
weak	strong	strong
weakest	strongest	strongest
weak	small	certain
weaker	smaller	weaker
weakest	strongest	strongest
prettier	really	really
pretty	!align="right	!align="right
prettiest	oldest	most-watched
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	warmer	hotter
cool	warm	warm
coolest	hottest	hottest
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	biggest	hottest
luckier	shorter	smarter
lucky	!align="right	!align="right
luckiest	biggest	biggest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	younger	reddish-brown
light	heavy	heavy
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	short	endless
shorter	younger	shorter
shortest	longest	longest
fewer	handful	handful
few	additional	additional
fewest	earliest	earliest
few	season-high	26.9
fewer	younger	21.1
fewest	largest	largest
sharper	younger	younger
sharp	fenders	motifs
sharpest	largest	largest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	largest	largest
taller	younger	younger
tall	tall	tall
tallest	tallest	tallest
tall	taller	taller
taller	younger	taller
tallest	largest	tallest
smoother	faster	faster
smooth	rough	rough
smoothest	differentiable	differentiable
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	quickest	quickest
