rougher	riders	riders
rough	!align="right	!align="right
roughest	nominated	nominated
rough	!align="right	!align="right
rougher	!align="right	colspan=3|total
roughest	!align="right	!align="right
meaner	probability	probability
mean	!align="right	!align="right
meanest	nominated	nominated
mean	!align="right	!align="right
meaner	!align="right	colspan=3|total
meanest	!align="right	!align="right
heavier	heaviest	heavier
heavy	lighter	isotopes
heaviest	awards	awards
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	nominations	nominations
mightier	ducks	ducks
mighty	!align="right	!align="right
mightiest	nominated	bafta
mighty	!align="right	!align="right
mightier	!align="right	colspan=3|total
mightiest	!align="right	!align="right
noisier	than	than
noisy	!align="right	!align="right
noisiest	awards	awards
noisy	!align="right	!align="right
noisier	!align="right	colspan=3|total
noisiest	!align="right	!align="right
worse	good	worse
bad	school	elementary
worst	good	good
bad	school	schools
worse	affected	worse
worst	worst	worst
sadder	novi	novi
sad	!align="right	!align="right
saddest	novi	novi
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	boar	boar
wild	school	school
wildest	boar	boar
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	peaks	mount
stricter	regulations	regulations
strict	!align="right	!align="right
strictest	regulations	regulations
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	narrower	narrower
narrow	school	school
narrowest	narrower	narrower
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	narrow	narrow
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	late	late
early	later	later
earliest	late	late
early	extant	extant
earlier	extant	extant
earliest	one	one
fatter	fats	fats
fat	!align="right	!align="right
fattest	fats	fats
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	within	within
full	alongside	alongside
fullest	regarded	regarded
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	achievements	contributors
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	upper
tough	!align="right	!align="right
toughest	he's	he's
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
gentler	upper	upward
gentle	!align="right	!align="right
gentlest	quiet	dip
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	upper
short	relatively	relatively
shortest	fiction	fiction
short	vertex	vertex
shorter	vertex	vertex
shortest	descending	descending
softer	upper	upper
soft	harder	heavier
softest	tissue	tissue
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	harder	melodic
older	upper	upper
old	age	household
oldest	demolished	demolished
old	dating	surviving
older	upper	dating
oldest	age	65
richer	much	softer
rich	vast	molten
richest	world's	world's
rich	vast	vast
richer	smaller	slightly
richest	world's	world's
weaker	stronger	stronger
weak	gaps	gaps
weakest	world's	world's
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	world's	world's
prettier	thing	isn't
pretty	!align="right	!align="right
prettiest	thats	thats
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	warm	cooler
cool	temperatures	temperatures
coolest	kppen	kppen
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	warmer	temperatures
luckier	than	closer
lucky	!align="right	!align="right
luckiest	world's	loser
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	65	65
light	heavier	heavier
lightest	uv	uv
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	heavier	2.4
shorter	65	65
short	length	1.5
shortest	fiction	fiction
short	vertices	vertices
shorter	45	45
shortest	longer	2.4
fewer	45	45
few	5,000	1.3
fewest	one	one
few	shutouts	shutouts
fewer	44	44
fewest	5,000	2.4
sharper	65	65
sharp	!align="right	!align="right
sharpest	blunt	blunt
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
taller	65	65
tall	tall	1.5
tallest	height	height
tall	skyscraper	tower
taller	65	45
tallest	tallest	1.5
smoother	slightly	slightly
smooth	!align="right	!align="right
smoothest	projective	dimension
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
nicer	marseille	ligue
nice	!align="right	!align="right
nicest	ligue	ligue
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	slightly	slightly
broad	invertebrates	mollusks
broadest	inches	inches
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	wingspan	wingspan
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	than	than
great	pulmonate	pulmonate
greatest	cubic	cubic
great	large	mainly
greater	among	among
greatest	strength	enhances
wilder	boar	boar
wild	thornton	thornton
wildest	!align="right	!align="right
wild	easier	easier
wilder	easy	difficult
wildest	!align="right	!align="right
smoother	convex	convex
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	easier	easier
smoother	easy	difficult
smoothest	!align="right	!align="right
mightier	ducks	ducks
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	easier	easier
mightier	easy	difficult
mightiest	!align="right	!align="right
leaner	implementing	implementing
lean	!align="right	!align="right
leanest	!align="right	colspan=3|total
lean	easier	easier
leaner	easy	difficult
leanest	!align="right	!align="right
cleaner	pad	pad
clean	exhaust	exhaust
cleanest	!align="right	!align="right
clean	easier	easier
cleaner	easy	difficult
cleanest	!align="right	!align="right
narrower	narrower	narrower
narrow	late	late
narrowest	broad	broad
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	narrow	narrow
colder	winters	winters
cold	cooler	warm
coldest	winters	winters
cold	!align="right	!align="right
colder	!align="right	!align="right
coldest	cold	cold
noisier	inefficient	inefficient
noisy	!align="right	!align="right
noisiest	extant	extant
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
deeper	depths	depths
deep	late	mid
deepest	deeper	deeper
deep	late	late
deeper	deep	deep
deepest	depths	caves
taller	height	height
tall	late	mid
tallest	height	herb
