iraq	ottoman	ottoman
thailand	thailand	thailand
china	serbia	serbia
germany	switzerland	switzerland
switzerland	switzerland	switzerland
egypt	palestine	colombia
australia	macedonia	macedonia
vietnam	federations	federations
cuba	colombia	colombia
finland	latvia	latvia
pakistan	pakistan	pakistan
afghanistan	afghanistan	balochistan
england	england	marylebone
spain	castillo	castillo
russia	russia	russia
norway	norway	mongolian
canada	ontario	ontario
france	colombia	colombia
italy	italy	italy
sweden	sweden	sweden
iran	syria	syria
japan	serbia	serbia
thailand	thailand	thailand
china	china	china
germany	dresden	jerzy
switzerland	ayr	ayr
egypt	uzbekistan	uzbekistan
australia	sydney	paterson
vietnam	macmillan	macmillan
cuba	cuba	cuba
finland	norway	norway
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	uk	uk
spain	zaragoza	zaragoza
russia	serbs	serbs
norway	norway	norway
canada	canada's	canada's
france	pour	pour
italy	venice	venice
sweden	norway	norway
iran	iran	iran
japan	japan	japan
greece	greece	greece
china	china	china
germany	switzerland	switzerland
switzerland	switzerland	switzerland
egypt	uzbekistan	uzbekistan
australia	sydney	sydney
vietnam	vietnam	vietnam
cuba	cuba	argentina
finland	sweden	sweden
pakistan	sulawesi	sulawesi
afghanistan	afghanistan	afghanistan
england	greenwich	greenwich
spain	argentina	argentina
russia	kyiv	kyiv
norway	norway	norway
canada	calgary	calgary
france	french	french
italy	pavia	pavia
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	saddam	saddam
germany	germany	germany
switzerland	swiss	swiss
egypt	egypt	egypt
australia	brisbane	brisbane
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	yunnan	sweden
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	england	england
spain	colombian	colombian
russia	ukraine	ukraine
norway	yunnan	responsible
canada	canada	canada
france	france	france
italy	mainland	mainland
sweden	sweden	sweden
iran	abbas	abbas
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
switzerland	baden-wrttemberg	baden-wrttemberg
egypt	islamic	aborigines
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	honduras
finland	finland	finland
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	england	england
spain	gregorio	honduras
