model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.722320490167,0.686230972232,0.247059625881,0.662704697038,0.181609017993,0.342220742691,0.502507163324,0.589950880065,0.248875,0.335
SVD,0.72315970879,0.632265868478,0.258560288085,0.530977523953,0.274816045466,0.328287598607,0.331508391322,0.360622185837,0.18475,0.19375
SGNSpinit1,0.763406338672,0.679299473597,0.285737544301,0.696806682829,0.229505596036,0.419407705647,0.692079410561,0.712443716742,0.5,0.5445
SGNSpinit2,0.760334941966,0.680662402421,0.285070168675,0.703010005311,0.228063933857,0.419718043308,0.691363078183,0.713876381498,0.5015,0.54825
SGNSpinit3,0.759382392964,0.681639136833,0.285950560733,0.702166785978,0.22708524445,0.418084442037,0.690390912812,0.711573884568,0.5025,0.547
SGNSsvd,0.762562099082,0.690044676964,0.28575034829,0.69502201241,0.228686333701,0.416153099082,0.690902578797,0.712136717151,0.503625,0.546625
SGNSpinit1-rev,0.760707928021,0.682195931689,0.281301834308,0.688545823949,0.231827164891,0.418679413864,0.690390912812,0.712443716742,0.49975,0.548875
SGNSpinit2-rev,0.759688671898,0.680200093964,0.281772774411,0.693574426662,0.233565318463,0.420443669053,0.693358575522,0.715053213262,0.501,0.545875
SGNSpinit3-rev,0.752861592532,0.675730362325,0.279860809354,0.690607421609,0.231807276369,0.420117985123,0.688548915268,0.712443716742,0.500875,0.545
SGNSsvd-rev,0.766023696584,0.683250279929,0.286945286864,0.698383721275,0.22771003165,0.419745738809,0.693972574703,0.715564879247,0.5055,0.548625
