,sgns_rand_pinit3,sgns_rand_pinit2,sgns_rand_pinit2
,sgns_rand_pinit4,sgns_rand_pinit3,sgns_rand_pinit4
,,,
1080,1,1,1
1086,1.0000000000000004,1.0000002384185791,1.0000002384185791
109,0.99999999999999978,0.99999994039535522,0.99999994039535522
10:00,0.99999999999999989,1,1
10km,0.99999999999999978,1.0000001192092896,1.0000001192092896
10m,1.0000000000000004,0.9999997615814209,0.9999997615814209
10mm,0.99999999999999956,0.99999982118606567,0.99999982118606567
10pm,0.99999999999999989,1.0000001192092896,1.0000001192092896
10th,0.99999999999999967,1.0000001192092896,1.0000001192092896
11,1.0000000000000004,1,1
"11,000",1.0000000000000007,1,1
11.0,1.0000000000000002,1.0000001192092896,1.0000001192092896
11.1,1.0000000000000007,0.99999988079071045,0.99999988079071045
11.2,1.0000000000000002,1.0000001192092896,1.0000001192092896
11.3,0.99999999999999978,0.99999994039535522,0.99999994039535522
11.4,1.0000000000000002,1,1
11.5,0.99999999999999978,1,1
11.6,0.99999999999999989,0.99999970197677612,0.99999970197677612
11.7,0.99999999999999944,1,1
11.8,1.0000000000000004,0.99999994039535522,0.99999994039535522
11.9,1,0.99999994039535522,0.99999994039535522
110,1,1,1
"110,000",1,1.0000001192092896,1.0000001192092896
1100,0.99999999999999978,1,1
110th,1.0000000000000002,1,1
111,1,1.0000001192092896,1.0000001192092896
111th,1,0.99999988079071045,0.99999988079071045
112,1,1.0000001192092896,1.0000001192092896
113,1,1.0000001192092896,1.0000001192092896
1130,0.99999999999999989,0.99999970197677612,0.99999970197677612
113th,1.0000000000000002,0.99999988079071045,0.99999988079071045
114,1.0000000000000004,1.0000003576278687,1.0000003576278687
115,0.99999999999999978,0.99999982118606567,0.99999982118606567
1150,0.99999999999999989,1,1
116,1,1.0000002384185791,1.0000002384185791
117,1.0000000000000004,1,1
118,1.0000000000000002,0.99999994039535522,0.99999994039535522
1180,0.99999999999999978,0.99999988079071045,0.99999988079071045
119,1.0000000000000004,0.99999988079071045,0.99999988079071045
11:00,0.99999999999999956,0.9999997615814209,0.9999997615814209
11km,1.0000000000000004,1.0000002384185791,1.0000002384185791
11th,0.99999999999999933,1.0000001192092896,1.0000001192092896
12,0.99999999999999944,1.0000002384185791,1.0000002384185791
"12,000",1,1.0000001192092896,1.0000001192092896
12-inch,1,0.99999994039535522,0.99999994039535522
12-month,0.99999999999999944,1.0000002384185791,1.0000002384185791
12-year,1,1,1
12-year-old,0.99999999999999978,0.99999988079071045,0.99999988079071045
12.0,1.0000000000000002,0.99999994039535522,0.99999994039535522
12.1,0.99999999999999956,1,1
12.2,1.0000000000000002,0.99999988079071045,0.99999988079071045
12.3,0.99999999999999978,1.0000001192092896,1.0000001192092896
12.4,0.99999999999999978,0.99999994039535522,0.99999994039535522
12.5,0.99999999999999967,1,1
12.6,0.99999999999999989,0.99999994039535522,0.99999994039535522
12.7,1.0000000000000004,1,1
12.8,0.99999999999999978,1,1
12.9,0.99999999999999989,1,1
120,1,1.0000002384185791,1.0000002384185791
"120,000",0.99999999999999978,1,1
1200,1,0.99999988079071045,0.99999988079071045
1204,1.0000000000000004,0.99999988079071045,0.99999988079071045
120mm,0.99999999999999944,1,1
121,0.99999999999999978,0.99999994039535522,0.99999994039535522
1210,1.0000000000000004,1,1
1215,1.0000000000000002,1.0000001192092896,1.0000001192092896
122,1,1,1
1220,0.99999999999999978,1,1
123,1,0.99999994039535522,0.99999994039535522
1230,0.99999999999999978,1,1
124,1,1,1
1240,1.0000000000000002,1,1
125,0.99999999999999956,1.0000001192092896,1.0000001192092896
"125,000",1.0000000000000004,1,1
1250,0.99999999999999978,1,1
125th,0.99999999999999956,1,1
126,1.0000000000000002,0.9999997615814209,0.9999997615814209
1260,0.99999999999999989,0.99999988079071045,0.99999988079071045
127,0.99999999999999967,1.0000001192092896,1.0000001192092896
128,1.0000000000000004,0.99999988079071045,0.99999988079071045
129,1,0.99999994039535522,0.99999994039535522
1290,1.0000000000000002,1,1
1295,0.99999999999999989,0.99999994039535522,0.99999994039535522
12:00,0.99999999999999967,1.0000001192092896,1.0000001192092896
12km,0.99999999999999989,1.0000001192092896,1.0000001192092896
12th,0.99999999999999978,1,1
12th-century,1.0000000000000004,0.99999994039535522,0.99999994039535522
13,0.99999999999999978,0.99999994039535522,0.99999994039535522
"13,000",0.99999999999999956,1,1
13-year-old,1.0000000000000004,1,1
13.0,0.99999999999999978,1.0000002384185791,1.0000002384185791
13.1,1,1.0000001192092896,1.0000001192092896
13.2,1.0000000000000007,0.99999982118606567,0.99999982118606567
13.3,1,0.9999997615814209,0.9999997615814209
13.4,1.0000000000000004,1,1
13.5,1.0000000000000002,0.99999988079071045,0.99999988079071045
13.6,1.0000000000000007,0.99999994039535522,0.99999994039535522
13.7,1,0.99999988079071045,0.99999988079071045
13.8,1.0000000000000002,0.99999988079071045,0.99999988079071045
13.9,0.99999999999999989,1.0000002384185791,1.0000002384185791
130,1,1.0000001192092896,1.0000001192092896
"130,000",0.99999999999999933,0.99999982118606567,0.99999982118606567
1300,0.99999999999999978,1.0000001192092896,1.0000001192092896
131,1.0000000000000004,0.99999994039535522,0.99999994039535522
1310,0.99999999999999978,0.99999994039535522,0.99999994039535522
1314,0.99999999999999967,0.99999994039535522,0.99999994039535522
1315,0.99999999999999933,1,1
132,1.0000000000000002,1,1
1320,0.99999999999999978,1,1
133,0.99999999999999989,1,1
1330,1.0000000000000002,1,1
134,0.99999999999999922,1.0000002384185791,1.0000002384185791
1340,1.0000000000000002,0.99999994039535522,0.99999994039535522
135,1.0000000000000002,0.99999970197677612,0.99999970197677612
1350,1,1,1
136,1.0000000000000002,1.0000002384185791,1.0000002384185791
137,1.0000000000000002,1,1
138,0.99999999999999978,1,1
1380,1,1,1
139,1,0.99999994039535522,0.99999994039535522
13km,1,0.99999988079071045,0.99999988079071045
13th,1.0000000000000007,0.99999988079071045,0.99999988079071045
13th-century,0.99999999999999978,1.0000001192092896,1.0000001192092896
14,1,1,1
"14,000",0.99999999999999956,1,1
14-year-old,0.99999999999999956,0.99999994039535522,0.99999994039535522
14.0,0.99999999999999944,1,1
14.1,0.99999999999999956,1,1
14.2,0.99999999999999933,1,1
14.3,0.99999999999999978,1.0000001192092896,1.0000001192092896
14.4,1,0.99999982118606567,0.99999982118606567
14.5,0.99999999999999989,1.0000002384185791,1.0000002384185791
14.6,0.99999999999999944,1,1
14.7,0.99999999999999989,1,1
14.8,0.99999999999999967,1,1
14.9,1.0000000000000004,1.0000002384185791,1.0000002384185791
140,1.0000000000000002,0.99999994039535522,0.99999994039535522
"140,000",1.0000000000000002,0.99999982118606567,0.99999982118606567
1400,0.99999999999999956,1.0000001192092896,1.0000001192092896
141,0.99999999999999967,0.99999994039535522,0.99999994039535522
1410,1,0.99999988079071045,0.99999988079071045
1415,0.99999999999999978,1.0000001192092896,1.0000001192092896
142,0.99999999999999933,1.0000001192092896,1.0000001192092896
1420,1.0000000000000002,0.99999982118606567,0.99999982118606567
143,0.99999999999999911,1.0000001192092896,1.0000001192092896
1430,0.99999999999999978,1,1
144,1,1.0000001192092896,1.0000001192092896
1440,0.99999999999999956,1,1
145,0.99999999999999967,1.0000001192092896,1.0000001192092896
1450,1.0000000000000004,1,1
1453,1,1,1
146,1,1.0000002384185791,1.0000002384185791
1460,0.99999999999999956,1,1
147,1.0000000000000002,0.99999988079071045,0.99999988079071045
1470,1.0000000000000002,1,1
148,0.99999999999999967,0.9999997615814209,0.9999997615814209
1480,0.99999999999999956,1,1
1485,0.99999999999999978,0.99999994039535522,0.99999994039535522
149,0.99999999999999944,1.0000001192092896,1.0000001192092896
1490,1.0000000000000004,0.99999994039535522,0.99999994039535522
1492,0.99999999999999989,0.99999994039535522,0.99999994039535522
1493,1.0000000000000013,1.0000001192092896,1.0000001192092896
1495,1.0000000000000002,1.0000001192092896,1.0000001192092896
14th,1.0000000000000004,1,1
14th-century,1,0.99999994039535522,0.99999994039535522
15,0.99999999999999967,1.0000002384185791,1.0000002384185791
"15,000",0.99999999999999978,1.0000002384185791,1.0000002384185791
15-minute,1.0000000000000002,0.99999988079071045,0.99999988079071045
15-year,1.0000000000000002,0.99999994039535522,0.99999994039535522
15-year-old,1,1,1
15.0,1,1.0000002384185791,1.0000002384185791
15.1,1.0000000000000002,1.0000002384185791,1.0000002384185791
15.2,0.99999999999999956,0.99999988079071045,0.99999988079071045
15.3,0.99999999999999933,1.0000001192092896,1.0000001192092896
15.4,1,1,1
15.5,1.0000000000000004,0.99999994039535522,0.99999994039535522
15.6,1,1,1
15.7,0.99999999999999944,1,1
15.8,1.0000000000000004,0.99999988079071045,0.99999988079071045
15.9,1.0000000000000004,1,1
150,1.0000000000000009,1.0000001192092896,1.0000001192092896
"150,000",1,1,1
1500,1,1,1
1500m,1.0000000000000004,0.99999988079071045,0.99999988079071045
1501,1.0000000000000002,0.99999988079071045,0.99999988079071045
1503,1.0000000000000002,0.99999982118606567,0.99999982118606567
1505,1,1,1
1508,1.0000000000000002,0.9999997615814209,0.9999997615814209
1509,1.0000000000000002,1.0000002384185791,1.0000002384185791
150th,0.99999999999999989,1,1
151,1,0.99999988079071045,0.99999988079071045
1510,1,1.0000001192092896,1.0000001192092896
1511,0.99999999999999989,0.9999997615814209,0.9999997615814209
1512,1.0000000000000002,0.99999988079071045,0.99999988079071045
1513,1.0000000000000002,0.99999994039535522,0.99999994039535522
1514,1.0000000000000002,1.0000001192092896,1.0000001192092896
1515,0.99999999999999956,0.99999988079071045,0.99999988079071045
1516,1.0000000000000007,1,1
1517,1.0000000000000002,1.0000001192092896,1.0000001192092896
1518,0.99999999999999978,0.99999988079071045,0.99999988079071045
1519,1.0000000000000004,0.99999988079071045,0.99999988079071045
152,1.0000000000000004,0.99999988079071045,0.99999988079071045
1520,0.99999999999999989,0.99999994039535522,0.99999994039535522
1521,0.99999999999999989,0.99999988079071045,0.99999988079071045
1522,0.99999999999999978,1,1
1523,1,1,1
1524,0.99999999999999978,0.9999997615814209,0.9999997615814209
1525,0.99999999999999933,1,1
1526,1,1,1
1527,1.0000000000000004,1,1
1528,1,0.99999994039535522,0.99999994039535522
1529,0.99999999999999989,1.0000001192092896,1.0000001192092896
153,1.0000000000000007,0.99999988079071045,0.99999988079071045
1530,1,0.99999988079071045,0.99999988079071045
1531,1,0.99999994039535522,0.99999994039535522
1532,0.99999999999999978,0.99999988079071045,0.99999988079071045
1533,1.0000000000000004,0.99999982118606567,0.99999982118606567
1534,0.99999999999999956,0.99999988079071045,0.99999988079071045
1535,1,1,1
1536,1,1.0000002384185791,1.0000002384185791
1537,1,1,1
1538,0.99999999999999944,1,1
1539,1.0000000000000004,0.99999994039535522,0.99999994039535522
154,0.99999999999999989,1,1
1540,0.99999999999999989,0.99999994039535522,0.99999994039535522
1541,0.99999999999999967,1,1
1542,1,1,1
1543,1,1,1
1544,0.99999999999999978,1,1
1545,0.99999999999999956,0.99999988079071045,0.99999988079071045
1546,1.0000000000000004,1.0000002384185791,1.0000002384185791
1547,1,0.99999994039535522,0.99999994039535522
1548,0.99999999999999989,0.99999988079071045,0.99999988079071045
1549,1.0000000000000002,1.0000001192092896,1.0000001192092896
155,1.0000000000000004,0.99999994039535522,0.99999994039535522
1550,1,1,1
1551,0.99999999999999989,1,1
1552,1.0000000000000004,0.99999994039535522,0.99999994039535522
1553,1,1.0000001192092896,1.0000001192092896
1554,1.0000000000000002,1,1
1555,1.0000000000000002,1.0000001192092896,1.0000001192092896
1556,1.0000000000000002,0.99999988079071045,0.99999988079071045
1557,0.99999999999999989,0.99999994039535522,0.99999994039535522
1558,1.0000000000000002,0.99999994039535522,0.99999994039535522
1559,1,1.0000002384185791,1.0000002384185791
156,1.0000000000000002,1.0000001192092896,1.0000001192092896
1560,1,0.99999982118606567,0.99999982118606567
1561,1.0000000000000004,1.0000001192092896,1.0000001192092896
1562,1.0000000000000004,1.0000001192092896,1.0000001192092896
1563,1.0000000000000004,0.99999994039535522,0.99999994039535522
1564,1,0.99999988079071045,0.99999988079071045
1565,1.0000000000000004,0.99999988079071045,0.99999988079071045
1566,1.0000000000000004,1,1
1567,1,0.99999988079071045,0.99999988079071045
1568,1.0000000000000004,1.0000001192092896,1.0000001192092896
1569,0.99999999999999978,1.0000002384185791,1.0000002384185791
157,0.99999999999999967,1,1
1570,1.0000000000000004,0.99999982118606567,0.99999982118606567
1571,1,0.99999988079071045,0.99999988079071045
1572,1.0000000000000002,1,1
1573,0.99999999999999978,1,1
1574,0.99999999999999978,1,1
1575,0.99999999999999989,0.99999994039535522,0.99999994039535522
1576,1,0.99999988079071045,0.99999988079071045
1577,0.99999999999999944,1.0000001192092896,1.0000001192092896
1578,1.0000000000000004,0.99999982118606567,0.99999982118606567
1579,1,0.99999994039535522,0.99999994039535522
158,1.0000000000000004,0.99999988079071045,0.99999988079071045
1580,0.99999999999999989,1,1
1581,1.0000000000000002,0.99999970197677612,0.99999970197677612
1582,1.0000000000000004,0.99999988079071045,0.99999988079071045
1583,1.0000000000000002,1.0000002384185791,1.0000002384185791
1584,0.99999999999999989,1,1
1585,1,1,1
1586,1.0000000000000004,1,1
1587,1,1,1
1588,0.99999999999999989,1.0000001192092896,1.0000001192092896
1589,0.99999999999999978,0.9999997615814209,0.9999997615814209
159,1.0000000000000002,1,1
1590,0.99999999999999989,0.9999997615814209,0.9999997615814209
1591,0.99999999999999978,0.99999988079071045,0.99999988079071045
1592,0.99999999999999978,0.99999988079071045,0.99999988079071045
1593,1,1,1
1594,1.0000000000000004,1.0000001192092896,1.0000001192092896
1595,1,1,1
1596,0.99999999999999978,1.0000002384185791,1.0000002384185791
1597,0.99999999999999989,1.0000002384185791,1.0000002384185791
1598,1.0000000000000004,0.99999982118606567,0.99999982118606567
1599,1.0000000000000007,0.99999994039535522,0.99999994039535522
15cm,1.0000000000000002,1.0000001192092896,1.0000001192092896
15km,1,0.99999988079071045,0.99999988079071045
15th,1,1.0000001192092896,1.0000001192092896
15th-century,1.0000000000000002,1.0000001192092896,1.0000001192092896
16,0.99999999999999956,1,1
"16,000",0.99999999999999978,1.0000001192092896,1.0000001192092896
16-bit,1,1,1
16-year-old,1.0000000000000007,0.99999988079071045,0.99999988079071045
16.1,0.99999999999999978,0.99999988079071045,0.99999988079071045
16.2,0.99999999999999978,1,1
16.3,1,0.99999994039535522,0.99999994039535522
16.4,1,1,1
16.5,1.0000000000000002,0.99999988079071045,0.99999988079071045
16.6,1,1,1
16.7,0.99999999999999978,1.0000001192092896,1.0000001192092896
16.8,1.0000000000000002,0.99999988079071045,0.99999988079071045
16.9,1.0000000000000004,1,1
160,0.99999999999999956,0.99999970197677612,0.99999970197677612
"160,000",0.99999999999999944,1.0000001192092896,1.0000001192092896
1600,0.99999999999999978,1.0000002384185791,1.0000002384185791
1601,0.99999999999999989,0.99999988079071045,0.99999988079071045
1602,0.99999999999999944,1,1
1603,1.0000000000000004,1.0000001192092896,1.0000001192092896
1604,0.99999999999999989,0.99999994039535522,0.99999994039535522
1605,1.0000000000000002,1,1
1606,1,0.99999988079071045,0.99999988079071045
1607,0.99999999999999989,1,1
1608,0.99999999999999978,0.99999994039535522,0.99999994039535522
1609,1,1,1
161,0.99999999999999978,0.99999982118606567,0.99999982118606567
1610,1.0000000000000004,0.9999997615814209,0.9999997615814209
1611,1,0.99999994039535522,0.99999994039535522
1612,1,1,1
1613,0.99999999999999933,0.99999994039535522,0.99999994039535522
1614,0.99999999999999978,1.0000002384185791,1.0000002384185791
1615,0.99999999999999933,0.9999997615814209,0.9999997615814209
1616,1.0000000000000004,1,1
1617,1.0000000000000002,1.0000002384185791,1.0000002384185791
1618,1,1,1
1619,0.99999999999999989,1.0000001192092896,1.0000001192092896
162,1.0000000000000007,0.99999994039535522,0.99999994039535522
1620,1,1.0000001192092896,1.0000001192092896
1621,1,0.99999988079071045,0.99999988079071045
1622,1.0000000000000007,1,1
1623,1.0000000000000002,1,1
1624,1.0000000000000004,0.9999997615814209,0.9999997615814209
1625,1,1,1
1626,0.99999999999999978,1,1
1627,0.99999999999999922,0.9999997615814209,0.9999997615814209
1628,1,0.99999988079071045,0.99999988079071045
1629,1.0000000000000004,1.0000001192092896,1.0000001192092896
163,0.99999999999999978,1,1
1630,0.99999999999999956,1.0000001192092896,1.0000001192092896
1631,0.99999999999999911,0.99999988079071045,0.99999988079071045
1632,1,0.99999994039535522,0.99999994039535522
1633,1,1.0000001192092896,1.0000001192092896
1634,1,1,1
1635,1,1,1
1636,1.0000000000000004,1,1
1637,1,1,1
1638,0.99999999999999978,0.99999994039535522,0.99999994039535522
1639,1.0000000000000002,1,1
164,1.0000000000000004,1.0000001192092896,1.0000001192092896
1640,0.99999999999999989,0.99999994039535522,0.99999994039535522
1641,1.0000000000000004,1.0000001192092896,1.0000001192092896
1642,0.99999999999999989,1,1
1643,1,1,1
1644,1,0.9999997615814209,0.9999997615814209
1645,1,1.0000001192092896,1.0000001192092896
1646,1.0000000000000004,1.0000001192092896,1.0000001192092896
1647,0.99999999999999989,1,1
1648,1,1,1
1649,1,0.99999988079071045,0.99999988079071045
165,0.99999999999999989,1,1
1650,0.99999999999999989,0.99999988079071045,0.99999988079071045
1651,0.99999999999999978,0.99999982118606567,0.99999982118606567
1652,0.99999999999999978,1,1
1653,0.99999999999999967,1,1
1654,1,0.99999988079071045,0.99999988079071045
1655,0.99999999999999967,1.0000002384185791,1.0000002384185791
1656,1.0000000000000002,0.99999982118606567,0.99999982118606567
1657,0.99999999999999933,1,1
1658,1,1.0000001192092896,1.0000001192092896
1659,0.99999999999999978,0.99999994039535522,0.99999994039535522
166,0.99999999999999967,0.99999994039535522,0.99999994039535522
1660,1.0000000000000002,0.99999994039535522,0.99999994039535522
1661,1.0000000000000002,1.0000002384185791,1.0000002384185791
1662,1.0000000000000002,0.99999988079071045,0.99999988079071045
1663,1.0000000000000002,1,1
1664,1.0000000000000002,1,1
1665,0.99999999999999967,1.0000001192092896,1.0000001192092896
1666,1.0000000000000002,0.99999982118606567,0.99999982118606567
1667,0.99999999999999956,1,1
1668,0.99999999999999978,1,1
1669,1,1,1
167,0.99999999999999989,0.99999994039535522,0.99999994039535522
1670,1.0000000000000002,0.99999988079071045,0.99999988079071045
1671,0.99999999999999967,0.99999988079071045,0.99999988079071045
1672,1,1,1
1673,1.0000000000000002,0.99999982118606567,0.99999982118606567
1674,1,0.99999988079071045,0.99999988079071045
1675,0.99999999999999989,1.0000002384185791,1.0000002384185791
1676,0.99999999999999978,0.99999988079071045,0.99999988079071045
1677,1,1,1
1678,1,1,1
1679,1,1,1
168,0.99999999999999978,1,1
1680,0.99999999999999956,0.99999982118606567,0.99999982118606567
1681,0.99999999999999956,1,1
1682,0.99999999999999989,1,1
1683,1,1.0000001192092896,1.0000001192092896
1684,1,1.0000001192092896,1.0000001192092896
1685,1.0000000000000004,1.0000001192092896,1.0000001192092896
1686,0.99999999999999978,0.99999988079071045,0.99999988079071045
1687,1.0000000000000002,1,1
1688,0.99999999999999978,1.0000001192092896,1.0000001192092896
1689,1.0000000000000002,1,1
169,0.99999999999999989,0.99999988079071045,0.99999988079071045
1690,1.0000000000000002,0.99999988079071045,0.99999988079071045
1691,0.99999999999999989,1,1
1692,0.99999999999999956,1,1
1693,1.0000000000000007,1,1
1694,0.99999999999999922,1.0000002384185791,1.0000002384185791
1695,1,0.99999994039535522,0.99999994039535522
1696,0.99999999999999989,0.99999988079071045,0.99999988079071045
1697,0.99999999999999989,0.9999997615814209,0.9999997615814209
1698,1,1,1
1699,0.99999999999999978,1.0000002384185791,1.0000002384185791
16km,1,1,1
16mm,1.0000000000000004,1,1
16th,1.0000000000000002,0.99999988079071045,0.99999988079071045
16th-century,1,1,1
17,1,0.99999988079071045,0.99999988079071045
"17,000",1,1.0000001192092896,1.0000001192092896
