model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.4809867017684168,0.49671091079374446,0.16629815077984433,0.5647327804710452,-0.033912204257428906,0.1770381079470862,0.0973188702415,0.0852435530086,0.05975,0.047125
wc_SGNSpinit3-rev.tsv,0.5007043692097662,0.5056310634917844,0.16773218371411686,0.5687119116119657,-0.027684126733009184,0.18689830757138784,0.101207531723,0.089899713467,0.058875,0.0465
eig_SVD_w2.tsv,0.6001812646682748,0.5689263491195365,0.2206225528367985,0.5327525065374981,0.08676900669043576,0.2451327509724862,0.243041342612,0.261307818256,0.10775,0.108625
wc_SGNSpinit1-rev.tsv,0.49926889545894004,0.5014424765724509,0.16711562840170724,0.5720290387968054,-0.02800041803024114,0.18558508857521266,0.10100286533,0.0893880474826,0.058875,0.046875
neg_PPMI_w2.tsv,0.4824889250486565,0.5345180637899816,0.15439136740243617,0.5979694660846727,-0.057984107849224475,0.19916503605118002,0.247646336472,0.253683995088,0.104,0.1045
wc_SGNSpinit2-rev.tsv,0.49615032873527,0.5021849476646874,0.1672896423087444,0.5717513423520384,-0.019815723350480277,0.18544992887442746,0.0991608677855,0.0881088825215,0.060625,0.049
wc_SGNSpinit3.tsv,0.47222098130899637,0.4932662949082478,0.16645794141956036,0.5671569130556198,-0.02875584299276628,0.18016182288622218,0.0963467048711,0.0846295538273,0.058,0.046125
wc_SGNSsvd.tsv,0.49188410074781436,0.5175623489527832,0.17648972891427933,0.5734350356958586,-0.03861486094207212,0.20695246189675978,0.123720835039,0.109138354482,0.075875,0.061125
wc_SGNSsvd-rev.tsv,0.4870099496268838,0.5268717364961472,0.16957221315492155,0.5543981067487032,-0.03612315948591933,0.1948488399665948,0.119013507982,0.104738027016,0.07525,0.06025
wc_SGNSpinit2.tsv,0.47987995150652973,0.4958754433222784,0.16635507147491055,0.5679831488213569,-0.03369834083160866,0.1786995821188584,0.0955280392959,0.0844248874335,0.058625,0.045875
