model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.6861135861713772,0.6619664684597427,0.24652847451000878,0.6326733923287254,0.05317293290877447,0.35423515917442083,0.408360622186,0.391577977896,0.282875,0.278
wc_SGNSpinit3-rev.tsv,0.6941485665302214,0.6542365810773916,0.24824241042765446,0.6004607262666968,0.04712194529924914,0.3412057284552364,0.391322144904,0.372748669668,0.273625,0.268
eig_SVD_w2.tsv,0.731281480134668,0.6535534294082683,0.27696043393408404,0.5215696843009837,0.13334020790221165,0.34575929249421833,0.326954564061,0.363231682358,0.165375,0.176
wc_SGNSpinit1-rev.tsv,0.6954726670249926,0.6563587756148433,0.2470185232571846,0.5971147535147631,0.04169623810992608,0.34163307099090273,0.398383135489,0.379809660254,0.2725,0.26375
neg_PPMI_w2.tsv,0.6720355144428434,0.6645678440252621,0.2218581972074929,0.6298083454436005,0.006869458946122349,0.30436909765954295,0.430208759722,0.457275890299,0.187875,0.208875
wc_SGNSpinit2-rev.tsv,0.6944060703642534,0.6559208386502243,0.2479616847472756,0.6013902477518721,0.033597813857381656,0.34197651455193595,0.398638968481,0.379656160458,0.273125,0.265875
wc_SGNSpinit3.tsv,0.685447949519618,0.661590772536328,0.24777914024466724,0.6321362903454837,0.05574750015040004,0.35409031443433975,0.409690953745,0.39275480966,0.2835,0.2785
wc_SGNSsvd.tsv,0.6720391008472171,0.6379399267707119,0.261065274140788,0.6301054051999654,0.040103864462186715,0.34673948600224674,0.417928776095,0.402169463774,0.2875,0.280625
wc_SGNSsvd-rev.tsv,0.6862276338304609,0.6732463448669336,0.2568687336100747,0.6039952939021601,0.04277789719751285,0.34543685226303733,0.409332787556,0.39111747851,0.28575,0.279875
wc_SGNSpinit2.tsv,0.687540975112111,0.6594408319925561,0.24779743700159676,0.6270607273696328,0.05235217450052776,0.35650129208440656,0.408309455587,0.392396643471,0.280875,0.27825
