model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.037866033495990756,-0.06167619976130599,-0.003219536617023555,0.3099289552547576,-0.01888761154338759,0.0007308625731743344,0.00148383135489,0.000511665984445,0.001125,0.001125
wc_SGNSpinit3-rev.tsv,0.04909732756240212,-0.03408536668344956,-0.007483639962134478,0.30865042149919886,-0.018860727484921586,-0.013233396013055988,0.00388866148178,0.00286532951289,0.001125,0.000875
eig_SVD_w2.tsv,0.10034186602832164,0.10424598865091818,0.01850191679065106,0.18272309518153462,0.02121146938136129,-0.001018838095845689,0.000613999181334,0.00056283258289,0.001,0.000875
wc_SGNSpinit1-rev.tsv,0.04909996649427863,-0.03346455530251082,-0.006051438719204703,0.3085335662634757,-0.01886395831928596,-0.007522820399005842,0.00383749488334,0.00281416291445,0.001125,0.000875
neg_PPMI_w2.tsv,0.02500020542846192,-0.005653854592427958,-0.009796840943611477,0.2399473332430564,-0.04899003210970563,-0.015758239762448487,0.00158616455178,0.00163733115023,0.00275,0.00075
wc_SGNSpinit2-rev.tsv,0.04884311045829868,-0.03392781227995374,-0.00748552395302095,0.3085404401008712,-0.01886395831928596,-0.007536995046104095,0.00373516168645,0.00286532951289,0.001125,0.000875
wc_SGNSpinit3.tsv,0.024768134948930515,-0.056188133091477195,-0.003212907927605767,0.30990237641682844,-0.0188765168142234,0.0007221700011290378,0.00148383135489,0.000511665984445,0.001125,0.001125
wc_SGNSsvd.tsv,0.012740763099773043,-0.022010115012539057,-0.013638054294878302,0.2418894214351919,-0.052491572515560816,-0.0169039531860367,0.000665165779779,0.000665165779779,0.0005,0.0005
wc_SGNSsvd-rev.tsv,0.012283348241178596,-0.026009645303071597,-0.013457199387839788,0.24407759300608547,-0.05249571765407184,-0.021031592248423627,0.00107449856734,0.00107449856734,0.000375,0.000375
wc_SGNSpinit2.tsv,0.025080408554317108,-0.05630947349775159,-0.003181067865269691,0.3098295137404364,-0.018889580813857308,0.004932312778677593,0.00143266475645,0.000153499795334,0.001125,0.001125
