model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,-0.11322278043727989,-0.013806802267587497,0.006314288874710023,0.0554617013153666,nan,-0.003615294989812306,0.0,5.11665984445e-05,0.0,0.000125
wc_SGNSpinit3-rev.tsv,-0.11258998275136385,-0.014030183412480041,0.017350030447679916,0.05507793261712118,nan,0.0003684570196503263,0.0,0.0,0.00025,0.00025
eig_SVD_w2.tsv,-0.003366192747608511,0.04634570911402097,-0.0095582538245326,-0.024470479087007925,nan,-0.007222465109704068,5.11665984445e-05,5.11665984445e-05,0.000125,0.000125
wc_SGNSpinit1-rev.tsv,-0.11283146416713871,-0.014192260709338161,0.014543342650288239,0.05507793261712118,nan,0.018684343506538036,0.0,0.0,0.000375,0.000375
neg_PPMI_w2.tsv,0.0036070537700489424,-0.058354225219281505,-0.0044281409398544405,0.05951426177915669,nan,-0.014994929105218841,0.0,5.11665984445e-05,0.0,0.000375
wc_SGNSpinit2-rev.tsv,-0.11273254406911046,-0.014192260709338161,0.014518826554700295,0.05507793261712118,nan,0.0003619260237333337,0.0,0.0,0.00025,0.00025
wc_SGNSpinit3.tsv,-0.11307294558291356,-0.01399239336917115,0.006327090485950285,0.055499698216182974,nan,0.005548936280950438,0.0,5.11665984445e-05,0.0,0.0
wc_SGNSsvd.tsv,0.046613186781166605,-0.024267086255487864,-0.01938954559110481,0.07825889188267325,nan,-0.02786163676913477,5.11665984445e-05,5.11665984445e-05,0.000125,0.000125
wc_SGNSsvd-rev.tsv,0.047769679103702806,-0.02468865518306702,-0.019319528783303817,0.07781242829808081,nan,-0.019212790488666833,5.11665984445e-05,5.11665984445e-05,0.000125,0.000125
wc_SGNSpinit2.tsv,-0.11307294558291356,-0.013765653109317821,0.00631018053763695,0.0554617013153666,nan,0.0055477700316795475,0.0,5.11665984445e-05,0.0,0.0
