model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.657477090405694,0.6118174588900066,0.24011944470895216,0.6222631070552418,0.02775260185211346,0.33759562289648903,0.307613589849,0.286379451494,0.2355,0.217375
wc_SGNSpinit3-rev.tsv,0.6854991425371365,0.614531323352558,0.23996789242135785,0.6364313294090151,0.033073643197370925,0.31805371358912365,0.307408923455,0.288886614818,0.238625,0.22375
eig_SVD_w2.tsv,0.7268274912639253,0.6178184813717881,0.27801716393187526,0.5657173859263508,0.12650844258365354,0.3378413138111346,0.305464592714,0.344453540729,0.157,0.171
wc_SGNSpinit1-rev.tsv,0.6836571626084615,0.6219616427853267,0.24294038956900788,0.6355485124441217,0.028701735398877864,0.322106924602766,0.310325419566,0.288886614818,0.242625,0.22775
neg_PPMI_w2.tsv,0.6720185464391938,0.6052752748006662,0.21210039288653834,0.6509629521575074,-0.009662174684569485,0.2889952058070426,0.391015145313,0.414091281212,0.166875,0.18575
wc_SGNSpinit2-rev.tsv,0.6855500695522985,0.6200032959923031,0.24107661271107608,0.6283407865858368,0.03352534908808725,0.31909496763348516,0.306283258289,0.286584117888,0.24475,0.229125
wc_SGNSpinit3.tsv,0.6534897203030833,0.6044321330653487,0.24256872030694113,0.6194555054311226,0.023991934256157314,0.33828534484761663,0.311962750716,0.290677445763,0.235375,0.21825
wc_SGNSsvd.tsv,0.6630984286849095,0.5908406888952707,0.252239179091827,0.63734917476412,0.024094288936280853,0.33766136515127376,0.336062218584,0.31677241097,0.23925,0.22175
wc_SGNSsvd-rev.tsv,0.6872507449459466,0.6133588649145366,0.24869288552151234,0.659504377743925,0.030957277976577387,0.319641487739812,0.338006549325,0.317079410561,0.236,0.22275
wc_SGNSpinit2.tsv,0.6565051734261945,0.6118238329844891,0.24242430651002467,0.6221630984628991,0.024766481384722427,0.33518025702948967,0.311246418338,0.289961113385,0.2365,0.22175
