model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.6103670293448519,0.5118349690485119,0.18804254945491594,0.5317185869882055,0.015721530586862553,0.27448741116743125,0.178980761359,0.160100286533,0.11775,0.10025
wc_SGNSpinit3-rev.tsv,0.6270134680817554,0.5231934647013639,0.19269071137463833,0.5820342753551265,0.009952249803923906,0.2613276906556673,0.171510437986,0.1512996316,0.124625,0.105
eig_SVD_w2.tsv,0.6684936361033721,0.5760222993005432,0.25776317761924167,0.5417468991975035,0.07654643246566525,0.3016096574306578,0.261103151862,0.288067949243,0.135,0.141875
wc_SGNSpinit1-rev.tsv,0.6286855001710268,0.513662497118099,0.19693776694952106,0.577578291229526,0.010052270499589419,0.25903734019484276,0.172891936144,0.151862464183,0.12475,0.10475
neg_PPMI_w2.tsv,0.6055790352668224,0.5459219772481527,0.18423976713005355,0.6134855784055846,-0.026384812316855615,0.24984268999452014,0.312065083913,0.324140401146,0.129875,0.14325
wc_SGNSpinit2-rev.tsv,0.6250444727642737,0.515442405970444,0.1937010030670758,0.5784159299429683,0.006936238931767216,0.262199681246018,0.169668440442,0.150480966025,0.12775,0.108
wc_SGNSpinit3.tsv,0.6035089002991528,0.5117798507419404,0.18747802012452902,0.5378955379250605,0.018475687261967112,0.2760241612795566,0.179901760131,0.161021285305,0.118375,0.100875
wc_SGNSsvd.tsv,0.6162632557600433,0.487939870809151,0.21565706475171306,0.5844184997294795,0.005965598356607618,0.2625544006051674,0.210806385591,0.189367580843,0.1305,0.111625
wc_SGNSsvd-rev.tsv,0.6229269958326866,0.5215106690558352,0.20781220266710568,0.6135749265350184,0.013313400607801439,0.2695589479382467,0.209424887433,0.185939418747,0.136625,0.116375
wc_SGNSpinit2.tsv,0.6177602660433164,0.5165646446885962,0.18707935635034081,0.5376071871437057,0.014073947162672235,0.27989882979018516,0.179185427753,0.160816618911,0.117125,0.099375
