model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.0330947364533296,0.08680621633314839,0.004004008558788087,0.04020214594750901,0.01701203065514911,-0.0037383889183740374,0.0,0.0,0.000375,0.00025
wc_SGNSpinit3-rev.tsv,0.01534292886473863,0.10084747856046876,-0.03115666181353789,0.11307165241063917,0.01701203065514911,0.009647224575618561,0.0,0.0,0.000375,0.0
eig_SVD_w2.tsv,-0.059243588998073866,-0.04742547640122283,0.009498556941894762,-0.014708125344759891,0.01470102975816769,-1.0799114157897282e-05,0.0,0.0,0.00025,0.00025
wc_SGNSpinit1-rev.tsv,0.015637050283089926,0.10094600008835285,-0.031176586274595644,0.11307165241063917,0.01701203065514911,0.009629321619403995,0.0,0.0,0.000375,0.0
neg_PPMI_w2.tsv,0.008873177371992325,-0.008361253088046989,-0.007802147915802732,0.12409621019979068,0.024266095525756304,-0.009370904203988303,0.000767498976668,0.000102333196889,0.000125,0.0
wc_SGNSpinit2-rev.tsv,0.015454743618822594,0.10106396665463506,-0.03118827043282435,0.11307165241063917,0.01701203065514911,0.00965432841767523,0.0,0.0,0.000125,0.0
wc_SGNSpinit3.tsv,0.010444956484756318,0.08668111991945349,0.002308945880846334,0.04020214594750901,0.01701203065514911,-0.0037206293132323633,0.0,0.0,0.000125,0.0
wc_SGNSsvd.tsv,0.06238898664556623,0.03579410259938264,-0.0017040895858585186,0.07896753408289871,0.024278241667409054,-0.0184112472632498,0.000767498976668,0.000767498976668,0.000375,0.000375
wc_SGNSsvd-rev.tsv,0.0624935091330795,0.03702108452230733,-0.005836193095969797,0.07837193266260198,0.024283811766592726,-0.018654800736094056,0.000767498976668,0.000767498976668,0.00025,0.00025
wc_SGNSpinit2.tsv,0.010494786972989393,0.08680816083698821,0.002314136859890034,0.04020214594750901,0.01701203065514911,-0.0037303771861890486,0.0,0.0,0.000375,0.00025
