model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.7200825738373429,0.6465468129203951,0.26959411697012103,0.6473012988467949,0.05973234686506137,0.364749650745047,0.494934506754,0.483677855096,0.333125,0.34075
wc_SGNSpinit3-rev.tsv,0.7277137250637081,0.6330018875378072,0.2680139595386697,0.6581446162485443,0.06807312461267215,0.36031441634860195,0.491864510847,0.481273024969,0.331875,0.33975
eig_SVD_w2.tsv,0.7411426576006017,0.6402012262857952,0.28537488338957906,0.5744227023806309,0.15422626171958323,0.35037774290909973,0.356631191158,0.391270978305,0.1705,0.18125
wc_SGNSpinit1-rev.tsv,0.7206779169633776,0.6334484482611473,0.2657965438926862,0.6587459369471735,0.06285351446645751,0.3602247098802679,0.492836676218,0.481682357757,0.33375,0.3435
neg_PPMI_w2.tsv,0.6784960632816319,0.6553020548504844,0.23203425624913046,0.6422649978455705,0.03140182080775511,0.3244102319257485,0.47764019648,0.514735980352,0.20275,0.23525
wc_SGNSpinit2-rev.tsv,0.7246344382684468,0.6340296146097428,0.2659038403457222,0.6592551177498119,0.06751413813003457,0.3611043580521794,0.493501841998,0.483063855915,0.333,0.339
wc_SGNSpinit3.tsv,0.7201908832494287,0.6455993242991689,0.27091173999898993,0.6531124580170856,0.0621204057189301,0.3651160414265608,0.496316004912,0.487003683995,0.33625,0.34325
wc_SGNSsvd.tsv,0.7272560998656236,0.6411685870466833,0.281308179281046,0.6465481884572495,0.06399329780600932,0.3591735806867068,0.506446991404,0.497237003684,0.3345,0.3385
wc_SGNSsvd-rev.tsv,0.7210207772215035,0.6577333277657795,0.2775753409436946,0.6489745390516765,0.05758659297101381,0.3527806557806599,0.510079819894,0.501841997544,0.339,0.344125
wc_SGNSpinit2.tsv,0.7157996897342667,0.6460957528446788,0.2712170020222739,0.6469967041493044,0.06616477105374752,0.36320644191309864,0.495957838723,0.486082685223,0.336375,0.344375
