iraq	oman	oman
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	austria	austria
egypt	egypt	egypt
australia	australia	australia
vietnam	minh	minh
cuba	salvador	salvador
finland	finland	finland
pakistan	pakistan	pakistan
afghanistan	afghan	afghan
england	kingdom	kingdom
spain	spain	spain
russia	russia	russia
norway	danish	danish
canada	montreal	montreal
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
thailand	thailand	thailand
china	shanghai	hebei
germany	germany	germany
switzerland	afghanistan	gerhard
egypt	afghanistan	khartoum
australia	australian	australian
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	finland	karelia
pakistan	afghanistan	afghanistan
afghanistan	afghanistan	afghanistan
england	lewisham	lewisham
spain	spain	spain
russia	soviet	soviet
norway	norway	norway
canada	ontario	goaltender
france	ligue	ligue
italy	roman	roman
sweden	swedish	secretary-general
iran	afghanistan	afghanistan
japan	nagoya	nagoya
greece	greece	greece
china	china	china
germany	germany	austria
switzerland	austria	austria
egypt	egypt	egypt
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	hungary	hungary
pakistan	pakistan	zimbabwe
afghanistan	afghanistan	afghanistan
england	england	england
spain	murcia	murcia
russia	russia	russia
norway	norway	norway
canada	ontario	ontario
france	france	france
italy	italy	italy
sweden	norway	norway
iran	iranian	iranian
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
germany	germany	germany
switzerland	fribourg	germany
egypt	egypt	egypt
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	cartagena
finland	czechoslovakia	czechoslovakia
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	england	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	dehestan	dehestan
japan	japan	japan
greece	greece	greece
iraq	persia	persia
thailand	thailand	thailand
switzerland	switzerland	switzerland
egypt	egypt	egypt
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	finland	finland
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	england	england
spain	spain	spain
russia	kiev	russia
norway	norway	norway
canada	ontario	ontario
france	france	france
italy	italy	italy
sweden	denmark	denmark
iran	iran	mazandaran
japan	japan	japan
greece	greece	greece
iraq	iraq	safavid
thailand	thailand	thailand
china	china	china
egypt	egypt	egypt
australia	italy	zealand
vietnam	nam	nam
cuba	cuba	cuba
finland	finland	finland
pakistan	pakistan	pakistan
afghanistan	taliban	taliban
england	southwark	southwark
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	montreal	canada
france	france	france
italy	italy	italy
sweden	finland	finland
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	italy	italy
thailand	thailand	thailand
china	china	china
germany	germany	germany
australia	australian	australian
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	finnish	finnish
pakistan	pakistan	dacia
afghanistan	syria	persia
england	france	france
